Quem era o líder europeu no auge da força e da glória em 1807?;Napoleão Bonaparte.
Qual era o papel da Intendência Geral da Polícia na administração joanina?;Policiar a cidade, castigar perturbadores da ordem, urbanizar o Rio, controlar espetáculos públicos e resolver conflitos familiares e de vizinhança.
Como a Intendência Geral da Polícia atuava fora da capital?;Principalmente preocupada em controlar a divulgação das ideias revolucionárias, atuando em todo o país.
Como era a composição da burocracia na administração do Rio de Janeiro?;"Os cargos importantes ficavam com a elite que acompanhou a família real; muitos acumulavam cargos para ter renda ociosa; havia cerca de mil servidores do Paço com regalias."
Que grupo social foi beneficiado com a oferta de novos empregos nas repartições durante a permanência da corte no Brasil?;As elites letradas, população de bacharéis e homens de letras, que buscavam ascender socialmente por sua habilidade e saber.
Qual grupo comercial se consolidou no Rio de Janeiro durante o período joanino?;Um poderoso grupo de comerciantes, imigrados portugueses ou radicados há muito tempo, reforçado por alianças matrimoniais.
Qual foi a justificativa da guerra declarada aos índios botocudos?;Eles eram considerados vassalos infiéis que resistiam ao domínio português e à autoridade do regente.
O que dizia o Manifesto de 10 de maio de 1808 redigido por Rodrigo de Sousa Coutinho?;Rompia toda comunicação com a França, autorizava a guerra contra os vassalos franceses e anulava tratados impostos por Napoleão.
Qual foi o objetivo da inserção da América portuguesa no jogo da diplomacia europeia?;Que o Brasil não fosse mais uma colônia, mas sim o centro decisório do poder e dos acordos firmados por Portugal.
Quais ações militares portuguesas contra França e Espanha ocorreram durante as guerras napoleônicas?;Invasão da Guiana Francesa (1809) e intervenção militar na Cisplatina (1811).
Como era concebida a ampliação do Império na América?;Seguindo a tradicional política europeia de compensação de territórios.
O que representava a centralização do poder na cidade do Rio de Janeiro?;O Rio tornou-se a nova metrópole do Brasil, centro de difusão dos modos civilizados da Europa ilustrada.
"O que foi a ""interiorização da metrópole"" segundo Maria Odila da Silva Dias?";Processo pelo qual o Rio de Janeiro, antes capital colonial, tornou-se centro civilizatório para todo o território brasileiro.
Quando e por que o Brasil foi elevado a Reino Unido de Portugal e Algarves?;Em 16 de dezembro de 1815, para reforçar a posição de Portugal nas negociações do Congresso de Viena.
Quem sugeriu a elevação do Brasil a Reino Unido e qual o objetivo?;O representante francês Talleyrand, visando fortalecer Portugal nas negociações europeias.
O que dizia José da Silva Lisboa sobre o Brasil após a união ao Reino?;Era absurdo considerar o Brasil uma simples colônia, pois havia deixado de ser apenas uma feitoria comercial.
Qual foi a reação do Senado da Câmara do Rio de Janeiro à elevação do Brasil?;"Consideraram a união uma política ilustrada e uma ""preeminência"" merecida pela vastidão, fertilidade e riqueza do Brasil."
Como essa união afetou os laços entre Portugal e Brasil?;"Reforçou o ""triunfo de um império histórico unificado"", sem enfraquecer os vínculos entre as partes."
Quais eram as condições de Portugal após a saída da corte para o Brasil?;Desgastada pelas invasões francesas, sob domínio inglês e ressentida com a perda do soberano próximo.
"O que significa a política ""bifronte"" de d. João?";Buscar equilibrar os interesses europeus e americanos do Império, que nem sempre coincidiam e era quase impossível promover ambos sem sacrifícios.
Por que os portugueses europeus queriam o retorno de d. João ao Reino?;Porque, com a derrota de Napoleão e a paz europeia, consideravam o Brasil inadequado como sede da monarquia, devido a suas extensas áreas despovoadas e vulnerabilidade a invasões.
Qual país apoiava a corte portuguesa em Lisboa na época?;A Inglaterra, que via com interesse a permanência da corte próxima para sua influência.
Por que os portugueses americanos defendiam a permanência do rei no Brasil?;Preferiam manter um grande poder no Novo Mundo do que serem satélites subordinados a uma potência europeia.
Qual foi a atitude de d. João em relação ao retorno para Portugal?;Recusou-se a retornar e iniciou grandes reformas na quinta de São Cristóvão.
O que Rodrigo de Sousa Coutinho previa para a administração política do Brasil?;Um governo civil regulado, substituindo o despotismo das capitanias, para evitar abusos de ministros e agentes da Coroa.
Qual foi o efeito da centralização do governo no Rio de Janeiro para as capitanias?;"Redução da autonomia local, gerando ressentimento e resistência nas chamadas ""pequenas pátrias""."
Quais províncias mantiveram maior ligação econômica com Lisboa após a chegada da corte ao Brasil?;Pará, Maranhão e Bahia, devido à dependência das casas de comércio portuguesas.
Como o Rio de Janeiro passou a ser visto pelas demais províncias do Império?;"Como o ""parasita do Império português"", atraindo o ódio das províncias por concentrar riquezas e impostos."
O que motivou a Revolta de Pernambuco em 1817?;Prisão de militares acusados de sedição, insatisfação contra naturais de Portugal, e imposições fiscais da corte.
Quais foram as ações imediatas dos revoltosos em Pernambuco?;Criaram governo provisório, aumentaram soldos militares e aboliram alguns impostos.
Quais problemas internos enfraqueceram a Revolta de Pernambuco?;Discordâncias internas e medo dos proprietários de terra quanto à possível abolição da escravidão.
Por que a Revolta de Pernambuco não teve sucesso na obtenção de apoio externo?;As cartas enviadas a Washington e Londres não tiveram ressonância e os rebeldes foram bloqueados e derrotados.
Quais as consequências para os líderes da Revolta de Pernambuco?;Execução de líderes como padre Miguelinho e prisão de centenas de implicados até o indulto de 1821.
Como a aristocracia pernambucana via a chegada da corte no Rio de Janeiro?;Como um excesso de cobranças e imposições que pioraram a situação econômica e social local.
Qual o papel do Seminário de Olinda no contexto da Revolta de Pernambuco?;Formou uma geração de clérigos com ideais reformistas e criou um espaço para a maçonaria, influenciando o movimento.
O que dizia a carta de Antônio Gonçalves da Cruz (Cabugá) aos Estados Unidos?;Que a vinda de d. João trouxe expectativas de governo liberal, mas a administração só usava força e extorsão, mantendo o povo na pobreza e ignorância.
Que tipo de conspiração foi desbaratada em Lisboa em maio de 1817?;Uma conspiração de cunho liberal, idealizada por uma sociedade secreta maçônica, liderada pelo general Gomes Freire de Andrade.
Qual era o objetivo da conspiração de 1817 em Lisboa?;Afastar ingleses e estrangeiros do controle militar, criar um governo constitucional e promover a independência de Portugal.
Qual foi o destino do general Gomes Freire e seus associados?;Foram condenados à morte e executados em outubro de 1817.
Que sentimento cresceu em Portugal após as execuções de 1817?;O sentimento nacional e antibritânico, que se fortaleceria na Regeneração de 1820.
Quem faleceu em 20 de março de 1816 e qual sua importância?;"D. Maria I, rainha de Portugal, afetada por problemas mentais; sua morte tornou necessária a aclamação do novo soberano."
Por que a cerimônia de aclamação de d. João demorou quase dois anos para ser realizada?;Devido à resistência em Portugal, que exigia a presença das cortes para aceitar que o Brasil fosse a sede do Império.
Onde ocorreu a aclamação de d. João e qual seu significado?;"Na América (Rio de Janeiro); simbolizava a sede definitiva do Império no Brasil e reforçava sua imagem como soberano do Reino Unido."
Por que d. João não usou a coroa na cabeça durante a aclamação?;Por costume português, os reis eram aclamados, não coroados ou sagrados, e a coroa permanecia como símbolo ao lado do rei.
Que papel tiveram os artistas franceses na aclamação de d. João?;Transformaram o Paço em praça imperial, com monumentos efêmeros exaltando a importância política do Brasil e do Rio de Janeiro.
Qual foi o significado político do arco do triunfo desenhado por Debret?;Representava o desembarque de d. João amparado pela América e homenageava o rei como Libertador do Comércio.
Como os portugueses da Europa reagiram à aclamação de d. João no Brasil?;"Com ressentimento, chamando a administração brasileira de ""governo tupinambá"" e sentindo-se órfãos de soberano."
O que dizia o periódico O Campeão Português em 1819 sobre a situação de Portugal?;"Que Portugal estava em decadência progressiva, sacrificando homens e dinheiro para o Brasil, ficando ""sem rei e quase sem pátria""."
Que movimento revolucionário eclodiu em Portugal em 1820?;A Regeneração Vintista, expressando insatisfação contra a situação política e o domínio brasileiro no Império.
Quando e onde irrompeu a Revolução Vintista?;Em 20 de agosto de 1820, no Porto, Portugal.
Qual era o objetivo principal da Revolução Vintista?;Promover uma regeneração política com reforma dos abusos e substituição do Antigo Regime pelo liberalismo moderado.
Que tipo de cortes a Revolução Vintista exigia?;Cortes deliberativas para elaboração de uma Constituição, e não mais cortes consultivas.
Quais eram as principais reivindicações da Revolução Vintista?;Convocação das cortes, retorno do soberano e restabelecimento do papel de Portugal no Império.
Como as notícias da Revolução Vintista chegaram ao Brasil?;Por cartas particulares e ofícios dos governadores do Reino que chegaram ao Rio de Janeiro em outubro de 1820.
Quais foram as duas tendências opostas na corte do Rio de Janeiro após a Revolução Vintista?;Uma favorável ao retorno de d. João VI a Lisboa (liderada pelo conde de Palmela) e outra favorável ao absolutismo e à permanência da corte no Brasil (liderada por Tomás Antônio Vilanova Portugal).
Quais províncias brasileiras foram as primeiras a aderir ao movimento constitucionalista em 1821?;Pará e Bahia.
O que foi exigido do soberano em 26 de fevereiro de 1821 no Rio de Janeiro?;O juramento das bases da futura Constituição portuguesa, demissão de membros do governo e adoção temporária da Constituição espanhola de 1812.
Como agiu o príncipe d. Pedro diante das exigências das tropas portuguesas?;Acatou parte das exigências, mas evitou a implementação da Constituição espanhola e a formação de uma junta governativa popular.
Qual foi o impacto da publicação de folhetos, jornais e panfletos durante 1821?;Inauguraram um debate público de ideias, dando origem a uma nova cultura política liberal e constitucionalista.
Que medida governamental de 2 de março de 1821 influenciou a liberdade de imprensa?;Abolição da censura prévia, restringindo-a apenas às provas tipográficas.
"Quem eram os ""corcundas"" criticados pela nova cultura política?";Os partidários do Antigo Regime.
Onde as discussões políticas da nova cultura liberal aconteciam além das ruas?;Em livrarias, cafés, academias e sociedades secretas, como a maçonaria.
Qual papel tinha a Igreja na monarquia constitucional luso-brasileira?;Aliada da monarquia, assegurando a coesão social pela doutrina cristã.
"Por que as leis precisavam mudar segundo o panfleto ""Das sociedades e das convenções ou constituições"" de 1821?";Porque as leis envelhecem e precisam acompanhar as mudanças nos costumes e na liberdade dos indivíduos.
Que tipo de linguagem era usada nos panfletos e pasquins manuscritos durante o período?;Em algumas ocasiões, a linguagem tornava-se violenta, radical e retórica, usada como arte de convencimento, sem intenção de separação entre Brasil e Portugal.
Quando d. João VI retornou a Portugal, quem ficou como regente no Brasil?;O príncipe d. Pedro ficou como regente após a partida de seu pai, em abril de 1821.
Quais poderes eram atribuídos ao príncipe d. Pedro como regente?;Administração da Justiça e Fazenda, provimento de cargos civis, militares e eclesiásticos (exceto bispos), comutação e perdão de penas de morte, concessão de graças honoríficas, e direito de fazer guerra em caso de ameaça.
Como funcionavam as eleições para deputados às cortes de Lisboa em 1821?;"Eram indiretas, sem censos, com voto para cidadãos maiores de 25 anos, excluindo mulheres, menores sem casamento, militares, clérigos, ""filhos família"", criados, vadios, ociosos e escravos."
Quem podia candidatar-se deputado nas eleições de 1821?;Pessoas com mais de 25 anos, que não pertencessem a ordens regulares e fossem naturais da província há mais de sete anos.
Como estavam as finanças do Brasil no início da regência de d. Pedro?;Cofres públicos desfalcados pelo numerário levado para Lisboa e receitas cessadas com a partida do rei.
Qual foi a reação das províncias do Norte e do Sul do Brasil ao regente?;"Províncias do Norte aderiram às cortes e recusaram subordinação ao Rio; províncias do Sul prestaram lealdade a d. Pedro, mas negaram apoio financeiro."
"O que foi a ""bernarda"" enfrentada por d. Pedro em 5 de junho de 1821?";Uma agitação no Rossio, com tropas e povo exigindo o juramento às bases da Constituição portuguesa e a demissão de ministros nomeados por seu pai.
O que foram as juntas governativas formadas em 1821 nas províncias brasileiras?;Governos provisórios eleitos e reconhecidos pelas cortes de Lisboa, com autonomia interna, que se tornaram o alicerce do Brasil constitucional.
Qual foi a relação das juntas governativas com Lisboa?;Eram subordinadas exclusivamente a Lisboa, apesar da autonomia interna.
Qual elite brasileira d. Pedro passou a apoiar durante a regência?;"A elite ""coimbrã"", formada por pessoas ligadas à Universidade de Coimbra e à administração, favoráveis ao império lusobrasileiro."
Qual era o objetivo inicial das cortes de Lisboa?;Preservar e recuperar Portugal, abandonado pela Coroa em 1807, não recolonizar o Brasil especificamente.
O que significava a proposta integradora nas cortes de Lisboa após 1821?;Que o Reino Unido deveria ser uma única entidade política, com o Congresso substituindo a figura do rei como símbolo da soberania igual para Portugal e Brasil.
Quais medidas tomadas pelas cortes de Lisboa em setembro de 1821 descontentaram os brasileiros?;Subordinação das juntas provinciais diretamente a Lisboa e exigência do retorno imediato do príncipe regente a Portugal.
"O que foi o ""Dia do Fico"" e quando ocorreu?";Em 9 de janeiro de 1822, d. Pedro proclamou sua permanência no Brasil, recusando-se a voltar a Portugal, marcando um ato de desobediência às cortes.
"A decisão do ""Dia do Fico"" significava compromisso com a independência?";Não, até então era apenas desobediência às cortes, sem comprometimento explícito com a independência do Brasil.
"Como reagiram as tropas portuguesas à decisão de d. Pedro no ""Dia do Fico""?";Tentaram forçá-lo a embarcar para Lisboa, mas foram contidas por movimentos do povo e soldados brasileiros.
O que uniu as elites brasileiras ao longo do primeiro semestre de 1822?;As medidas arbitrárias das cortes de Lisboa, que feriam os interesses do Brasil, uniram as elites brasileiras contra os portugueses.
Qual foi o tom da guerra de palavras entre escritores brasileiros e portugueses d'além-mar?;Houve uma intensa polêmica, mas sem apontar imediatamente a separação política como solução.
Como portugueses e brasileiros entendiam a ideia de união no império lusobrasileiro?;"Portugueses viam o Brasil como parte de um império sob governo liberal; brasileiros viam como um império indissolúvel composto por dois reinos com direitos e deveres recíprocos."
Quem foi nomeado para dirigir o ministério em janeiro de 1822 no Brasil?;José Bonifácio de Andrada e Silva, líder do grupo coimbrão.
Qual conselho foi convocado por d. Pedro em fevereiro de 1822?;Conselho de Procuradores, para estreitar os laços das províncias com o governo do Rio de Janeiro.
O que Gonçalves Ledo propôs em seu jornal Revérbero Constitucional Fluminense em abril de 1822?;A emancipação política do Brasil.
Qual foi a reação do Congresso e imprensa portuguesa à convocação da Assembleia Brasílica?;Consideraram-na como o selo final da separação do Brasil de Portugal.
O que d. Pedro declarou em decreto de 1º de agosto de 1822?;Declarou inimigas todas as tropas portuguesas que desembarcassem no Brasil sem seu consentimento, mas definia independência como autonomia política, sem ruptura formal.
Quais manifestos passaram a assumir a separação como fato consumado em agosto de 1822?;O Manifesto aos Povos do Brasil, de Gonçalves Ledo, e o Manifesto do Príncipe Regente, redigido por José Bonifácio.
Como era vista a independência do Brasil segundo o periódico O Volantim?;Como a emancipação de um filho, não ingratidão, mas direito de autogoverno e busca da felicidade.
Qual evento alarmou o governo do Rio de Janeiro em agosto de 1822?;A revolta em São Paulo, que exigia a presença de d. Pedro para pacificar a região.
Quem assumiu a regência durante a ida de d. Pedro a São Paulo?;Sua esposa, d. Leopoldina, juntamente com o ministério.
Qual foi o conteúdo da correspondência atribuída a José Bonifácio na época?;Que de Portugal não se esperava nada além de escravidão e horrores, indicando que a separação era inevitável.
"Qual a data e o significado do ""Grito do Ipiranga""?";"7 de setembro de 1822; é celebrado como a declaração de independência do Brasil."
"Como o ""Grito do Ipiranga"" foi recebido na época?";Teve pouco destaque na imprensa, sendo visto como um fato já consumado e sem especial significado para muitos.
Que data passou a ser comemorada como o início da ruptura com Portugal?;3 de junho de 1822, data da convocação da Assembleia Brasílica.
Quais eventos oficializaram a separação política do Brasil em 1822?;A aclamação de d. Pedro como imperador constitucional em 12 de outubro e sua coroação em 10 de dezembro.
Como foi a festa do aniversário de d. Pedro em 12 de outubro de 1822?;"Uma grande comemoração cívica com discursos, poesias, intensa participação popular e ""vivas"" ao imperador, religião e independência."
Qual a reação do imperador aos discursos que enfatizavam a origem popular do título?;"Desgostou-se, e a elite coimbrã reforçou o título oficial, atribuindo-o ""pela graça de Deus e unânime aclamação dos povos""."
Que medidas foram tomadas após a aclamação para conter o grupo radical?;José Bonifácio recebeu autoridade para abrir uma devassa, resultando em prisões e deportações de demagogos, anarquistas e republicanos.
Como foi a cerimônia de coroação de d. Pedro em 10 de dezembro de 1822?;Foi uma cerimônia quase privada, seguindo tradições do Antigo Regime, com a população assistindo do lado de fora do templo.
Que ordem honorífica d. Pedro criou no dia da coroação?;A Ordem do Cruzeiro, concedendo privilégios sociais e legais, semelhante à nobreza de funções do Antigo Regime.
Qual foi o modelo para a cerimônia de coroação e para a Ordem do Cruzeiro?;A cerimônia e a ordem foram inspiradas no modelo francês, especialmente na Legião de Honra criada por Napoleão Bonaparte.
Como o Império do Brasil se posicionava ideologicamente após a coroação?;Próximo ao ideário do Antigo Regime, mantendo privilégios e estrutura nobiliárquica ligada a cargos públicos.
O que a Gazeta do Rio de Janeiro declarou em 21 de dezembro de 1822?;Que o Brasil deixava de ser um Reino dependente e colônia de Portugal para se tornar um vasto Império e Nação livre na América.
O que o jornal português Trombeta Lusitana afirmou sobre a aclamação de d. Pedro?;Que ela representava o ponto preciso da independência do Brasil.
O que o barão de Mareschal escreveu sobre a situação do Brasil em dezembro de 1822?;Que o Brasil tinha soberania reconhecida e coroada, mas ainda não possuía constituição, códigos legais ou sistema de educação.
Quais as duas questões imediatas para o novo Império do Brasil?;Manter a unidade territorial e obter reconhecimento internacional.
Qual era a concepção de Império defendida pelas elites ilustradas brasileiras?;Um Império luso-brasileiro, que após conflitos, tornou-se o Império do Brasil.
Quais províncias brasileiras já haviam declarado apoio à independência até o final de 1822?;Minas Gerais, as províncias do Sul, Pernambuco, Goiás e Mato Grosso (em janeiro de 1823), Rio Grande do Norte, Alagoas e Sergipe.
Quais regiões permaneciam fiéis às cortes de Lisboa em 1822-23?;As quatro províncias do Norte (Pará, Maranhão, Piauí e Ceará), a Cisplatina e parte da Bahia.
Como a unidade territorial do Brasil foi consolidada?;Por meio das guerras de independência e conflitos civis entre portugueses e brasileiros.
Qual mito histórico foi construído sobre a independência do Brasil?;Que a separação teria sido pacífica, sem guerras civis nem anarquia, ideia posteriormente contestada.
"Por que o rompimento total entre Brasil e Portugal ainda estava ""sub judice""?";"Porque d. Pedro, português e herdeiro do trono, podia reunir os dois territórios; e faltava reconhecimento internacional do Brasil."
Qual era o maior receio internacional após a independência?;Uma possível guerra externa com Portugal e o retorno à condição de colônia.
Como os brasileiros reagiam à notícia do envio de tropas portuguesas?;Com temor, vendo ameaças de corsários e invasões militares pela antiga metrópole.
Qual era a posição de Portugal sobre a independência do Brasil?;Considerava o Brasil como herança portuguesa, justificando uso da força para reverter a separação.
Quando Portugal reconheceu oficialmente a independência do Brasil?;Em 1825, após negociações e indenizações.
Que condições Portugal impôs ao reconhecimento da independência?;Transferência da soberania ao Brasil sob d. Pedro e reserva para d. João VI do título de imperador do Brasil até sua morte em 1826.
Qual era a questão fundamental no Império brasileiro após a independência?;A distribuição de poder entre a autoridade nacional no Rio de Janeiro e os governos provinciais.
Qual regime político foi escolhido para o Império brasileiro?;A monarquia constitucional, inspirada nas ideias liberais.
Quando foi convocada a Assembleia Geral Constituinte e Legislativa?;Convocada em 3 de junho de 1822, instaurada em 3 de maio de 1823.
Como d. Pedro se posicionou na abertura da Assembleia?;Colocou-se acima dos representantes ao condicionar o juramento da constituição à sua aprovação, imitando a fórmula da Restauração francesa de 1814.
Quais eram os principais grupos de opinião entre os deputados?;Conservadores, moderados, democratas e exaltados, com interesses regionais e sociais diversos.
Qual a principal divergência sobre soberania?;"Os brasilienses defendiam soberania da nação e negavam veto absoluto ao imperador; os coimbrãos defendiam soberania compartilhada e Executivo forte."
Como foi proposta a substituição das antigas Juntas provinciais?;Por presidentes nomeados e removíveis pelo imperador, o que desagradou deputados do Nordeste, São Paulo e Minas Gerais.
"Qual foi a reação dos deputados ""democratas"" a essa centralização?";Consideraram o governo do Rio de Janeiro despótico e herdeiro da tradição portuguesa.
Como esses descontentamentos influenciaram o período regencial?;Serviram como justificativa para as rebeliões ocorridas entre 1831 e 1840.
O que aconteceu com José Bonifácio em julho de 1823?;Foi afastado do ministério após incompatibilização com d. Pedro, que cercou-se de portugueses favoráveis ao governo autoritário.
Qual foi o papel do jornal Tamoio nessa disputa política?;Fundado por José Bonifácio e irmãos, criticava democratas e autoritários, defendendo um poder equilibrado.
Como o Tamoio foi criticado?;Acusado pelos jornais oficiais de fomentar intrigas entre brasileiros e portugueses e apoiar o poder pleno de d. Pedro.
Quem foi Cipriano Barata e qual sua contribuição?;Jornalista que publicou o Sentinela da Liberdade em Pernambuco, alertando contra a dissolução do Congresso e o governo absoluto.
O que aconteceu em 3 de junho de 1823 em Portugal?;A Vilafrancada fechou as cortes portuguesas e restaurou o poder absoluto de d. João VI.
Qual foi a reação de d. Pedro diante da Vilafrancada?;Revelou seu lado autoritário e dissolveu a Assembleia Constituinte em 12 de novembro de 1823.
O que aconteceu com os deputados após a dissolução da Assembleia?;Alguns, como os irmãos Andrada, foram presos e exilados.
Como d. Pedro justificou a dissolução da Assembleia?;"Alegou necessidade de preservar a independência, combater desunião, anarquia e a ameaça dos ""pessoas do povo"" armadas para intimidar deputados fiéis."
Qual foi a promessa feita pelo imperador após a dissolução?;"A promessa de uma Carta Constitucional ""duplicadamente mais liberal""."
Qual a reação em Pernambuco ao fechamento da Assembleia?;Frei Joaquim do Amor Divino Caneca denunciou o ato como nefasto à liberdade, comparando-o ao golpe de 18 de Brumário de Napoleão.
Como o governo do Rio de Janeiro foi criticado nessa época?;"Como um governo dominado por portugueses (""partido dos chumbeiros"") e tramóias ministeriais que enganaram o imperador."
Quando foi outorgada a Constituição do Brasil?;Em 25 de março de 1824.
Qual a principal diferença entre a Constituição de 1824 e a proposta discutida na Assembleia Constituinte?;A Constituição foi outorgada pelo imperador, não emanou da representação da nação.
Que forma de governo foi estabelecida pela Constituição de 1824?;Monarquia hereditária e constitucional.
Qual característica do Império brasileiro foi reforçada pela Constituição de 1824?;O caráter unitário, com um executivo forte e centralizado.
Onde residia a soberania segundo a Constituição de 1824?;No imperador e na nação.
Como a Constituição foi aceita nas províncias?;Foi enviada às Câmaras Municipais para ser jurada.
Qual foi a reação das províncias do Nordeste à Constituição e ao centralismo?;Revolta e insatisfação, culminando na Confederação do Equador.
O que foi a Confederação do Equador?;Um movimento revolucionário de caráter federativo e republicano que reuniu Pernambuco e outras províncias em 1824.
Quais sentimentos marcaram a Confederação do Equador?;Sentimento antilusitano e autonomista, além do espírito republicano e federalista.
Qual foi o desfecho da Confederação do Equador?;Foi derrotada pela repressão do governo em novembro de 1824, com execuções de líderes, incluindo frei Caneca.
Quais avanços a Constituição de 1824 representou?;Estabeleceu a divisão dos poderes, atribuições claras e garantiu direitos individuais.
Que limitação social a Constituição de 1824 manteve?;"O voto censitário afastou grande parte das camadas pobres; não tratou da escravidão."
Quem detinha a autoridade última na prática, segundo a Constituição?;O imperador, devido ao poder moderador.
O que era o poder moderador?;Um poder exclusivo do imperador para sancionar, prorrogar, dissolver a Assembleia e garantir a ordem do Estado.
Que tensão política a Constituição de 1824 manteve?;O conflito entre a soberania do imperador (autoridade dinástica) e a soberania nacional (vontade popular).
O que aconteceu na abertura da Assembleia Geral em 6 de maio de 1826?;Pedro I manteve a coroa durante a cerimônia, enfatizando sua autoridade suprema.
Como d. Pedro justificou a dissolução da Assembleia Constituinte?;Alegou motivos conhecidos e prometeu uma Constituição para garantir harmonia entre poderes.
Que preocupação Pedro I expressou na Fala do Trono de 1826?;A necessidade de harmonia entre os poderes para evitar revoluções provocadas por interesses particulares.
Quais garantias políticas a Constituição dava aos membros da Assembleia?;Inviolabilidade pelas opiniões, liberdade de expressão, proteção contra prisão sem ordem da Câmara e sessões públicas.
Que papel político passou a ter a Assembleia Geral com a Constituição?;Tornou-se um espaço de discussão política onde a oposição podia se manifestar livremente.
Quem escolhia os senadores segundo a Constituição de 1824?;D. Pedro, com base em uma lista de até 150 nomes indicados pelas províncias.
Quantos indivíduos diferentes foram selecionados para o Senado?;112 indivíduos, sendo 42 também eleitos deputados.
Qual foi a estratégia de D. Pedro ao compor o Senado?;Formar um círculo privado de poder com pessoas de sua confiança, nobres e adeptos da política aristocrática.
Qual grupo da Câmara dos Deputados ressentia-se da herança cultural portuguesa?;A nova geração de formados em Coimbra após 1816, aproximada dos elementos radicais.
Qual era a principal preocupação dos deputados na legislatura de 1826?;Lutar contra o absolutismo e a opressão, defendendo os direitos e deveres dos brasileiros.
Quais órgãos coloniais a Assembleia aprovou extinguir?;A Mesa do Desembargo do Paço e da Consciência e Ordens, e a Intendência Geral da Polícia.
Que novas instituições jurídicas a Assembleia propôs?;Criação de um Supremo Tribunal e elaboração de um Código Criminal concluído em 1830.
O que a Assembleia determinou sobre a liberdade de imprensa em 1830?;Regulamentou-a, garantindo total imunidade aos autores de obras políticas.
Como a imprensa participou do cenário político entre 1826 e 1829?;Tornou-se um canal importante de oposição moderada e também teve um jornal oficial, a Gazeta do Brasil, subsidiado pelo governo.
"Quem era o ""primeiro-ministro"" ou ""presidente do Conselho"" fiel a Pedro I?";Francisco Gomes da Silva, conhecido como Chalaça.
Que efeito teve o círculo privado de portugueses na corte para o clima político?;Acendeu o temor de um governo centralizador e absolutista, causando oposição na Assembleia.
Que preocupação a Assembleia expressou em 1828 em relação ao despotismo?;Vigilância para que o despotismo não retornasse e não destruísse a prosperidade e a glória do Império.
Quais dificuldades aumentaram a oposição ao imperador em 1829?;Dificuldades econômicas e financeiras do Império, além da predominância dos portugueses no comércio varejista.
Como Pedro I tentou justificar a convocação extraordinária da Assembleia em 1829?;Apontou a chegada de emigrados portugueses e a crise financeira, culpando a inatividade da Assembleia.
O que a imprensa política significava para a sociedade naquela época?;Canal principal para veiculação de ideias políticas e formação da opinião pública.
"Como o jornal ""Nova Luz Brasileira"" definia opinião pública?";Como o pensamento uniforme da maioria do povo sobre um tema, com poder de influência e vitória certa.
"O que indicava o surgimento do ""Tribunal da Opinião Pública""?";Uma visão radical de soberania popular, aproximada dos jacobinos franceses.
Como a imprensa áulica defendia Pedro I?;Publicando textos e alegorias políticas que justificavam seus atos e práticas governamentais.
O que representava a alegoria do baile descrita no texto?;O baile representava as reuniões da Assembleia dos deputados, o imperador era o dono da casa, os liberais eram os parasitas foliões, os deputados que apoiavam o governo eram os amigos sérios, e os espectadores eram os assistentes das galerias.
Como Pedro I encerrou a legislatura em 1829?;Encerrou-a na data prevista pela Constituição, apesar das manifestações para que fosse prolongada.
O que Pedro I fez no final de 1829 para tentar melhorar a situação política?;Substituiu o ministério acusado de trabalhar para o absolutismo por outro de prestígio, enviou Chalaça para a Europa e exigiu o banimento da marquesa de Santos para casar-se com a princesa Amélia.
Qual efeito teve a substituição do ministério e o banimento da marquesa de Santos em 1830?;Criou um clima relativo de serenidade política naquele ano.
Como eram os deputados eleitos para a nova legislatura de 1830?;Eram mais radicais, favoráveis ao federalismo e, em alguns casos, ao republicanismo.
Como os oposicionistas passaram a exercer suas atividades políticas?;Por meio de jornais de curta duração e reuniões secretas em clubes, deslocando a discussão para a esfera privada.
Que evento internacional influenciou os oposicionistas brasileiros em 1830?;A Revolução de Julho na França, que derrubou Carlos X e colocou Luís Filipe no trono.
Qual era a preocupação dos oposicionistas em relação ao imperador Pedro I?;"Temiam um novo golpe autoritário, similar ao ato de dissolução da Assembleia em 1823, associando isso ao ""gabinete secreto"" liderado por Chalaça."
"O que foi a ""Noite das Garrafadas""?";Tumultos ocorridos no Rio de Janeiro entre portugueses e brasileiros, no início de 1831.
O que ocorreu em 5 de abril de 1831 em relação ao ministério?;Houve uma brusca mudança, com o retorno de auxiliares fiéis ao imperador, todos nobres, aumentando a tensão política.
Qual foi a reação da população e do Exército diante da mudança ministerial em 1831?;Exigiram a volta do ministério deposto, aumentando a crise política.
O que levou Pedro I a abdicar do trono brasileiro?;A falta de apoio militar e a crise política, com a pressão popular e militar.
A quem Pedro I deixou o trono ao abdicar?;Ao seu filho, o futuro Pedro II.
Como ficou a fama de Pedro I após a abdicação?;Ficou conhecido como soberano intransigente, autoritário e absolutista.
O que Pedro I fez em Portugal após deixar o Brasil?;Lutou contra tropas absolutistas, restaurou a Carta liberal de 1826 e criou condições para a segunda experiência liberal portuguesa.
Como ficou o Brasil após o fim do Primeiro Reinado?;Entrou no período das Regências (1831-1840), ainda buscando organização política, mas continuava governado pela dinastia dos Bragança com Pedro II no trono.
Qual o período que completou a metamorfose de colônia a Brasil independente?;23 anos, correspondendo a uma geração humana, entre 1808 (abertura dos portos) e 1831 (abdicação de D. Pedro I).
Quais são as duas datas simbólicas que marcam a evolução do Brasil para a independência?;Abertura dos portos em 28 de janeiro de 1808 e abdicação de D. Pedro I em 7 de abril de 1831.
