O que motivou a imigração europeia para o Brasil após 1888?;A abolição da escravidão e a necessidade de substituir a mão de obra no café.
Qual era a importância das eleições na política oligárquica?;Serviam como rito formal, legitimizando o controle dos coronéis e das oligarquias estaduais sobre o poder local e federal.
O que caracterizava o pacto coronelista?;Troca de votos por empregos e verbas públicas, controle dos eleitores pelas elites locais e negociação contínua entre facções e oligarquias estaduais.
Qual foi o impacto das guerras civis (Rio Grande do Sul e Canudos) sobre os militares e positivistas?;Enfraqueceu o prestígio militar e as teses positivistas, fortalecendo a hegemonia das lideranças civis paulistas.
Que políticas Rodrigues Alves implementou no Rio de Janeiro (1902-1906)?;Austeridade monetária, modernização do porto e campanhas de erradicação da varíola e da febre amarela.
Quais conflitos urbanos marcaram o início do século XX?;Revolta da Vacina (1904), envolvendo trabalhadores urbanos e motins populares contra medidas sanitárias.
Quais crises marcaram os governos de Afonso Pena e Nilo Peçanha?;Conflitos armados e duplicidade de assembléias na Bahia, Goiás, Amazonas e Rio de Janeiro.
Qual era a função central das eleições na Primeira República?;"Regular disputas entre coronéis e organizar lealdades políticas; não se limitavam apenas ao voto popular."
Como o coronel republicano usava o poder do Estado após a Abolição?;Para atrair eleitores, conseguir trabalhadores e garantir a fidelidade dos que não tinham direitos políticos.
"O que exemplifica o conflito entre ""Maneco Castro"" e ""Araújo Silva""?";A disputa pelo controle sobre a ex-escrava preta Matilde mostra a tensão entre autoridade republicana e poder local, e a negociação de lealdades.
Como se evidenciava a negação da cidadania de ex-escravos como Matilde?;Apesar de considerada cidadã formalmente, sua cor e condição social eram mencionadas no inquérito, refletindo hierarquização racial e poder local.
Que mudanças a Abolição e a separação Igreja-Estado provocaram no mundo rural?;Alteraram padrões de dominação, enfraqueceram a autoridade senhorial e modificaram as relações de trabalho e fidelidade política.
Quem foi Padre Cícero e qual seu papel político?;Líder religioso e político em Juazeiro, Ceará, mobilizava camponeses, organizava clientelas locais e influenciava eleições e disputas oligárquicas.
Qual foi o milagre que marcou a trajetória de Padre Cícero?;Em março de 1889, uma hóstia consagrada sangrou durante a comunhão, fenômeno que se repetiu por quase dois meses.
Como a Igreja reagiu à atuação de Padre Cícero?;Excomungou-o em 1916 devido ao desvio das práticas tradicionais do catolicismo, mas ele manteve influência política local.
Qual era a importância das irmandades leigas no contexto de Padre Cícero?;"Serviam como instrumentos de mobilização popular, funcionando como ""comícios políticos"" que organizavam a lealdade dos camponeses."
Como Padre Cícero exercia o papel típico dos coronéis?;Mobilizava eleitores e não eleitores, garantindo apoio político local e estruturando disputas entre facções.
Qual foi o papel de Padre Cícero nas lutas oligárquicas de 1913-1914?;Garantiu o retorno ao poder da oligarquia da família Accioli no Ceará por meio de apoio político e mobilização popular.
Como se organizava a política municipal de Juazeiro na década de 1920?;Conflito entre adventícios (chegados por romarias) e filhos da terra, evidenciando disputas locais não caricaturais.
Qual a importância das guerras camponesas de Canudos e Contestado?;Demonstram a necessidade de lealdades verticais e controle das massas rurais pelas elites para manter o poder político.
O que evidenciam esses conflitos sobre a Primeira República?;A centralidade da violência, clientelismo e mobilização popular para manter o domínio das oligarquias regionais e o controle sobre o voto e trabalhadores.
Que efeitos teve o fim da escravidão no sertão brasileiro?;Retirou a ameaça de reescravização e ofereceu mobilidade espacial e reprodução dos modos de vida do campesinato livre, mas desorganizou a ordem social.
Qual foi o contexto de formação do Arraial de Canudos?;Migração interna de recém-libertos nos anos finais da década de 1880, em meio a temor de reescravização e desconfiança em relação ao registro civil republicano.
Como os habitantes de Canudos reagiram ao registro civil republicano?;Recusaram-se a adotá-lo, negociando inicialmente com Antônio Conselheiro e radicalizando a leitura da ordem republicana.
Qual era a percepção inicial sobre Canudos?;"Considerada manipulação monarquista de camponeses ignorantes; depois constatou-se ausência de força política organizada."
Qual foi o efeito do massacre de Canudos sobre o jacobinismo?;Enfraqueceu o jacobinismo e as propostas positivistas, reforçando o poder civil da oligarquia paulista.
Quem foi José Maria no contexto do Contestado?;Curandeiro e profeta, autointitulado monge, mobilizou camponeses em migração coletiva e misturou práticas religiosas com organização militar.
Qual foi a reação das elites locais ao movimento de José Maria?;"Consideraram sua chegada a Taquaraçu como ""invasão catarinense""; confronto armado resultou na morte do líder e de um chefe militar estadual."
Como se consolidou a crença messiânica do Contestado?;Mesmo após a dispersão inicial, disseminou-se a crença na ressurreição de José Maria, com adesão de fazendeiros ricos e remediados.
Qual a função do coronel e exércitos privados na Primeira República?;"Faziam guerras locais, mas também facilitavam negociações de paz; eleições simbolicamente definiam disputas entre eles."
Que papel tiveram as eleições na Primeira República?;Serviam para circulação estratégica de elites, renovação política mínima e mobilização pedagógica de eleitores.
Como a alfabetização influenciava a cidadania?;Critério de voto e base para campanhas populares de educação, estruturando a participação política dentro das vilas e cidades.
Quem foi Pinheiro Machado e seu papel político?;"Coronel gaúcho, intelectual positivista e parlamentar; controlava reconhecimento de mandatos no Senado e compunha alianças nacionais."
Como Nilo Peçanha exercia poder coronelista?;Troca de favores do Estado com aliados municipais, clientelismo direto com funcionalismo e operariado, mantendo ambições nacionais.
Que relação havia entre voto e clientelismo na Primeira República?;"Voto mantinha centralidade; pleitos organizavam lealdades, mediando interesses entre elites e populações populares."
Como o voto ia além do pacto oligárquico?;Permitindo práticas de mobilização, aprendizado político e disputas simbólicas, mesmo em contextos de fraude e violência eleitoral.
Como T.H. Marshall definiu a construção da cidadania?;Conquista progressiva de direitos civis, depois políticos, sociais e culturais nas democracias modernas.
Qual era a dimensão central dos direitos civis nas Américas no século XIX?;Ligada à abolição da escravidão: integridade física, liberdade de ir e vir, família, propriedade e herança.
Que influências moldaram o Código Civil de 1916 no Brasil?;"Intelectuais católicos influenciaram o reconhecimento de direitos civis; propostas de divórcio e igualdade de gênero foram excluídas."
Que exemplo ilustra a luta por direitos civis na Marinha?;Revolta da Chibata em 1910 liderada por João Cândido, contra castigos físicos e pela dignidade dos marinheiros.
Qual foi o resultado imediato da Revolta da Chibata?;Fim dos castigos físicos e anistia aos revoltosos, mas posterior repressão e perseguição aos líderes.
Como a leitura racial influenciou a memória da Revolta da Chibata?;"João Cândido foi lembrado como o ""Almirante Negro""; racismo predominou na narrativa histórica até o século XX."
Que papel tiveram jornais negros urbanos na Primeira República?;"Denunciaram discriminação racial, promoveram identidade de ""homens de cor"" e celebraram memória da Abolição."
Quem foi Monteiro Lopes e sua importância política?;"Primeiro deputado negro eleito em 1909; abolicionista, socialista e defensor de direitos civis e políticos da população negra."
Como Monteiro Lopes garantiu sua posse no Congresso?;"Mobilização de grupos negros, comissões permanentes e ação judicial; apoio de políticos influentes como Rui Barbosa e Pinheiro Machado."
Qual era o objetivo do racismo científico na Primeira República?;"Branqueamento da população e exclusão de negros; alguns defendiam medidas extremas como esterilização."
Que iniciativa de Olavo Bilac se destacou em 1906?;Defendeu, com base na Constituição, a entrada de negros e mestiços na guarda civil de São Paulo.
Como surgiram os primeiros partidos operários na República?;"1890: criação do Centro do Partido Operário por José Augusto Vinhaes; foco em direitos sociais, políticos e clientelismo."
Quais foram os objetivos do Partido Operário Brasileiro de 1893?;Universalizar o sufrágio, incluir mulheres e analfabetos e defender direitos sociais.
Como a política operária evoluiu após 1903?;Tornou-se mais ampla e articulada, com participação multiétnica e complexa organização associativa e sindical.
Qual era o papel da linguagem universal da classe operária?;Predominava na unificação de interesses e demandas, apesar das clivagens raciais e nacionais internas.
Como eram organizados os trabalhadores no início do século XX?;Por ofícios, com sindicatos que incluíam tendências socialistas, trabalhistas, anarquistas e reformistas.
Quais anos tiveram greves significativas no Brasil?;1903, 1906/1907, 1917-1919, com destaque para São Paulo em 1917.
Qual foi o papel do I Congresso Operário Brasileiro em 1906?;Prevaleceu a influência de anarquistas e sindicalistas revolucionários, defendendo a negação da política institucional.
Qual foi a aliança política central durante os governos de Rodrigues Alves e Afonso Pena?;Minas e São Paulo controlavam o governo federal, com base nos interesses cafeeiros e no Convênio de Taubaté (1906).
Quem eram os jovens políticos do “grupo do Jardim de Infância”?;Políticos promovidos por Afonso Pena, buscando modernizar práticas políticas.
Que característica marcou o governo de Nilo Peçanha (1909-1910)?;Breve governo, reforçando tendências de modernização política e clientelismo oligárquico.
Como Pinheiro Machado influenciou a eleição de Hermes da Fonseca?;Aproximou-se do marechal promovendo uma agenda de reformas sociais e políticas, articulando o Partido Republicano Conservador (PRC).
Qual era a oposição a Hermes da Fonseca em 1910?;"Rui Barbosa, apoiado por dissidência do PRM, Partido Republicano Paulista e oligarquia baiana; defendia voto secreto e alfabetização."
Qual foi a estratégia eleitoral ambígua de 1910?;Ambas candidaturas combinavam alianças oligárquicas com apelos a setores modernos do eleitorado urbano.
O que foram as “salvações nacionais” promovidas por Hermes da Fonseca?;Intervenções militares nos estados oposicionistas para conter oligarcas locais, inspiradas na ideia do soldado-cidadão.
Como se deu a profissionalização do Exército durante Hermes da Fonseca?;Modernização, recrutamento universal por sorteio e fortalecimento institucional, mantendo hegemonia oligárquica.
Qual foi a consequência da morte de Pinheiro Machado em 1915?;Fim de seu papel como articulador nacional coronelista, permitindo vitória política do grupo de Nilo Peçanha.
Que impactos tiveram a Primeira Guerra Mundial e a Revolução Russa no Brasil?;Redefiniram a interação urbana com ideias externas, estimularam a industrialização e surgimento de novos atores políticos.
Qual foi a política econômica do governo Wenceslau Braz (1914-1918)?;Intervencionista, com valorização do café (segunda política de 1917) e aproximação das oligarquias de São Paulo e Minas.
Qual foi a atuação dos deputados trabalhistas durante Wenceslau Braz?;Denunciaram problemas dos trabalhadores, defenderam greves e propuseram legislação social pioneira, incluindo projeto de Código de Trabalho.
Quem foi eleito presidente em 1919 após a morte de Rodrigues Alves?;Epitácio Pessoa, paraibano, com programa de atenção ao Nordeste, mas governo intervencionista a favor dos interesses cafeeiros.
Qual foi o papel de Rui Barbosa na eleição de 1919?;"Concorrente anticandidato, sem apoio estadual, obteve um terço dos votos e venceu no Distrito Federal; defendeu legislação operária."
O que caracterizou o governo de Epitácio Pessoa?;Terceira valorização do café, criação do Instituto de Defesa Permanente do Café e indicação de Arthur Bernardes como sucessor.
O que foi a Reação Republicana de 1921?;Candidatura de Nilo Peçanha, formada por estados de segunda grandeza contra a preponderância de SP e MG, mobilizando o eleitorado urbano.
Que transformações culturais e políticas marcaram 1922?;Fundação do Partido Comunista do Brasil e Semana de Arte Moderna em São Paulo, ambas construindo identidades inovadoras, ligadas a mudanças sociais e políticas.
Qual foi o impacto da Revolução Russa no Brasil?;Influenciou o movimento operário e deu origem a partidos comunistas e sindicatos revolucionários.
O que marcou a política repressiva de Arthur Bernardes (1922-1926)?;Conjuntamente à repressão do movimento operário, promoveu reforma da Constituição permitindo leis de proteção ao trabalho.
O que foi o movimento tenentista?;Levantes militares iniciados em 1922, questionando vitórias eleitorais e atualizando a doutrina do soldado-cidadão, culminando em ações como Copacabana e Coluna Prestes.
Como Bernardes lidou com rebeldes estaduais?;Interveio em todos os estados dissidentes, incorporando-os ao jogo político e negociando anistias, revisando constituições estaduais para limitar reeleição e distribuir representação.
Quem foi apoiado por Minas, Paraíba e dissidências estaduais contra Júlio Prestes?;Getúlio Vargas, candidato da Aliança Liberal, criticando supremacia paulista, defendendo voto secreto, educação e políticas sociais para trabalhadores.
Quais foram os eixos centrais da campanha de Getúlio Vargas?;Crítica ao controle do Estado pelos cafeicultores, abertura para interesses agrícolas emergentes, industrialismo, voto secreto, expansão da alfabetização e políticas sociais.
Qual foi a reação da elite industrial à campanha de Vargas?;Maioria apoiou Júlio Prestes e o Partido Republicano Paulista, mantendo a vitória eleitoral do candidato oficial.
Por que a deposição de Washington Luís é considerada um conflito interoligárquico?;Reação dos demais estados à supremacia econômica e demográfica de São Paulo, repetindo estratégias de mobilização do eleitorado urbano de campanhas anteriores (1910, 1921).
O que ocorreu com a ordem constitucional de 1891 em 1930?;Foi encerrada com o movimento civil-militar de outubro de 1930, que depôs Washington Luís e entregou o poder aos revoltosos.
Qual foi a função do Movimento Pacificador em 1930?;Formado pelos altos escalões do Exército e da Marinha, mediou a intervenção militar e deu encaminhamento à crise política.
Quais temas centrais da Primeira República permaneceram em pauta após 1930?;Representação política, universalização da educação, identidade nacional negra e mestiça, combate ao racismo e direitos sociais dos trabalhadores.
Quem elaborou o código eleitoral de 1932 e qual sua importância?;Assis Brasil, republicano histórico, elaborou o código que preparou a reconstitucionalização do país e influenciou a Justiça eleitoral brasileira até hoje.
Como a memória da Primeira República foi reinterpretada no Estado Novo?;Foi transformada na ideia da “República Velha”, reforçando a ilusão de predominância oligárquica liberal e apagando a memória da luta por direitos e da competição eleitoral.
Como os cidadãos brasileiros participaram da política na Primeira República?;Mesmo com restrições, faziam política articulando-se com as elites oligárquicas, às vezes combatendo-as, às vezes dando-lhes sustentação, em variados espaços sociais e culturais.
Exemplos de diferentes formas de atuação política de cidadãos;"Padre Cícero mobilizando eleitores no Nordeste; Eduardo das Neves fazendo política pela música; Monteiro Lopes no Parlamento e no cemitério; Matilde explorando rixas locais."
Como se consolidava a dominação coronelista?;Pela exclusão política de analfabetos e pela limitação da expansão escolar na população rural.
Apesar da cidadania restritiva, onde havia lutas por ampliação de direitos?;No Parlamento, campanhas eleitorais, movimento operário, imprensa negra, indústria cultural, campanhas de alfabetização e práticas clientelistas urbanas.
Qual legado político da Primeira República permanece até hoje?;Culturas e tradições políticas construídas em embates sociais, eleitorais e culturais, influenciando a política brasileira contemporânea.
Como a República Provisória tratou a nacionalidade de estrangeiros?;"Concedeu nacionalidade automaticamente a estrangeiros residentes; quem não quisesse ser brasileiro deveria declarar por escrito, gerando protestos de Portugal, Itália, Espanha e Império Austro-Húngaro."
Quais dois assuntos externos exigiram atenção imediata do governo provisório?;Implementação do tratado com a Argentina sobre Palmas e participação brasileira na primeira Conferência Pan-Americana.
Qual foi o objetivo do pan-americanismo dos EUA na América Latina?;Reafirmar a Doutrina Monroe, promover união aduaneira, moeda comum e arbitramento obrigatório, consolidando hegemonia sobre a região.
Como o Brasil participou da primeira Conferência Pan-Americana em 1889?;"Enviou delegação com Lafayette Rodrigues Pereira, José Gurgel do Amaral Valente e Salvador de Mendonça, instruídos a aceitar arbitramento obrigatório e dar ""espírito americano"" às instruções republicanas."
Qual foi o resultado concreto da primeira Conferência Pan-Americana?;Criação do Bureau Comercial das Repúblicas Americanas, em Washington, para compilar dados sobre comércio continental.
O que foi o Tratado de Reciprocidade de 1891 entre Brasil e EUA?;Convênio aduaneiro que isentava produtos norte-americanos de impostos e liberava entrada de açúcar brasileiro nos EUA, visando estreitar relações comerciais.
Por que o tratado de 1891 gerou oposição no Brasil?;Beneficiava muitos produtos norte-americanos, dificultava a industrialização brasileira e não garantia monopólio do açúcar nordestino.
Qual foi o impacto do tratado sobre o comércio bilateral?;Exportações brasileiras aumentaram, especialmente açúcar, mantendo superávit comercial e barateando produtos norte-americanos para consumidores brasileiros.
Como mudanças políticas nos EUA afetaram o tratado?;A eleição de Grover Cleveland e o Congresso democrata revogaram a reciprocidade, taxando o açúcar brasileiro em 40% e levando o Brasil a denunciar o tratado em 1894.
Qual era a preocupação do Brasil em relação à Argentina no período?;Impedir o expansionismo do Rio da Prata, preservar a navegação nos rios platinos e proteger Mato Grosso e Rio Grande do Sul de possíveis ameaças secessionistas.
Qual foi o contraste entre o discurso da elite imperial e a oposição republicana sobre a América?;"A elite imperial exaltava diferenças com países vizinhos e queria ser europeia; a oposição republicana, pelo Manifesto de 1870, queria ser americana e integrar a América Latina."
Como mudou a percepção brasileira sobre identidade e América com a República?;Tornou-se ideal de que ser brasileiro era também ser latino-americano, com esperança e angústia pelas incertezas da mudança, resumido por Euclides da Cunha.
Qual era a visão idealista da política externa no início da República?;Que a forma republicana criaria convergência e irmandade com os países vizinhos, especialmente na América do Sul.
Como a Argentina reagiu à proclamação da República brasileira?;"Primeiro país a reconhecer a República, oferecendo documento grandiloquente; esperava divisão favorável do território de Palmas."
Qual foi o papel de Quintino Bocaiúva no tratado com a Argentina?;Assinou em Montevidéu, em 1890, o tratado que favorecia a Argentina, mas que foi rejeitado no Brasil, levando à arbitragem internacional.
Quem representou o Brasil na arbitragem de Cleveland sobre Palmas?;Francisco Xavier da Costa Aguiar de Andrada como principal, Dionísio Cerqueira como segundo delegado, auxiliados por José Cândido Guillobel e outros diplomatas.
Qual foi a contribuição do barão do Rio Branco na arbitragem?;Substituiu Aguiar de Andrada, estudou mapas e documentos históricos, elaborou a “Memória” brasileira, garantindo a posse do território litigioso em 1895.
Como Floriano Peixoto conduziu a política externa?;Pragmatismo subordinado à manutenção do poder e consolidação da República, mas ainda com improvisação e ausência de processos formais decisórios.
Como Floriano atuou no Paraguai em 1894?;Apoio à candidatura de Caballero e financiamento de golpe para impedir candidatura pró-Argentina de Decoud, garantindo influência brasileira.
Qual foi a atuação de Salvador de Mendonça durante a Revolta da Armada?;Impediu que EUA reconhecessem os rebeldes, comprou navios mercantes armados para o governo, garantindo apoio internacional e vencendo a revolta.
Qual foi o impacto do rompimento com Portugal em 1894?;Reforçou imagem de Floriano como presidente forte, devido ao asilamento de revoltosos portugueses e à repressão bem-sucedida das revoltas da Armada e Federalista.
Qual foi o legado da República das Espadas?;Fim do período militar, consolidação da República, reforço da figura de presidente forte e desafios limitando a ação externa de Prudente de Morais.
O que ocorreu com a ilha de Trindade em 1895?;"Foi ocupada por um cruzador britânico, sendo inicialmente incorporada ao Império britânico; o Brasil protestou e, com mediação de Portugal, a Grã-Bretanha reconheceu a soberania brasileira."
Como o Brasil marcou a posse da ilha de Trindade em 1897?;"Enviou o cruzador Benjamin Constant com um marco de pedra; devido ao clima, foi colocado um marco provisório com chapa de metal indicando “Brasil”."
Qual era a pretensão da França sobre a fronteira norte brasileira?;Expandir a Guiana francesa até o rio Amazonas, retomando política expansionista antiga do Império francês.
Como surgiu a disputa pelo rio Oiapoque?;David Bailie-Warden alterou mapas de 1834, fazendo o rio Oiapoque parecer o Araguari, apoiando pretensões francesas sobre o Amapá.
Como o Brasil reagiu aos conflitos com franceses na região do ouro do Calçoene?;"Conflitos ocorreram entre brasileiros auto-organizados e militares franceses; em 1896 optou-se por resolver pelo arbitramento internacional."
Quem foi o árbitro da disputa Brasil-França sobre o Oiapoque?;O presidente do Conselho Federal da Suíça, definido pelo compromisso arbitral de 10 de abril de 1897.
Qual foi a estratégia de Rio Branco na arbitragem da Guiana?;"Produziu duas ""Memórias"" detalhadas, utilizando tratados históricos e provas documentais, contando com apoio do cientista Emilio Goeldi."
Qual foi o resultado da arbitragem de 1900 sobre a fronteira com a França?;Favorável ao Brasil, garantindo o reconhecimento da soberania brasileira sobre o território disputado.
Como o Brasil reagiu à proposta norte-americana de livre-comércio em 1897?;Recusou, argumentando que reduziria a arrecadação fiscal e que havia desigualdade no comércio bilateral.
Qual foi a posição do Brasil na Guerra Hispano-Americana de 1898?;Declarou rigorosa neutralidade, mas vendeu dois navios de guerra encomendados na Europa aos EUA por problemas financeiros e de operação.
Como a situação financeira afetou a presidência de Campos Sales?;Antes de assumir, ele foi a Londres negociar a dívida externa, no funding loan, para equilibrar a situação do Tesouro brasileiro.
Qual foi o grande evento externo do governo Campos Sales em 1899?;A primeira visita oficial de um chefe de Estado estrangeiro ao Brasil: o presidente argentino Júlio Roca.
Qual objetivo da visita de Júlio Roca ao Brasil?;Reforçar união e amizade entre Brasil e Argentina, evitar alianças entre Brasil e Chile, e fortalecer posição da Argentina na corrida armamentista com o Chile.
Como se chamava o episódio da disputa comercial com a Argentina?;"A ""guerra das farinhas"", envolvendo impostos sobre trigo importado do EUA e produtos argentinos."
"Qual resultado da ""guerra das farinhas""?";Em 1902, a Argentina reduziu o imposto sobre o café brasileiro, favorecendo exportações do Brasil.
Quem foi convidado por Rodrigues Alves para ser ministro das Relações Exteriores?;O barão do Rio Branco, que aceitou o cargo após insistência, retornando ao Brasil depois de quase três décadas na Europa.
Quais eram os principais desafios de Rio Branco ao assumir o Itamaraty?;Definir fronteiras (Uruguai, Argentina, Paraguai, Guiana Francesa), solucionar a Questão do Acre, modernizar o Ministério das Relações Exteriores e enfrentar Brasil militarmente fraco e economicamente atrasado.
Qual foi a visão de Rio Branco sobre o poder militar e o pacifismo?;Defendia capacidade militar para proteção, mas guiou sua diplomacia pelo pacifismo, igualdade jurídica, respeito ao direito internacional e não intervenção.
Qual era a estratégia de Rio Branco com os Estados Unidos?;Consolidar aproximação diplomática e econômica, reconhecendo-os como potência emergente e principal mercado do café brasileiro, elevando o status das embaixadas em 1905.
Como o Brasil se posicionou diante da independência do Panamá e intervenção na Venezuela?;Não se opôs, alinhando-se aos interesses norte-americanos e reforçando estabilidade regional sem contradizer princípios de não intervenção.
Qual era a situação do Acre ao assumir Rio Branco?;"Território definido como boliviano, mas sem presença boliviana efetiva; milhares de brasileiros exploravam látex e resistiam à imposição de leis bolivianas."
Quem declarou a independência do Acre em 1899?;"Luiz Gálvez Rodrigues de Árias, aventureiro espanhol; seu pedido de anexação ao Brasil foi recusado."
Como o governo brasileiro lidou com os brasileiros no Acre em 1899?;Garantiu que não perderiam a nacionalidade brasileira, mas deveriam se subordinar às leis bolivianas.
O que foi o Bolivian Syndicate?;Uma empresa de investidores britânicos e norte-americanos que recebeu concessão de exploração e administração do Acre, com poder de polícia, cobrança de impostos e tropas próprias.
Qual foi a reação dos brasileiros à tentativa de cobrança de impostos boliviana em 1902?;Revolta liderada por Plácido de Castro, com ataque a Xapuri em 6 de agosto e proclamação da independência do Acre em 7 de agosto.
Como Rio Branco via o Bolivian Syndicate e a atuação dos EUA?;"Considerava o Syndicate basicamente norte-americano e alertava que os EUA não intervieriam; preocupava-se com possíveis alianças europeias para explorar a América do Sul, ameaçando a Doutrina Monroe."
Qual interpretação Rio Branco adotou do Tratado de 1867 para o Acre?;Defendeu a linha leste-oeste no paralelo 10°20' como fronteira, considerando o Acre território litigioso em relação à Bolívia e ao Peru.
Como o Brasil impediu a atuação do Bolivian Syndicate?;Ocupou o Acre com duas brigadas antes do Syndicate assumir, fechou a navegação dos rios amazônicos para embarcações estrangeiras, forçando o sindicato a abrir mão de seus direitos mediante compensação de 110 mil libras.
Qual foi a estratégia de Rio Branco na negociação com a Bolívia sobre o Acre?;Evitou arbitragem internacional, negociou diretamente com Bolívia, oferecendo 2 milhões de libras e outras facilidades, baseando-se no uti possidetis.
Quando e qual tratado oficializou a posse do Acre pelo Brasil?;Tratado de Petrópolis, assinado em 17 de novembro de 1903.
Quais foram as principais cláusulas do Tratado de Petrópolis?;"Acre passou ao Brasil; Bolívia recebeu 2.296 km² entre rios Abunã e Madeira, acesso ao Atlântico; construção da ferrovia Madeira-Mamoré; transferências de terras adicionais para Bolívia."
Como o Brasil resolveu a questão do Acre com o Peru?;Impôs retirada das tropas peruanas, negociou modus vivendi em 12 de julho de 1904, e tratou o limite definitivo no Tratado de Limites de 8 de setembro de 1909, garantindo 152 mil km² ao Brasil.
Qual era a situação da Guiana Inglesa e do Pirara?;"Litígio territorial iniciado em 1838 por Robert Hermann Schomburgk; neutralização do território em 1842; acordo de arbitragem firmado em 1899, com o rei Vitor Emanuel III da Itália como árbitro."
Quem representou o Brasil na arbitragem do Pirara e qual foi sua estratégia?;"Joaquim Nabuco; elaborou três ""Memórias"" de defesa, organizou intensa logística e socialização na Europa para influenciar o árbitro favoravelmente."
Qual foi a decisão do rei da Itália sobre o litígio do Pirara em 1904?;Vitor Emanuel III decidiu que nem Portugal nem Brasil tiveram posse real, rejeitou os argumentos ingleses e estabeleceu os limites pela divisão das águas, favorecendo mais a Inglaterra.
Por que a sentença italiana sobre o Pirara foi desfavorável ao Brasil?;O rei tinha preconceito contra o Brasil e considerou falsos os mapas e documentos apresentados nas “Memórias” de Nabuco.
Qual era a estratégia de Rio Branco no Rio da Prata?;Buscar equilíbrio de poder com a Argentina e manter estabilidade regional, sem apoiar golpes ou guerras civis, mantendo relações próximas com Uruguai e Paraguai.
Como o Brasil tratou a guerra civil no Paraguai em 1904?;Negou apoio ao governo constitucional derrubado e não interferiu, enquanto a Argentina apoiou os exilados liberais.
Qual acordo foi dado ao Uruguai em 1909?;Concedeu condomínio da soberania da lagoa Mirim, permitindo navegação de barcos e manutenção de equilíbrio regional.
O que Rio Branco tentou negociar com a Argentina sobre paz permanente?;"Tentou estabelecer acordo bilateral permanente com Manuel Gorostiaga, mas sem sucesso; tensões aumentaram após 1906."
Como a Argentina reagiu ao reequipamento militar brasileiro?;"Interpretou como ameaça, denunciou o Pacto de Equivalência Naval e pressionou por concessões de navios; preparou plano militar secreto contra o Brasil."
O que foi o Caso Panther em 1905?;"Canhoneira alemã entrou na costa de Santa Catarina e tentou prender um desertor; Brasil obteve desculpas formais da Alemanha, revelando fraqueza militar."
Como ocorreu a corrida armamentista Brasil-Argentina?;Após o Brasil adquirir encouraçados e outros navios, a Argentina respondeu simetricamente, preocupada com superioridade naval.
Qual foi a estratégia de Rio Branco em relação a Zeballos?;Revelou o conteúdo verdadeiro do telegrama nº 9 de 1908, desmascarando Zeballos, mantendo credibilidade do Brasil e neutralizando acusações de hostilidade.
Qual foi a tentativa de coordenação Brasil-Argentina-Chile em 1909?;Rio Branco recebeu Puga Borne e apresentou rascunho de “tratado de cordial inteligência”, mas a proposta não avançou.
Por que Rio Branco se interessou pelo projeto chileno de coordenação sul-americana?;Para estabilizar politicamente a região e em resposta à decepção com os EUA na II Conferência de Paz de Haia (1907), que não apoiaram o pleito brasileiro por cadeira permanente na Corte Internacional de Justiça.
Qual foi a missão de Ramón J. Cárcano em 1911?;Enviada pelo presidente argentino Sáenz Peña ao Brasil para negociar o fim da corrida armamentista Brasil-Argentina.
Que acordo foi feito sobre navios encouraçados entre Brasil e Argentina?;Brasil e Argentina renunciaram à construção de um terceiro grande encouraçado, como medida para reduzir tensões militares.
Como Brasil e Argentina atuaram durante conflitos no Uruguai e Paraguai?;Mantiveram neutralidade, reconheceram governos legais, defenderam cidadãos brasileiros e garantiram navegação livre no rio Paraguai.
Quem sucedeu Rio Branco no Itamaraty?;Lauro Severiano Müller, catarinense com longa trajetória política e administrativa.
Qual era a importância do café para a economia brasileira na década de 1920?;Representava 72,5% das exportações, sendo o principal produto de inserção econômica internacional do Brasil.
"O que foi a ""questão do truste do café"" em 1911 nos EUA?";Empréstimo a produtores paulista de café mediante controle das vendas nos EUA pelo Comitê de Valorização, gerando protestos e intervenção judicial norte-americana.
"Como Lauro Müller solucionou a ""questão do truste do café""?";Minimização diplomática, coordenação com o Departamento de Estado, demissão do procurador Lehmann e fim da venda artificial de café.
Qual foi a viagem oficial de Lauro Müller aos EUA?;Em 1913, embarcou no encouraçado Minas Gerais, visitou Nova York a São Francisco e manteve boas relações diplomáticas.
Qual foi a mediação do ABC no México em 1914?;Brasil, Argentina e Chile mediaram entre os EUA e o governo Huerta, evitando guerra e representando interesses norte-americanos.
O que resultou do Tratado do ABC em 1915?;"Tentava reduzir conflitos entre Brasil, Argentina e Chile, sem pretensão hegemônica; não entrou em vigor devido à oposição do presidente argentino Yrigoyen."
Como o Brasil se posicionou na Primeira Guerra Mundial em 1914-1917?;"Inicialmente neutro; protestou contra bloqueio alemão; rompeu relações diplomáticas com a Alemanha em abril de 1917 após ataques a navios mercantes brasileiros, motivando sua entrada indireta no conflito."
Por que Lauro Müller renunciou em 1917?;Pressionado por ser descendente de alemães, diante da crescente pressão por ruptura com a Alemanha após ataques a navios brasileiros.
Quem assumiu o Itamaraty após Müller?;Nilo Peçanha, alinhado à causa aliada, assumiu após a saída de Müller em maio de 1917.
Como o Brasil participou militarmente da Primeira Guerra Mundial?;Enviou 13 aviadores à Grã-Bretanha, uma missão médica à França, observadores do Exército e seis navios da Divisão Naval em Operações de Guerra no Mediterrâneo, mas a frota não participou de combates devido à gripe espanhola.
