A microeconomia estuda o comportamento agregado da economia.;❌ Errado. A microeconomia estuda agentes individuais, como consumidores e empresas.
Um governo pode aumentar suas receitas correntes elevando impostos.;✅ Certo. Aumento de impostos é uma forma de aumentar a arrecadação.
Se o governo corta gastos de infraestrutura, ele está reduzindo seus gastos correntes.;❌ Errado. Infraestrutura é gasto de capital, não corrente.
Uma política fiscal expansionista envolve aumento de gastos públicos ou redução de impostos.;✅ Certo. Essas medidas estimulam a economia.
Uma política fiscal contracionista tem o objetivo de reduzir o crescimento econômico.;✅ Certo. Isso pode ser feito reduzindo gastos ou aumentando impostos.
O equilíbrio orçamentário impede o governo de realizar investimentos públicos.;❌ Errado. O governo pode equilibrar receitas e despesas mantendo investimentos.
O superávit público ocorre quando as receitas do governo são maiores que os gastos públicos.;✅ Certo. Isso significa que o governo arrecada mais do que gasta.
O superávit primário considera todas as despesas do governo, incluindo juros da dívida.;❌ Errado. O superávit primário exclui os juros da dívida pública.
O superávit nominal é mais abrangente que o superávit primário porque inclui o pagamento de juros da dívida.;✅ Certo. O superávit nominal considera todas as despesas, inclusive juros.
O déficit público ocorre quando as despesas do governo superam suas receitas.;✅ Certo. Isso indica que o governo está gastando mais do que arrecada.
O déficit primário inclui o pagamento de juros da dívida pública.;❌ Errado. O déficit primário considera apenas receitas e despesas, sem incluir juros.
O déficit nominal é a diferença entre receitas e despesas, excluindo os juros da dívida pública.;❌ Errado. O déficit nominal inclui os juros da dívida pública.
O superávit primário indica a capacidade do governo de gerar recursos para pagar a dívida.;✅ Certo. Ele mostra se o governo tem recursos suficientes para cobrir suas despesas antes do pagamento de juros.
Um déficit público elevado pode levar ao aumento da dívida pública.;✅ Certo. Quando há déficit, o governo precisa se endividar para cobrir a diferença.
Déficits elevados não afetam a inflação nem as taxas de juros.;❌ Errado. Déficits podem pressionar juros e inflação, dependendo da forma de financiamento.
Para reduzir um déficit público, o governo pode cortar gastos ou aumentar impostos.;✅ Certo. Essas são as principais estratégias para equilibrar as contas públicas.
A emissão de moeda para cobrir déficits públicos pode levar à desvalorização da moeda nacional.;✅ Certo. Isso pode gerar inflação e perda de poder de compra.
A política fiscal não influencia o nível do déficit ou superávit público.;❌ Errado. A política fiscal é essencial para controlar déficits e superávits.
A Abordagem Ricardiana da Dívida Pública sugere que impostos e dívida pública são equivalentes em termos de impacto econômico.;✅ Certo. Segundo a teoria, o financiamento por dívida ou imposto tem o mesmo efeito sobre o consumo.
De acordo com a Equivalência Ricardiana, quando o governo se endivida, os indivíduos antecipam impostos futuros e reduzem o consumo presente.;✅ Certo. Isso ocorre porque as pessoas sabem que precisarão pagar mais impostos no futuro.
A Equivalência Ricardiana sempre se verifica na prática.;❌ Errado. Na realidade, as condições necessárias raramente são atendidas.
Um dos pressupostos da Equivalência Ricardiana é que os consumidores são perfeitamente racionais.;✅ Certo. A teoria assume que os indivíduos tomam decisões racionais baseadas em expectativas futuras.
Se não houver restrições de crédito, a Equivalência Ricardiana tende a se verificar.;✅ Certo. Se os consumidores puderem poupar livremente, a teoria se aproxima da realidade.
A Equivalência Ricardiana assume que todas as gerações futuras pagarão impostos de forma igualitária.;✅ Certo. A teoria pressupõe que a carga tributária será distribuída entre as gerações.
Na prática, a emissão de dívida pública sempre é neutralizada pelo aumento da poupança dos indivíduos.;❌ Errado. Nem todos os indivíduos poupam o suficiente para compensar o aumento da dívida.
Se os consumidores não forem perfeitamente racionais, a Equivalência Ricardiana pode falhar.;✅ Certo. Comportamentos irracionais podem levar ao aumento do consumo, mesmo com emissão de dívida.
A Equivalência Ricardiana implica que um aumento de impostos reduz o consumo tanto quanto a emissão de dívida pública.;✅ Certo. A teoria sugere que o efeito econômico é o mesmo.
Se um governo financia gastos com dívida pública, isso sempre reduz o consumo privado.;❌ Errado. O consumo pode não ser reduzido se os indivíduos não ajustarem sua poupança.
Se o governo reduzir os impostos sem cortar gastos, segundo Ricardo, as pessoas gastarão mais.;❌ Errado. Segundo a teoria, elas poupariam, esperando impostos futuros mais altos.
A política fiscal pode influenciar a economia mesmo se a Equivalência Ricardiana for válida.;✅ Certo. Outros fatores, como confiança do mercado e restrições de crédito, também afetam a economia.
O déficit público pode ser financiado pela emissão de títulos públicos.;✅ Certo. O governo pode vender títulos para captar recursos e cobrir déficits.
Aumento da dívida pública pode tornar o país mais vulnerável a crises econômicas.;✅ Certo. Países endividados podem enfrentar dificuldades para rolar sua dívida.
Um governo com déficit primário ainda pode ter um superávit nominal.;❌ Errado. Se o déficit primário já é negativo, o nominal (que inclui juros) também será negativo.
O ajuste fiscal pode reduzir a dívida pública e melhorar a sustentabilidade econômica.;✅ Certo. Cortes de gastos e aumento de receitas ajudam a equilibrar as contas.
Se a dívida pública for sustentável, o governo nunca precisa pagar juros sobre ela.;❌ Errado. Mesmo uma dívida sustentável exige pagamento de juros.
O endividamento público ocorre quando o governo usa empréstimos para financiar gastos.;✅ Certo. O endividamento ocorre quando o governo precisa de mais recursos do que arrecada.
O endividamento elevado pode aumentar a carga de juros, prejudicando os investimentos sociais.;✅ Certo. Os juros pagos pela dívida consomem recursos que poderiam ser usados em outras áreas.
O endividamento elevado não traz riscos de insustentabilidade fiscal.;❌ Errado. Um endividamento elevado pode levar à insustentabilidade fiscal, exigindo ajustes severos.
A responsabilidade fiscal visa garantir o equilíbrio das contas públicas e a sustentabilidade da dívida.;✅ Certo. A responsabilidade fiscal busca manter a saúde financeira do governo a longo prazo.
A Lei de Responsabilidade Fiscal no Brasil permite a emissão de dívida para financiar déficits correntes.;❌ Errado. A LRF impede a emissão de dívida para financiar déficits correntes.
O governo tem um papel essencial como regulador, fornecedor de bens públicos e estabilizador macroeconômico.;✅ Certo. O governo regula o mercado, oferece bens públicos e estabiliza a economia.
A função alocativa do governo envolve a distribuição de bens públicos, como segurança e saúde.;✅ Certo. O governo fornece bens que o mercado não oferece de forma eficiente.
A função distributiva do governo visa aumentar as desigualdades sociais.;❌ Errado. A função distributiva busca reduzir desigualdades sociais através de impostos progressivos e transferências.
A função estabilizadora do governo visa mitigar os ciclos econômicos.;✅ Certo. O governo usa políticas fiscais e monetárias para lidar com recessões e booms econômicos.
O governo deve ser apenas promotor do desenvolvimento econômico, sem se preocupar com estabilidade.;❌ Errado. O governo também precisa estabilizar a economia, além de promover o desenvolvimento.
A principal meta da política fiscal é garantir a estabilidade econômica, controlar inflação e estimular o crescimento.;✅ Certo. A política fiscal busca a estabilidade econômica e o controle da inflação.
A equidade é um objetivo da política fiscal, visando reduzir desigualdades de renda e riqueza.;✅ Certo. A política fiscal tem como objetivo diminuir as desigualdades econômicas e sociais.
A sustentabilidade fiscal é garantir que as contas públicas sejam equilibradas a curto prazo.;❌ Errado. A sustentabilidade fiscal refere-se ao equilíbrio a longo prazo das contas públicas.
A política fiscal não tem impacto no emprego e na produção.;❌ Errado. A política fiscal pode estimular a geração de empregos e aumentar a produção econômica.
A tributação é um dos principais instrumentos da política fiscal, alterando alíquotas para controlar o consumo.;✅ Certo. A tributação é usada para controlar o consumo e a arrecadação de recursos.
O governo usa os gastos públicos para estimular a economia, investindo em áreas como infraestrutura e saúde.;✅ Certo. O governo faz investimentos para estimular a atividade econômica.
Transferências de renda, como o Bolsa Família, são um instrumento importante da política fiscal.;✅ Certo. Transferências de renda ajudam a redistribuir recursos e combater desigualdades.
O endividamento público não é uma ferramenta utilizada pelo governo na política fiscal.;❌ Errado. O endividamento público é uma ferramenta importante para financiar gastos do governo.
A política fiscal não tem impacto na política monetária.;❌ Errado. A política fiscal e monetária se influenciam mutuamente, afetando juros e inflação.
Déficits fiscais elevados podem aumentar a demanda por crédito, elevando as taxas de juros.;✅ Certo. Um alto déficit aumenta a emissão de dívida pública, o que eleva a demanda por crédito e pode elevar os juros.
Gastos públicos excessivos financiados por emissão de moeda não afetam a inflação.;❌ Errado. Gastos excessivos podem pressionar a inflação, exigindo ações restritivas da política monetária.
A política fiscal não tem impacto no câmbio e nas taxas de juros.;❌ Errado. Altos níveis de endividamento podem afetar a credibilidade do governo, influenciando o câmbio e os juros.
"O fenômeno de ""crowding-out"" ocorre quando o aumento do endividamento do governo reduz a disponibilidade de crédito para o setor privado.";"✅ Certo. O ""crowding-out"" acontece quando o governo toma emprestado, reduzindo o crédito disponível para o setor privado."
O endividamento público não afeta a disponibilidade de crédito no mercado.;❌ Errado. O aumento do endividamento público pode reduzir o crédito disponível para o setor privado.
O governo pode aumentar os juros para controlar a inflação causada por gastos excessivos.;✅ Certo. O Banco Central pode aumentar os juros para conter a inflação.
A Lei de Responsabilidade Fiscal impede que o governo faça qualquer tipo de endividamento.;❌ Errado. A LRF estabelece limites para o endividamento, mas não proíbe totalmente o endividamento.
O papel estabilizador do governo é garantir a estabilidade macroeconômica, por meio de políticas fiscais e monetárias.;✅ Certo. O governo usa políticas fiscais e monetárias para estabilizar a economia.
A política fiscal não é capaz de estimular o crescimento econômico em tempos de recessão.;❌ Errado. A política fiscal pode ser usada para estimular a economia durante recessões.
O governo deve equilibrar suas contas em relação a receitas e despesas apenas no curto prazo.;❌ Errado. O equilíbrio fiscal deve ser alcançado no médio e longo prazo, não apenas no curto prazo.
O superávit orçamentário é quando o governo arrecada mais do que gasta.;✅ Certo. O superávit ocorre quando as receitas do governo superam as despesas.
O déficit primário não inclui os juros da dívida pública, apenas as despesas correntes e investimentos.;✅ Certo. O déficit primário exclui o pagamento dos juros da dívida pública.
A emissão de dívida pública não impacta a economia do país.;❌ Errado. A emissão de dívida pública pode afetar a inflação, o câmbio e as taxas de juros.
O consumo é influenciado apenas pela renda disponível das famílias.;❌ Errado. O consumo também é influenciado pela taxa de juros e pela confiança do consumidor.
A confiança do consumidor tem um impacto direto no nível de consumo.;✅ Certo. Se as expectativas econômicas são positivas, o consumo tende a aumentar.
Juros mais altos incentivam o consumo financiado.;❌ Errado. Juros mais altos tendem a desestimular o consumo financiado e incentivam a poupança.
Quanto maior a renda disponível das famílias, maior será o consumo.;✅ Certo. Quanto maior a renda, as famílias tendem a consumir mais bens e serviços.
O consumo é uma das principais componentes da demanda agregada.;✅ Certo. O consumo das famílias é uma parte importante da demanda agregada na economia.
O investimento é o gasto das famílias em bens de capital.;❌ Errado. O investimento é o gasto das empresas em bens de capital, como máquinas e infraestrutura.
Juros mais altos incentivam o investimento das empresas.;❌ Errado. Juros mais altos tornam os financiamentos mais caros, reduzindo o investimento.
Expectativas econômicas positivas geralmente reduzem os investimentos das empresas.;❌ Errado. Expectativas positivas sobre a economia tendem a aumentar os investimentos das empresas.
A política fiscal pode estimular o investimento, oferecendo incentivos como a redução de impostos.;✅ Certo. Políticas fiscais podem criar incentivos para que as empresas aumentem seus investimentos.
O investimento é um gasto das empresas em bens de consumo, como alimentos e roupas.;❌ Errado. O investimento refere-se a gastos em bens de capital, como máquinas, equipamentos e infraestrutura.
A poupança é a parte da renda que é consumida pelas famílias.;❌ Errado. A poupança é a parte da renda que não é consumida e pode ser usada para investimentos futuros.
A poupança das famílias não tem importância para o crédito de empresas e governo.;❌ Errado. A poupança das famílias forma a base do crédito disponível para empresas e governo.
A relação entre poupança e investimento não afeta o crescimento econômico.;❌ Errado. A relação entre poupança e investimento é fundamental para o crescimento econômico.
O gasto público é dividido apenas em gastos correntes.;❌ Errado. O gasto público é dividido em gastos correntes e investimentos, como construção de infraestrutura.
Gastos correntes do governo incluem investimentos em construção de estradas e hospitais.;❌ Errado. Gastos correntes são despesas com salários, benefícios e materiais, não investimentos.
O gasto público pode gerar déficits fiscais se os gastos excederem as receitas.;✅ Certo. Se o governo gastar mais do que arrecada, pode ocorrer um déficit fiscal.
O gasto público tem impacto direto na demanda agregada e pode estimular a economia.;✅ Certo. O aumento do gasto público pode aumentar a demanda agregada e estimular a economia.
Os investimentos do governo não têm impacto na economia.;❌ Errado. Investimentos públicos, como em infraestrutura, podem estimular a economia e gerar empregos.
O gasto público em serviços sociais não tem impacto sobre a demanda agregada.;❌ Errado. O gasto público em serviços como saúde e educação pode aumentar a demanda agregada.
Os juros mais baixos incentivam a poupança.;❌ Errado. Juros mais baixos tendem a desincentivar a poupança e estimular o consumo.
A poupança é uma fonte de financiamento para o setor público e privado.;✅ Certo. A poupança das famílias pode ser utilizada como crédito para empresas e governos.
O gasto público em infraestrutura não afeta a atividade econômica.;❌ Errado. Gastos em infraestrutura podem estimular a economia, criando empregos e gerando crescimento.
O consumo pode ser influenciado pela política fiscal do governo.;✅ Certo. A política fiscal pode afetar a renda disponível e, assim, influenciar o nível de consumo.
O aumento da taxa de juros tem o mesmo efeito sobre o consumo e o investimento.;❌ Errado. Juros mais altos desestimulam tanto o consumo financiado quanto o investimento.
A confiança do consumidor não tem impacto sobre o consumo.;❌ Errado. Se os consumidores estão otimistas sobre a economia, tendem a gastar mais, aumentando o consumo.
O governo pode aumentar a demanda agregada ao reduzir seus gastos.;❌ Errado. A redução dos gastos do governo pode diminuir a demanda agregada.
O gasto público não pode gerar impactos negativos na economia.;❌ Errado. O gasto público excessivo pode gerar déficits fiscais e inflação, prejudicando a economia.
Os gastos correntes do governo incluem investimentos em construção de escolas e hospitais.;❌ Errado. Gastos correntes são relacionados a despesas recorrentes, como salários e materiais.
O aumento do consumo pode ser um reflexo de uma maior confiança do consumidor.;✅ Certo. Quando as expectativas econômicas são positivas, o consumo tende a aumentar.
O investimento no setor público não influencia a atividade econômica a longo prazo.;❌ Errado. O investimento público, especialmente em infraestrutura, tem efeitos duradouros na economia.
O gasto público pode ser uma ferramenta importante para combater recessões econômicas.;✅ Certo. O gasto público pode estimular a economia durante uma recessão, aumentando a demanda agregada.
A poupança não é importante para financiar os investimentos das empresas.;❌ Errado. A poupança é uma fonte crucial de financiamento para investimentos tanto privados quanto públicos.
O consumo é a única componente da demanda agregada que afeta o crescimento econômico.;❌ Errado. Além do consumo, o investimento, os gastos do governo e as exportações também afetam o crescimento econômico.
A curva IS representa o equilíbrio no mercado de bens.;✅ Certo. A curva IS mostra combinações de taxa de juros e nível de produção onde o mercado de bens está em equilíbrio.
A curva IS tem uma inclinação positiva.;❌ Errado. A curva IS tem uma inclinação negativa, pois taxas de juros mais altas reduzem o investimento e, consequentemente, a produção.
No Modelo IS-LM-BP, a curva LM representa o mercado de bens.;❌ Errado. A curva LM representa o equilíbrio no mercado monetário, onde a oferta de moeda é igual à demanda por moeda.
A curva LM tem uma inclinação negativa.;❌ Errado. A curva LM tem uma inclinação positiva. Um aumento na produção leva a uma maior demanda por moeda, o que eleva os juros.
O modelo IS-LM-BP é utilizado apenas para analisar o mercado monetário.;❌ Errado. O modelo IS-LM-BP é utilizado para analisar a interação entre os mercados de bens, monetário e o setor externo (balança de pagamentos).
A curva BP reflete o equilíbrio no mercado de bens.;❌ Errado. A curva BP reflete o equilíbrio no balanço de pagamentos, onde a conta corrente e a conta de capital estão equilibradas.
A curva BP tem uma inclinação negativa quando há alta mobilidade de capitais.;❌ Errado. Quando há alta mobilidade de capitais, a curva BP é quase horizontal, com a taxa de juros internacional sendo o principal determinante.
A curva BP tem uma inclinação mais acentuada quando há baixa mobilidade de capitais.;✅ Certo. Quando há baixa mobilidade de capitais, a curva BP é mais inclinada, refletindo maior sensibilidade a mudanças na taxa de juros.
A política fiscal expansiva desloca a curva IS para a esquerda.;❌ Errado. A política fiscal expansiva (aumento de gastos ou redução de impostos) desloca a curva IS para a direita, aumentando o produto e, possivelmente, a taxa de juros.
A política monetária expansiva desloca a curva LM para a esquerda.;❌ Errado. A política monetária expansiva (redução da taxa de juros) desloca a curva LM para a direita, reduzindo os juros e aumentando o produto.
A política fiscal expansiva pode gerar déficits externos se houver alta importação.;✅ Certo. A política fiscal expansiva pode aumentar a demanda interna, o que, por sua vez, pode aumentar as importações e gerar déficits externos.
O controle cambial pode deslocar a curva BP no modelo IS-LM-BP.;✅ Certo. O controle cambial ou tarifas podem afetar o equilíbrio da balança de pagamentos e deslocar a curva BP.
A redução de impostos em uma política fiscal expansiva tende a aumentar a taxa de juros.;✅ Certo. A política fiscal expansiva desloca a curva IS para a direita, aumentando a produção e, possivelmente, a taxa de juros.
No modelo IS-LM-BP, a curva IS é sempre vertical.;❌ Errado. A curva IS tem uma inclinação negativa e reflete o equilíbrio no mercado de bens.
A política monetária expansiva reduz a demanda por moeda.;❌ Errado. A política monetária expansiva reduz a taxa de juros, o que, em geral, aumenta a demanda por moeda na economia.
No modelo IS-LM-BP, a taxa de juros é o único fator que afeta o mercado de bens.;❌ Errado. A taxa de juros é um dos fatores, mas o nível de produção e a demanda agregada também influenciam o mercado de bens.
O modelo IS-LM-BP analisa a interação entre três mercados: bens, monetário e o setor externo.;✅ Certo. O modelo IS-LM-BP combina os mercados de bens, monetário e o setor externo para analisar a economia.
A curva LM reflete o equilíbrio no mercado de trabalho.;❌ Errado. A curva LM reflete o equilíbrio no mercado monetário, não no mercado de trabalho.
No modelo IS-LM-BP, o setor externo é representado pela curva IS.;❌ Errado. O setor externo é representado pela curva BP, que reflete o equilíbrio no balanço de pagamentos.
O aumento na produção eleva a taxa de juros no mercado monetário, o que é refletido na curva IS.;❌ Errado. O aumento na produção eleva a demanda por moeda, o que afeta a curva LM, não a curva IS.
A política fiscal expansiva tende a reduzir o produto na economia.;❌ Errado. A política fiscal expansiva tende a aumentar o produto ao deslocar a curva IS para a direita.
No modelo IS-LM-BP, uma política monetária contracionista pode aumentar o produto.;❌ Errado. A política monetária contracionista (aumento das taxas de juros) tende a diminuir o produto e desloca a curva LM para a esquerda.
No modelo IS-LM-BP, o aumento das exportações líquidas desloca a curva IS para a direita.;✅ Certo. O aumento nas exportações líquidas aumenta a demanda agregada, deslocando a curva IS para a direita.
A política de controle de tarifas pode afetar a curva IS, mas não a curva BP.;❌ Errado. A política de controle de tarifas afeta diretamente a curva BP, que reflete o equilíbrio da balança de pagamentos.
O modelo IS-LM-BP pode ser utilizado para analisar os efeitos das políticas fiscal e monetária em uma economia aberta.;✅ Certo. O modelo IS-LM-BP é útil para analisar como políticas fiscais e monetárias afetam uma economia aberta.
O aumento da taxa de juros tende a desvalorizar a moeda no modelo IS-LM-BP.;❌ Errado. O aumento das taxas de juros tende a valorizar a moeda, pois atrai mais investimentos externos.
No modelo IS-LM-BP, a curva IS tem uma relação direta com o mercado monetário.;❌ Errado. A curva IS está relacionada com o mercado de bens, enquanto a curva LM está relacionada com o mercado monetário.
A política monetária expansiva pode melhorar a balança comercial ao desvalorizar a moeda.;✅ Certo. A política monetária expansiva pode desvalorizar a moeda, o que tende a melhorar a balança comercial, tornando as exportações mais competitivas.
O modelo IS-LM-BP é mais relevante para economias fechadas, sem interação com o setor externo.;❌ Errado. O modelo IS-LM-BP é projetado para economias abertas, considerando a interação com o setor externo.
O modelo IS-LM-BP não leva em conta a mobilidade internacional de capitais.;❌ Errado. A mobilidade internacional de capitais afeta a curva BP e é um aspecto importante do modelo IS-LM-BP.
A política monetária expansiva reduz as taxas de juros e pode aumentar o produto, mas também pode afetar negativamente a balança de pagamentos.;✅ Certo. A redução das taxas de juros pode aumentar o produto e a demanda agregada, mas também pode desvalorizar a moeda, afetando a balança de pagamentos.
O modelo IS analisa o equilíbrio no mercado de bens.;✅ Certo. O modelo IS analisa o equilíbrio no mercado de bens, ou seja, quando a produção é igual à demanda agregada.
A curva IS tem uma inclinação positiva.;❌ Errado. A curva IS tem uma inclinação negativa, porque há uma relação inversa entre a taxa de juros e o nível de produção.
O modelo IS considera o equilíbrio entre investimento e poupança.;✅ Certo. O modelo IS descreve o equilíbrio entre o investimento (empresas) e a poupança (famílias), considerando o nível de produção.
A curva IS representa a relação entre o mercado monetário e o mercado de bens.;❌ Errado. A curva IS reflete o equilíbrio no mercado de bens, não no mercado monetário.
Uma política fiscal expansiva desloca a curva IS para a esquerda.;❌ Errado. A política fiscal expansiva desloca a curva IS para a direita, aumentando a produção e a renda.
A curva IS reflete o equilíbrio no mercado monetário.;❌ Errado. A curva IS reflete o equilíbrio no mercado de bens, enquanto a curva LM reflete o equilíbrio no mercado monetário.
A taxa de juros mais baixa tende a reduzir o nível de produção na economia.;❌ Errado. Uma taxa de juros mais baixa tende a aumentar o nível de produção, pois aumenta o investimento e o consumo.
O modelo LM descreve a relação entre a oferta e a demanda de bens.;❌ Errado. O modelo LM descreve o equilíbrio no mercado monetário, enquanto o modelo IS descreve o mercado de bens.
A curva LM tem uma inclinação positiva.;✅ Certo. A curva LM tem uma inclinação positiva, pois um aumento na produção leva a uma maior demanda por moeda, o que eleva as taxas de juros.
O equilíbrio no modelo LM ocorre quando a demanda por moeda é igual à oferta de moeda.;✅ Certo. O equilíbrio no mercado monetário ocorre quando a demanda por moeda é igual à oferta de moeda.
A curva LM é afetada pela taxa de juros e pelo nível de produção.;✅ Certo. A curva LM mostra as combinações de taxa de juros e nível de produção em que o mercado monetário está em equilíbrio.
Uma política monetária expansiva desloca a curva IS para a direita.;❌ Errado. A política monetária expansiva desloca a curva LM para a direita, não a curva IS.
Se a taxa de juros aumenta, o consumo tende a aumentar.;❌ Errado. Quando a taxa de juros aumenta, o consumo tende a diminuir, pois os empréstimos ficam mais caros.
A curva IS mostra o equilíbrio entre a oferta de bens e a demanda por moeda.;❌ Errado. A curva IS reflete o equilíbrio no mercado de bens, enquanto a curva LM reflete o equilíbrio no mercado monetário.
Quando a taxa de juros cai, as empresas têm mais incentivo para investir.;✅ Certo. Taxas de juros mais baixas tornam os empréstimos mais baratos, estimulando o investimento das empresas.
A curva IS é derivada a partir da relação entre o investimento e a poupança.;✅ Certo. A curva IS reflete o equilíbrio entre o investimento e a poupança, sendo a produção igual à demanda agregada.
A curva LM reflete a relação entre o investimento e o consumo.;❌ Errado. A curva LM reflete o equilíbrio no mercado monetário, não a relação entre investimento e consumo.
A política fiscal expansiva pode aumentar a produção ao deslocar a curva IS para a direita.;✅ Certo. A política fiscal expansiva (aumento de gastos ou redução de impostos) desloca a curva IS para a direita, aumentando a produção.
Uma política monetária restritiva desloca a curva IS para a direita.;❌ Errado. Uma política monetária restritiva (aumento das taxas de juros) tende a reduzir a produção e desloca a curva LM para a esquerda.
O modelo LM é mais relevante para a análise do mercado de bens.;❌ Errado. O modelo LM é relevante para a análise do mercado monetário, enquanto o modelo IS analisa o mercado de bens.
A curva LM mostra as combinações de taxa de juros e nível de produção em que o mercado monetário não está em equilíbrio.;❌ Errado. A curva LM mostra as combinações de taxa de juros e nível de produção em que o mercado monetário está em equilíbrio.
Uma taxa de juros mais alta tende a aumentar a demanda por moeda.;✅ Certo. Quando a taxa de juros é alta, as pessoas e empresas preferem manter mais dinheiro, aumentando a demanda por moeda.
O modelo IS-LM-BP integra os mercados de bens, monetário e o setor externo.;✅ Certo. O modelo IS-LM-BP combina o modelo IS (mercado de bens), o modelo LM (mercado monetário) e o setor externo (balança de pagamentos).
O modelo IS-LM é útil para analisar os efeitos das políticas fiscal e monetária.;✅ Certo. O modelo IS-LM é utilizado para analisar como políticas fiscais e monetárias afetam o equilíbrio no mercado de bens e no mercado monetário.
A curva IS é mais inclinada quando a mobilidade de capitais é alta.;❌ Errado. A curva BP é mais horizontal quando há alta mobilidade de capitais, não a curva IS.
A curva IS se desloca para a direita com a implementação de uma política fiscal expansiva.;✅ Certo. A política fiscal expansiva (aumento de gastos ou redução de impostos) desloca a curva IS para a direita, aumentando a produção.
No modelo IS-LM, o aumento da oferta de moeda tende a reduzir as taxas de juros.;✅ Certo. O aumento da oferta de moeda, em uma política monetária expansiva, tende a reduzir as taxas de juros e desloca a curva LM para a direita.
O modelo LM é afetado por fatores como a taxa de juros e a demanda por moeda.;✅ Certo. A curva LM mostra as combinações de taxa de juros e nível de produção em que o mercado monetário está em equilíbrio, com base na demanda e oferta de moeda.
A curva IS tem uma relação positiva com o nível de produção.;❌ Errado. A curva IS tem uma relação negativa com a taxa de juros e o nível de produção, pois uma taxa de juros mais alta reduz a demanda agregada, diminuindo a produção.
O aumento da produção eleva a demanda por moeda, o que afeta a curva LM.;✅ Certo. Um aumento na produção leva a uma maior demanda por moeda, o que eleva as taxas de juros, afetando a curva LM.
Uma redução da taxa de juros tende a aumentar o investimento e a produção.;✅ Certo. A redução da taxa de juros torna o crédito mais barato, incentivando o investimento e o consumo, o que aumenta a produção.
No modelo IS-LM, a curva LM é mais relevante para a análise da política fiscal.;❌ Errado. A curva IS é mais relevante para a análise da política fiscal, enquanto a curva LM é relevante para a política monetária.
A curva LM tem uma inclinação negativa.;❌ Errado. A curva LM tem uma inclinação positiva, pois há uma relação direta entre a taxa de juros e o nível de produção.
Quando a produção aumenta, a demanda por moeda também aumenta.;✅ Certo. Quando a produção aumenta, mais transações acontecem, o que eleva a demanda por moeda.
Para equilibrar o mercado monetário, uma alta produção leva a uma redução na taxa de juros.;❌ Errado. Quando a produção aumenta, a demanda por moeda sobe, e para equilibrar, a taxa de juros precisa aumentar.
A curva LM mostra a relação entre a taxa de juros e o nível de produção em que o mercado monetário está em equilíbrio.;✅ Certo. A curva LM representa as combinações de taxa de juros e nível de produção que equilibram a oferta e demanda por moeda.
Se a produção da economia diminui, a demanda por moeda tende a cair.;✅ Certo. Com menos produção, há menos dinheiro circulando, o que reduz a demanda por moeda.
Se a produção diminui, a taxa de juros tende a subir para equilibrar a demanda por moeda.;❌ Errado. Quando a produção diminui e a demanda por moeda cai, a taxa de juros tende a cair para equilibrar o mercado monetário.
A curva LM reflete a oferta de moeda e a demanda por moeda.;✅ Certo. A curva LM mostra as combinações de taxa de juros e nível de produção que equilibram a oferta e a demanda por moeda.
A curva LM é influenciada apenas pela taxa de juros.;❌ Errado. A curva LM é influenciada tanto pela taxa de juros quanto pelo nível de produção.
O aumento da produção pode levar a um aumento na taxa de juros.;✅ Certo. O aumento da produção aumenta a demanda por moeda, o que leva a um aumento na taxa de juros para equilibrar a oferta e demanda por moeda.
O modelo LM está relacionado apenas à oferta de moeda.;❌ Errado. O modelo LM está relacionado tanto à oferta de moeda quanto à demanda por moeda em função do nível de produção.
Quando a produção aumenta, a taxa de juros tende a cair para equilibrar o mercado monetário.;❌ Errado. Quando a produção aumenta, a demanda por moeda aumenta, o que leva a um aumento na taxa de juros para equilibrar o mercado.
A curva LM tem uma inclinação positiva, pois um aumento na produção leva a uma maior demanda por moeda.;✅ Certo. A curva LM tem inclinação positiva porque, à medida que a produção aumenta, a demanda por moeda cresce, elevando a taxa de juros.
Se a demanda por moeda diminui, a taxa de juros tende a aumentar.;❌ Errado. Se a demanda por moeda diminui, a taxa de juros tende a cair para equilibrar a oferta e a demanda por moeda.
A curva LM é mais inclinada quando a produção é baixa.;❌ Errado. A curva LM tem uma inclinação positiva, mas a sua inclinação depende de outros fatores, como a sensibilidade da demanda por moeda ao nível de produção.
A política monetária expansiva desloca a curva LM para a esquerda.;❌ Errado. A política monetária expansiva, que aumenta a oferta de moeda, desloca a curva LM para a direita, pois reduz as taxas de juros.
A curva LM é relevante para a análise de políticas fiscais.;❌ Errado. A curva LM é relevante para a análise da política monetária, enquanto a curva IS é mais relevante para a política fiscal.
A curva LM é horizontal em uma economia com alta mobilidade de capitais.;❌ Errado. A curva BP, não a LM, se torna mais horizontal quando há alta mobilidade de capitais, pois a taxa de juros internacional passa a ser o principal determinante.
Um aumento na produção leva a uma diminuição na taxa de juros no modelo LM.;❌ Errado. Um aumento na produção leva a um aumento na taxa de juros, pois a demanda por moeda aumenta.
A curva LM é influenciada por mudanças na oferta de moeda, produção e demanda por moeda.;✅ Certo. A curva LM é afetada por mudanças na oferta de moeda, no nível de produção e na demanda por moeda.
Quando a produção diminui, a demanda por moeda também diminui.;✅ Certo. Com menos produção, a quantidade de transações diminui, o que reduz a demanda por moeda.
Se o banco central aumenta a oferta de moeda, a taxa de juros tende a cair.;✅ Certo. Aumentar a oferta de moeda, em uma política monetária expansiva, tende a reduzir as taxas de juros, deslocando a curva LM para a direita.
