O que George Weerth expressou em 11 de março de 1848?;"Acreditava que a Revolução mudaria o planeta e apoiava a república (""Vive la Republique!"")."
Qual era o objetivo principal dos Fenianos?;Total independência da Inglaterra pela luta armada.
Como o nacionalismo dos Fenianos era caracterizado?;Laico, anticlerical, mas para a maioria o critério de nacionalidade era a fé católica.
Que substituiu o programa social dos Fenianos?;Foco exclusivo na República Irlandesa e luta armada.
Quem apoiava financeiramente o Fenianismo?;Trabalhadores irlandeses imigrantes nos EUA e Inglaterra, e jovens camponeses irlandeses.
O Fenianismo teve apoio socialista?;Sim, com líderes como Michael Davitt, mas sem uma ideologia socialista desenvolvida na época.
Qual foi o resultado das insurreições e invasões dos Fenianos?;"Pouco efetivo, geraram mais publicidade do que sucesso; porém criaram a força para a futura independência da Irlanda Católica."
Quem assumiu o controle após o declínio dos Fenianos?;Moderados da classe média, ricos fazendeiros e mercadores nas cidades irlandesas.
O nacionalismo tornou-se uma força de massa em quais países?;Pelo menos nos países povoados por brancos durante o período estudado.
O que dizia o Manifesto Comunista sobre os trabalhadores?;"Que ""os trabalhadores não têm pátria""."
Como avançou o nacionalismo na classe operária?;Junto com a consciência política nacional, influenciado por tradições e líderes envolvidos na questão nacional.
"O que significava o ""internacionalismo"" da esquerda na prática?";Solidariedade entre trabalhadores de diferentes nações, mas sem negar a fé nacional.
Exemplos que mostram a combinação de nacionalismo e socialismo?;Garibaldi, Cluseret, Comuna de Paris, Marx apoiando os Fenianos.
"Por que os social-democratas alemães eram chamados de ""companheiros sem pátria""?";Porque a reação via-os como desleais ao nacionalismo alemão.
A consciência política pode ser neutra em termos nacionais?;Não, estava sempre definida nacionalmente de alguma forma.
"O que a ""nação"" representava historicamente?";Um produto social e político, não espontâneo, baseado em características antigas que uniam grupos humanos contra estrangeiros.
Quais instituições eram cruciais para construir a nação?;Estado, educação estatal, emprego público e serviço militar obrigatório.
Como cresceu a educação superior no período?;Houve fundação de universidades, principalmente fora da Europa, e expansão nos EUA e Europa Oriental.
Qual foi o maior avanço educacional?;Educação primária, com foco em transmitir valores morais e patriotismo.
Por que a educação primária cresceu tanto?;Ligada ao avanço das massas na política e instalação de sistemas públicos de ensino.
Como a educação ajudava na formação da nação?;Impunha a língua nacional e uma cultura comum, essencial para a mídia e a administração.
"Qual a importância da ""autonomia cultural"" para movimentos nacionais?";Controlar o uso da língua e instituições no Estado para afirmar a identidade nacional.
Como os judeus europeus lidavam com a questão da língua?;Mantinham línguas maternas (Lidiche, Ladino) para uso doméstico, mas não eram nacionalistas.
Por que as classes médias emergentes valorizavam a língua nacional?;Porque ela garantia acesso a cargos públicos e prestígio social.
Qual o impacto da urbanização na questão nacional?;Migração e urbanização aumentavam os ressentimentos em relação à imposição de línguas dominantes.
O que exigiam os eslovacos e tchecos nas cidades alemãs?;Direito a escolas próprias e uso da língua materna, mesmo como minorias.
Qual era o paradoxo do nacionalismo?;Ao formar uma nação, criava contra-nacionalismos entre minorias forçadas à assimilação ou inferioridade.
Como a era do liberalismo via o princípio de nacionalidade?;Não entendia seu paradoxo e apoiava-o ativamente sem compreender suas complexidades.
O que se acreditava sobre os imigrantes nos EUA, Brasil e Argentina?;Que eles abandonariam suas identidades nacionais e se integrariam rapidamente à nova nação.
O que realmente aconteceu com as comunidades de imigrantes?;Mantiveram ou reforçaram suas identidades nacionais e culturais, não se assimilando totalmente.
Qual foi o papel das comunidades imigrantes na política dos EUA?;Tinham importância principalmente em eleições municipais, não levantavam grandes problemas nacionais.
Como os alemães de Praga afetavam o Império dos Habsburgos?;Sua simples existência gerava tensões e questões políticas importantes.
O que o liberalismo pensava sobre o futuro do mundo?;Que um mundo de nações seria um mundo liberal, e o liberalismo seria feito de nações.
A relação entre nacionalismo e liberalismo é simples?;"Não; o futuro mostrou que essa relação era complexa e problemática."
O que diz Henri Allain Targé sobre as forças da democracia em 1868?;Elas cresceram junto com a burguesia e estavam tão fortes que seria loucura enfrentá-las.
Qual era a visão de Sir T. Erskine May sobre o progresso democrático?;Democracia deve crescer, mas o Estado precisa proteger-se dos excessos democráticos e reprimir esses excessos se necessário.
Como nacionalismo e democracia estavam relacionados no século XIX?;Eram praticamente a mesma coisa, especialmente nos movimentos nacionalistas de massa.
Por que as massas eram consideradas perigosas para as classes dirigentes?;Eram numerosas, ignorantes e achavam que o governo deveria servir seus interesses, pressionando por mudanças políticas.
Qual era a limitação do liberalismo diante do avanço das massas?;Não tinha uma defesa teórica para conter a crescente participação popular na política.
Como o governo representativo do liberalismo via a igualdade legal?;"Igualdade legal existia, mas na prática queriam limitar o voto e poder político aos mais instruídos, ricos e ""racionais""."
Qual era a dificuldade em definir quem deveria participar da política?;A mobilidade social e a educação crescente dificultavam separar camadas sociais para exclusão política.
Por que a exclusão das massas da política era difícil na França?;"Porque já haviam ocorrido três revoluções e a participação popular era uma força inevitável; o Segundo Império tentou ""dirigir"" isso."
Quem foi Napoleão III e qual seu papel político?;Foi o líder do Segundo Império francês, chegou ao poder via sufrágio universal masculino, e tentou controlar o país com plebiscitos e parlamento.
Como Napoleão III usou o plebiscito?;Para legitimar seu poder, obtendo grandes vitórias eleitorais controladas em 1852 e 1870.
Por que Napoleão III é visto como um político mal sucedido?;Por suas falhas internas e externas, e porque seu regime terminou em colapso rápido na guerra de 1870.
Como era o apoio popular a Napoleão III?;Politicamente desorganizado, sem um movimento próprio, mas ele não precisava de um.
Qual grupo social mais apoiava Napoleão III?;O campesinato conservador do oeste da França, que via nele estabilidade e proteção à propriedade.
Como Napoleão III lidou com o movimento trabalhista?;Tentou conciliar e domesticá-lo, legalizando greves em 1864, mas não conseguiu afastar sua afinidade com a esquerda.
O que Karl Marx disse sobre a relação de Napoleão III com o campesinato?;Camponeses precisavam ser representados por um líder forte, que agisse como poder executivo e protetor deles.
Qual a importância do sufrágio universal na Europa na década de 1850?;Quase nenhum país europeu adotava o sufrágio universal masculino, exceto a Suíça.
Como era a participação eleitoral nos EUA em 1860?;Baixa, Lincoln foi eleito por menos da metade dos votos possíveis da população.
Como funcionavam as assembléias representativas na Europa?;Eram eleitas de forma indireta, com restrições de idade ou propriedade, e muitas vezes controladas por câmaras conservadoras.
Quais países ainda mantinham autocracias simples por volta de 1870?;Rússia e Império Otomano (Turquia Imperial).
Como o sufrágio universal era usado no Império Alemão?;Para eleger o Reichstag, mas de forma mais decorativa que efetiva.
Qual foi o efeito das reformas eleitorais na Inglaterra e Itália na época?;"Inglaterra ampliou eleitores para 8% da população; Itália tinha apenas 1% de eleitores."
"Quais grupos sociais formavam a ""camada intermediária""?";Pequenos comerciantes, artesãos, pequenos burgueses e proprietários camponeses.
Qual a diferença entre aristocracia e burguesia na política da época?;"Aristocracia tinha privilégios e proteção em instituições; burguesia dependia de apoio popular para manter poder político."
Qual o desafio da burguesia para manter seu poder?;Precisava mobilizar apoio das classes populares, como pequena burguesia e trabalhadores, para não perder maioria eleitoral.
Como os liberais se saíram politicamente nesta época?;Geralmente mantiveram o poder com poucas interrupções em vários países europeus.
Qual ala política tendia a se separar da burguesia liberal?;A ala radical democrática, progressista e republicana.
Quais exemplos de partidos camponeses de esquerda no século XIX?;Venstre na Dinamarca (1848), partidos na Noruega (década de 1860), grupo agrário na Suécia (1867).
Como eram os democratas radicais na Prússia após 1866?;Recusaram seguir os nacionais-liberais e alguns se aliaram aos social-democratas marxistas anti-Prússia.
Qual a situação dos republicanos na Itália unificada?;Permaneceram na oposição, enquanto os moderados dominavam o reino.
Como a burguesia francesa buscava apoio político no século XIX?;"Usava rótulos como ""Reforma"", ""Progressista"", ""Republicano"" e ""Radical-Socialista"" para atrair eleitores."
Onde os radicais permaneceram uma ala permanente do partido liberal?;Na Inglaterra, provavelmente por falta de camponeses e pequena burguesia organizados.
Por que o liberalismo permaneceu no poder?;Representava a única política econômica válida e era visto como representante da ciência, razão e progresso.
Como a oposição conservadora via o progresso liberal?;"Como ameaça à ordem e tradição; queria frear ou interromper o avanço do liberalismo."
Que grupos sociais apoiavam os conservadores?;Agrários, protecionistas, grupos ressentidos culturalmente (ex: flamengos na Bélgica) e segmentos rurais.
Qual era o papel das igrejas oficiais na política?;Eram conservadoras, mobilizavam forças contra o liberalismo e mantinham controle sobre cerimônias e educação.
Qual documento papal condenou o liberalismo em 1864?;O Syllabus of Errors do Papa Pio IX.
Quais temas o Syllabus of Errors condenou?;Naturalismo, racionalismo, educação laica, separação Igreja-Estado e a conciliação do Papa com o progresso.
Como se definiu a linha entre direita e esquerda na época?;Entre clericalistas (direita) e anticlericalistas (esquerda).
Qual partido formaram os católicos alemães na década de 1870?;"O ""Partido de Centro""."
Onde a burguesia liberal emergiu como força política?;Principalmente na Alemanha, Áustria-Hungria e Itália, com o declínio do absolutismo.
Como a imprensa indicava a mudança social na época?;Aumentou muito o número de periódicos, como na Áustria entre 1862 e 1873, principalmente para leitores burgueses.
"Quem representava o ""povo real"" na política restrita do século XIX?";Muitas vezes a classe média, que tomava seu lugar no processo político.
Qual foi a participação eleitoral dos cidadãos urbanos na Prússia em 1863?;Apenas 25% dos eleitores urbanos votaram, e 67% do voto da cidade que elegeu os liberais veio dessa minoria.
Os triunfos do liberalismo na década de 1860 representavam a opinião de quem?;Principalmente de uma minoria de burgueses citadinos respeitáveis, não da população em geral.
Como Bismarck resolveu o conflito constitucional com a Dieta Liberal?;Governando sem referência ao parlamento, ignorando o poder dos liberais.
"Por que a ""revolução burguesa"" era considerada impossível na Prússia?";Porque a burguesia não queria ou não podia mobilizar força política ou armada para a revolução.
Qual foi a estratégia de Bismarck com a burguesia liberal?;Aplicar seu programa econômico e legal, mantendo a predominância da aristocracia agrária e a monarquia protestante.
O que aconteceu com a burguesia liberal em 1866 na Prússia?;Transferiu-se para o Partido Liberal Nacional, base para a política doméstica de Bismarck.
O que conservadores pensavam sobre as massas?;Que eram conservadoras, tradicionalistas e fiéis a igreja, rei ou imperador.
Como as massas passaram a agir após entrar na política?;Passaram a agir como atores políticos, não mais como simples espectadores.
Qual grupo emergiu como força política distinta após 20 anos de industrialização?;O proletariado, ou a classe trabalhadora industrial.
Como foi a situação do movimento trabalhista após 1848?;Fracassou em revoluções, líderes presos ou exilados, mas continuou com organizações de luta econômica e autodefesa.
Onde os sindicatos tinham maior força no século XIX?;Na Inglaterra, Austrália e Estados Unidos, especialmente ligados a artesãos e trabalhadores especializados.
O que foi a Primeira Internacional?;Associação Internacional dos Trabalhadores, organizada por Marx entre 1864-72, unia movimentos operários de vários países.
Qual era o caráter da solidariedade da Primeira Internacional?;Internacionalista, apesar de haver patriotas dentro do movimento operário.
Que campanhas fortaleceram a Internacional na Inglaterra?;Apoio a Garibaldi, à esquerda italiana, Lincoln e o Norte na Guerra Civil Americana e aos poloneses em 1863.
Como Napoleão III percebeu a influência da Internacional?;Permitindo que trabalhadores franceses participassem de eventos internacionais, notou a solidariedade e influência transnacional.
Onde e por quem foi fundada a Internacional dos Trabalhadores?;Fundada em Londres, rapidamente passou às mãos de Karl Marx.
Quais grupos ideológicos compunham a Internacional?;Sindicalistas ingleses liberais-radicais, sindicalistas franceses mais à esquerda, e revolucionários do continente com visões variadas.
Quem venceu a primeira grande luta ideológica na Internacional?;Os socialistas venceram, derrotando os liberais sindicalistas e mutualistas.
Qual foi o desafio de Michel Bakunin à Internacional?;Representava a aliança anarquista que Marx e seus seguidores enfrentaram e derrotaram.
O que Marx fez quando perdeu o controle da Internacional?;Transferiu seus escritórios para Nova York, praticamente condenando a organização.
Qual movimento marxista operava na década de 1860?;O movimento trabalhista/socialista na Alemanha, criado por Ferdinand Lassalle.
Quem foi Ferdinand Lassalle e sua importância?;Agitador que fundou a Associação Geral dos Trabalhadores Alemães em 1863, influente para o socialismo alemão.
Como Marx reagiu à organização de Lassalle?;Inicialmente não gostou, apoiando outra organização liderada por Liebknecht e Bebel.
O que aconteceu em 1875 com os movimentos socialistas alemães?;Marxistas e lassaleanos fundiram-se, formando o Partido Social Democrata da Alemanha (SPD).
Qual era a relação da Internacional com os partidos operários?;Internacional não inspirava diretamente os partidos alemães, mas ajudava a formar movimentos sindicais em vários países.
Quais países foram afetados pelas greves influenciadas pela Internacional?;Espanha, Rússia, Alemanha, França, Bélgica, Áustria-Hungria, Itália e Inglaterra.
Como cresceram os sindicatos na Áustria entre 1869 e 1872?;"De 10 mil para 35 mil em Viena; de 5 mil para 17 mil nas terras tchecas; e de 2 mil para quase 10 mil na Styria e Carinthia."
Qual evento coincidiu com o auge da Internacional em 1871?;A Comuna de Paris, aumentando o medo dos governos em relação ao movimento operário.
Como reagiu a burguesia liberal ao crescimento do trabalhismo?;"Ficou apreensiva; muitos liberais eram comprometidos com o laissez-faire e resistiam a reformas sociais."
O que foi a Sociedade para a Política Social na Alemanha?;"Grupo de ""Professores Socialistas"" que defendia reformas sociais para evitar a luta de classes marxista, criada em 1872."
"Como era usado o termo ""socialista"" nessa época?";"De forma vaga, para quem defendia ação estatal e reforma social, diferente do ""comunista"" mais radical."
Qual era a visão dos políticos como Napoleão III e Disraeli sobre a classe operária?;Reconheciam o potencial eleitoral da classe operária e a necessidade de controlar suas organizações.
O que mudou na lei trabalhista na Europa na década de 1860?;Permitiu-se limitada organização trabalhista e algumas greves em certos países, especialmente abrindo espaço para a barganha coletiva.
Qual país teve o sistema mais completo de reconhecimento legal dos sindicatos?;A Inglaterra, entre 1867 e 1875, com forte peso político da classe operária.
Qual era o objetivo das reformas legais sobre o movimento trabalhista?;Prevenir o surgimento do trabalhismo como força política independente ou revolucionária.
Como surgiram os partidos trabalhistas independentes?;"Mais tarde, em países onde o movimento trabalhista era forte, como Inglaterra e Austrália; a maioria permaneceu não-socialista."
Qual foi a contribuição da Internacional para o trabalhismo?;Tornou o trabalhismo independente e identificado politicamente com o socialismo.
A Internacional planejou uma revolução imediata?;"Não; Marx via a revolução como um projeto a longo prazo e não esperava um colapso imediato do capitalismo."
Qual foi a posição de Marx sobre a Comuna de Paris?;Não acreditava no sucesso da revolução, mas escreveu orientações para futuros revolucionários.
O que Marx esperava para os movimentos trabalhistas?;Movimentos independentes, organizados e emancipados da influência liberal-radical e esquerdista obsoleta.
Qual era a situação do trabalhismo britânico na década de 1870?;Firmemente controlado pelos liberais, com liderança fraca e pouca representação parlamentar.
O que aconteceu com a Internacional e os movimentos socialistas na França?;A Internacional cindiu-se e o movimento francês entrou em ruínas após a Comuna de Paris.
Qual país teve avanço sensível no movimento socialista na década de 1870?;A Alemanha, com aumento rápido do voto socialista após 1871.
Como Bismarck reagiu ao crescimento do socialismo?;Tentou proibir a atividade socialista usando leis repressivas.
Quais duas realizações permanentes surgiram na década de 1860?;"Movimentos trabalhistas organizados, independentes, políticos e socialistas; queda da influência da esquerda socialista pré-marxista."
Quando a Internacional renasceu e com que característica?;No final da década de 1880, como uma frente comum de partidos de massa, majoritariamente marxistas.
;
"Qual era a metáfora básica do pensamento burguês sobre a ""luta pela existência""?";"Somente os ""mais capazes"" sobrevivem, comprovado pela dominação econômica, tecnológica e militar dos países europeus."
Quais eram as principais potências dominantes no século XIX?;Europa central e do norte, e países como os Estados Unidos, com superioridade econômica, tecnológica e militar.
Quais eram as exceções importantes que não foram formalmente colonizadas?;Índia, Indonésia e partes da África do Norte.
Como as colônias anglo-saxônicas como Austrália e Canadá eram tratadas?;Não eram independentes formalmente, mas tinham status diferente das áreas com populações nativas consideradas inferiores.
Qual era a reputação militar dos povos não-europeus frente aos europeus?;"Muitos tinham ""raça militar"" e eram capazes de derrotar europeus em batalhas terrestres, mas não no mar."
Por que a ocupação permanente de territórios por pequenos grupos estrangeiros era difícil?;Era cara, difícil, e os países desenvolvidos preferiam impor sua vontade sem presença militar direta.
Quais eram os quatro grandes setores de vítimas do imperialismo?;Impérios não-europeus (Otomanos, Pérsia, China, Japão), antigas colônias espanholas e portuguesas, África subsaariana, e colônias asiáticas.
Como era a América Latina após a independência?;Agregado de estados soberanos, com instituições liberais, mas dominada por oligarquias rurais, catolicismo e caudilhos armados.
Quem dominava a economia e o transporte na América Latina no século XIX?;Estrangeiros, principalmente ingleses, mas também franceses e americanos.
Quais os efeitos econômicos após a independência na América Latina?;Regressão econômica e demográfica na maioria das áreas, com exceções como Brasil e Chile.
Quais produtos da América Latina eram valorizados na economia mundial?;Guano do Peru, tabaco de Cuba, algodão, café (especialmente do Brasil), nitratos do Peru.
Como o investimento estrangeiro influenciou a América Latina?;Desenvolveu infraestrutura (ferrovias, portos, serviços públicos) e aumentou imigração europeia, especialmente no Brasil, Argentina e Uruguai.
Qual era o maior obstáculo para a modernização da América Latina?;A inércia nativa, formada por campesinato tradicional, senhores de terra conservadores e a Igreja.
"Por que simples ""europeização"" não era suficiente para superar os desafios latino-americanos?";Porque os problemas eram profundos e ligados à estrutura social tradicional e conservadora local.
quais ideologias influenciaram intelectuais latino-americanos na década de 1840?;Liberalismo dos franco-maçons, socialismo utópico e, depois de 1870, o positivismo de Augusto Comte.
Qual lema nacional brasileiro reflete o positivismo?;"""Ordem e Progresso"", inspirado em Augusto Comte."
Quais foram as duas principais reformas liberais na América Latina?;Propriedade privada da terra consolidada e feroz anticlericalismo (separação Igreja-Estado, venda de terras da Igreja).
Onde o anticlericalismo foi mais radical?;No México, sob Benito Juarez, com leis que restringiam o poder da Igreja e suas propriedades.
Por que as reformas liberais na América Latina falharam?;"Porque não houve independência econômica real; os liberais eram elites urbanas isoladas num continente rural."
Quem mantinha o poder econômico e social na América Latina até 1870?;Os senhores de terra tradicionais, fortalecidos após as reformas liberais.
Qual exceção latino-americana tinha uma estrutura social não tradicional?;As terras do Rio da Prata, com grande imigração europeia.
Como a América Latina se relacionava com a economia mundial?;Subordinada à demanda do comércio importação-exportação controlado por estrangeiros.
Quais eram os três tipos de colônias no mundo no século XIX?;Colônias de colonos brancos, colônias com populações indígenas significativas, e colônias com poucos europeus permanentes.
Qual problema comum enfrentavam as colônias com populações indígenas?;Necessidade de usar nativos para administração e lidar com instituições tradicionais nem sempre alinhadas aos interesses coloniais.
Qual era o maior desafio dos povos indígenas diante da ocidentalização?;Resistir a uma influência complexa que ia além da mera resistência militar ou cultural.
Por que a dominação inglesa na Índia era considerada paradoxal?;Porque era revolucionária (mudava a estrutura), mas limitada (não impunha total assimilação).
Qual sistema educacional foi implementado na Índia colonial?;Sistema educacional inglês para formar uma elite administrativa anglicizada, criado por T. B. Macaulay em 1835.
Por que os ingleses não conseguiram ocidentalizar totalmente a Índia?;Devido à enorme população indiana, riscos políticos e função econômica dos indianos como dominados, não competidores do capitalismo inglês.
Qual impacto a dominação inglesa teve sobre a elite indiana?;Surgiu uma elite anglicizada, às vezes distante das massas e da cultura local, mas nunca considerada igual pelos ingleses.
Quantos habitantes tinha a Índia em 1871?;Aproximadamente 190 milhões.
De onde surgiriam os líderes da luta de libertação indiana?;Da elite ocidentalizada, que colaborou com os ingleses e se beneficiou da dominação, formando uma burguesia compradora local.
O que a elite ocidentalizada via nos britânicos no século XIX?;Um modelo de modernização e novas possibilidades.
"Qual foi o ""Motim Indiano"" de 1857-58?";Um levante contra o domínio inglês, especialmente no norte da Índia, contra mudanças rápidas e opressivas, incluindo a East India Company.
Qual foi a consequência do Motim Indiano para a East India Company?;A East India Company foi dissolvida e substituída pelo controle direto do governo britânico.
Que política de anexação provocou o levante de 1857?;A anexação sistemática de territórios dependentes, especialmente a anexação do Reino de Oudh em 1856.
Qual foi o pretexto religioso para o levante de 1857?;Introdução de cartuchos com graxa, que ofendia a sensibilidade religiosa dos soldados bengaleses.
Quem liderou a insurreição popular no levante de 1857?;Nobres e príncipes tradicionais que tentaram restaurar o Império Mughal.
Como os ingleses mudaram sua política após o levante de 1857?;"Pararam as anexações sistemáticas e passaram a apoiar príncipes locais marionetes, mantendo o controle indireto (""Divide e Impera"")."
Qual grupo social os ingleses passaram a apoiar para manter o controle?;Proprietários de terras conservadores e a minoria muçulmana poderosa.
Qual tensão cresceu entre ingleses e elite indiana no final do século XIX?;Fricção social e racial, devido ao crescimento de uma classe média colonial e segregação dos ingleses expatriados.
Quando foi fundado o Congresso Nacional Indiano?;No final da década de 1880, como principal veículo do nacionalismo indiano.
Quais são as características do Egito no século XIX?;Principado virtualmente independente, economia agrária exportadora de trigo e algodão, e localização estratégica para o Canal de Suez.
Quem era o Khedive Ismail e qual seu objetivo?;Governante do Egito que tentou modernizar o país e transformá-lo num poder imperial, inspirado em Paris de Napoleão III.
Qual foi o custo da modernização para o povo egípcio?;Dívidas enormes, doenças parasitárias e exploração financeira pelos banqueiros europeus.
Por que os europeus impuseram controle financeiro ao Egito?;Porque o governo não conseguia pagar os juros das grandes dívidas contraídas para financiar a modernização.
Quem emergiu como poder dominante no Egito na década de 1880?;Os ingleses, devido à sua posição estratégica e financeira.
Qual movimento nacionalista surgiu no Egito no final do século XIX?;Um movimento de senhores da terra, intelectuais e militares contra o Khedive e os estrangeiros.
Qual foi o impacto cultural da islamização no Egito?;O árabe substituiu o turco como língua oficial e o Egito tornou-se centro da vida intelectual islâmica.
Quem foi Jamal ad-din Al Afghani e o que propunha?;Um ideólogo islâmico moderno que defendia revitalizar o Islã absorvendo ciência moderna, parlamentos e exércitos nacionais.
Como era o movimento antiimperialista egípcio?;Olhava para o futuro, buscando modernização do Islã e do país, e não uma simples reação negativa ao Ocidente.
qual foi a maior revolução do século XIX em impérios não europeus?;A Rebelião Taiping na China (1850-66), uma guerra civil brutal que matou cerca de 20 milhões de pessoas.
Por que a Rebelião Taiping foi tão importante?;Porque afetou metade do território chinês e foi resultado direto do impacto ocidental no país.
Qual a tradição política da China imperial?;A permanência do império sob um único imperador, administrado por burocratas que passaram no exame do serviço civil.
"O que é o ""mandato do Céu""?";"A crença de que a autoridade do imperador é legítima enquanto governa bem; sua perda indica crise e revolução."
Quem governava a China antes da Rebelião Taiping?;A dinastia Manchu, que havia substituído a dinastia Ming no século XVII.
Qual fator populacional agravou a crise da China no século XIX?;A enorme população, que cresceu de 140 milhões em 1741 para 400 milhões em 1834, causando pressões econômicas.
Que evento militar expôs a fragilidade da China imperial?;A derrota na Primeira Guerra do Ópio (1839-42) contra a Inglaterra.
O que aumentou a oposição ao regime Manchu após a Guerra do Ópio?;As sociedades secretas, como a Tríade, que queriam derrubar os Manchu e restaurar os Ming.
Quem foi Hung Hsiu-Chuan?;"Líder messiânico da Rebelião Taiping, que fundou a ""Sociedade dos que veneram Deus"" e proclamou o ""Reino Celestial de Paz Universal""."
Quais ideias influenciaram Hung Hsiu-Chuan?;Mistura de ideias cristãs, taoístas, budistas e anti-Manchu, com elementos revolucionários e igualitários.
Quais foram algumas reformas radicais dos Taipings?;Abolição da propriedade privada, igualdade entre os sexos, proibição de tabaco/álcool/ópio e nova organização social e cultural.
Qual a extensão territorial dos Taipings em seu auge?;Controlavam a maior parte do sul e leste da China, incluindo a captura de Nanking.
Por que a Rebelião Taiping fracassou?;Divisões internas, alienação de moderados e tradicionalistas, e fracasso em seguir suas próprias regras puritanas.
Como a administração imperial viu os estrangeiros?;Como necessários para derrotar os Taipings, o que levou à dependência crescente das potências ocidentais.
O que ocorreu após a Segunda Guerra do Ópio (1856-58)?;Capitulação chinesa, saque de Pequim, abertura de portos e concessões territoriais a estrangeiros.
Quem controlava a alfândega de Xangai a partir de 1854?;Um triunvirato anglo-franco-americano, com um inglês nomeado para supervisionar toda a receita chinesa.
Quem foi Robert Hart?;Inspetor Geral da Alfândega Chinesa (1863-1909), que na prática controlava a economia da China em interesse dos ocidentais.
Como os intelectuais confucianos viam as inovações ocidentais?;Resistiam e viam o ocidental como bárbaro, temendo perda da moral e tradição chinesas.
Quais inovações ocidentais enfrentaram resistência?;Ensino de astronomia e matemática, construção de ferrovias, e outras tecnologias modernas.
O que os ocidentais preferiram em relação à dinastia Manchu?;Arrastar os Manchus até sua derrubada, evitando que a China entrasse em anarquia ou vazio político.
Quem foi Li Hung-Chang e seu papel?;"Intelectual-burocrata que salvou o Império criando exércitos provinciais, antecipando o controle regional por ""senhores da guerra""."
Como o Império Chinês sobreviveu à crise Taiping?;Com concessões ao Ocidente, retorno ao conservadorismo e perda gradual do poder central.
Qual era a escolha das elites em países não ocidentais diante do Ocidente?;Entre resistir ou colaborar, optavam por reformas que assimilassem ciência e tecnologia ocidentais sem perder sua cultura.
Quais países foram exemplos típicos dessa situação?;China e Egito, estados independentes com antigas civilizações minados pela penetração ocidental.
Qual era o interesse das potências capitalistas na China e Egito?;Não ocupação direta, mas liberdade para seus cidadãos explorarem comércio e privilégios sem interferir demais.
Como reagiram os governos da China e Egito à pressão ocidental?;Rejeitaram resistência nacional, preferindo dependência que mantivesse seu poder político local.
Qual foi o resultado das políticas de reforma nesses países?;"Fracasso; Egito caiu sob controle direto ocidental e China entrou em desintegração progressiva."
Quais impérios independentes foram derrubados por revoluções no século XX?;Turquia, Irã e China.
O que Marx pensava sobre a dominação ocidental na Índia?;Via a dominação como um processo para destruir a antiga sociedade e estabelecer as bases para a sociedade ocidental moderna.
Como Marx via os sofrimentos causados pelo imperialismo?;"Reconhecia o ""sangue, sujeira, miséria e degradação"", mas considerava as conquistas historicamente progressistas."
Quais foram as perdas e ganhos evidentes da conquista ocidental?;Perdas: destruição de mundos antigos, miséria, perda cultural. Ganhos: barcos a vapor, ferrovias, telégrafos, intelectuais formados.
Por que os ganhos ocidentais não compensavam as perdas na época?;Porque a desordem, insegurança e exploração colonial superavam os benefícios ainda limitados.
Qual é o contraste mais óbvio entre países desenvolvidos e subdesenvolvidos no século XIX?;A diferença entre riqueza e pobreza, especialmente no impacto das fomes.
Quantas pessoas morreram de fome na Inglaterra em média no século XIX?;Cerca de 500 por ano, número considerado pequeno para a época.
Como eram as mortes por fome na Índia no século XIX?;Milhões, com grandes epidemias em várias regiões, como Orissa, Rajputana, Madras e Mysore.
Qual foi a gravidade da fome na Índia entre 1876-88?;A pior fome do século XIX, com milhões de mortos, chegando a 20% da população em Mysore.
Quantas pessoas morreram de fome na China em meados do século XIX?;Cerca de 14 milhões em 1849 e mais 20 milhões entre 1854 e 1864, além de outras catástrofes.
Quais outras regiões também sofreram grandes fomes no século XIX?;Java, Argélia (população muçulmana caiu 20%), e Pérsia (perda de até 2 milhões na fome de 1871-73).
Como era a situação populacional no mundo islâmico no século XIX?;Estava em transição, saindo lentamente de ciclos tradicionais de crescimento e catástrofes.
O Terceiro Mundo beneficiou-se significativamente do progresso ocidental no século XIX?;Não, poucos ganhos reais para a maioria da população.
Como a maioria dos povos do Terceiro Mundo via o progresso ocidental?;Como algo distante, muitas vezes duvidavam se esse progresso era desejável.
O que aconteceu com aqueles que resistiram em nome da tradição?;"Foram derrotados; o uso das ""armas do progresso"" pela resistência ainda não havia chegado."
Quem nunca dominou o mundo com tanta completude entre 1848 e 1875?;Os europeus de origem branca, em seu apogeu imperial.
Qual era o papel dos Estados Unidos nesse período?;Um estado não europeu emergente, com interesse regional nas Américas e no Pacífico, mas ainda com influência global limitada.
Quais colônias europeias restavam na América Latina após sua independência?;As Guianas (Inglaterra, França, Holanda) e as ilhas do Caribe (Espanha, Inglaterra, França, Holanda, Dinamarca).
Qual era a situação da presença europeia no continente norte-americano?;A presença mais relevante era a dependência britânica do Canadá.
Que territórios o México perdeu para os Estados Unidos?;Califórnia, Arizona, Utah, partes do Colorado e Novo México, após a guerra de 1848-53.
Quando o Alasca foi vendido para os EUA?;Em 1867, pela Rússia.
Qual era o tipo básico de dominação americana sobre países vizinhos?;Controle indireto sobre governos fracos, nominalmente independentes, que dependiam dos EUA.
O que Porfirio Diaz disse sobre o México?;"""Tão longe de Deus e tão perto dos Estados Unidos"", mostrando a influência americana."
Qual foi a imagem dos EUA no século XIX?;"Terra de oportunidades, república democrática, onde o imigrante poderia se tornar ""self-made man""."
