to abolish;abolir
vacuum;vácuo, aspirador
vague;vago(a)
validity;validade
to vanish;desaparecer
variable (n / adj);variável
varied;variado(a)
vein;veia
venture;empreendimento (risco)
verbal;verbal
verdict;veredito
to verify;verificar
verse;verso
versus (prep);versus (contra)
vessel;vaso, navio
veteran;veterano(a)
viable;viável
vibrant;vibrante
vice;vício
vicious;vicioso(a)
to violate;violar
violation;violação
virtue;virtude
vocal;vocal, que se manifesta
to vow;jurar, prometer solenemente
vulnerability;vulnerabilidade
vulnerable;vulnerável
ward;enfermaria, ala (proteção)
warehouse;armazém
warfare;guerra (conflito)
warrant (n) / to warrant (v);mandado (judicial) / justificar
warrior;guerreiro(a)
to weaken;enfraquecer
to weave;tecer
weed;erva daninha
well (n);poço
well-being;bem-estar
whatsoever (adv);absolutamente (nenhum)
to whip;chicotear
wholly;completamente
to widen;alargar
width;largura
willingness;disposição
to wipe;limpar (com pano)
wit;sagacidade
withdrawal;retirada
workout;exercício (treino)
worship (n) / to worship (v);adoração / adorar
worthwhile;que vale a pena
worthy;digno(a)
wrongdoing;má conduta, crime
to yield;produzir,
;
;
to abate;diminuir, abrandar
to abdicate;abdicar
aberration;aberração
to abet;instigar, auxiliar (em crime)
abeyance;suspensão, hiato
to abhor;detestar, abominar
abiding;duradouro, permanente
abject;abjeto, miserável
to abjure;abjurar, renunciar
to abrogate;revogar, anular
abrogation;revogação
to abscond;fugir (furtivamente)
to absolve;absolver
to abstain;abster-se
abstention;abstenção
abstinence;abstinência
abstruse;abstruso, de difícil compreensão
abyss;abismo
to accede;aceder, concordar
to accentuate;acentuar
accession;adesão, ascensão (ao trono)
acclaimed;aclamado
acclamation;aclamação
accolade;reconhecimento, prêmio
accomplice;cúmplice
to accost;abordar (de forma agressiva)
to accredit;credenciar
accreditation;credenciamento
to accrue;acumular, incidir (juros)
acerbic;acre, mordaz
to acquiesce;aquiescer, concordar tacitamente
acquiescence;aquiescência
to acquit;absolver
acrimonious;acrimonioso, áspero
acrimony;acrimônia
acuity;acuidade
acumen;perspicácia
adage;adágio, ditado
adamant;inflexível
adherence;adesão
adherent;adepto, seguidor
adjuration;súplica solene
admittance;admissão, entrada (permissão)
to admonish;admoestar, repreender
adroit;hábil, destro
adulation;adulação
advent;advento, chegada
adversary;adversário
adversity;adversidade
aegis;égide, proteção
affable;afável
affectation;afetação, fingimento
affidavit;declaração juramentada
affinity;afinidade
affliction;aflição
alacrity;presteza, prontidão
albeit;embora, ainda que
alchemy;alquimia
allegiance;lealdade
allegory;alegoria
to alleviate;aliviar
to allude;aludir
allusion;alusão
aloof;distante, reservado
altercation;altercação
altruistic;altruísta
amalgamation;amalgama, fusão
ambiguity;ambiguidade
ambivalent;ambivalente
ambrosial;ambrosiano, divino
to ameliorate;amenizar, melhorar
amenable;receptivo, suscetível
anachronism;anacronismo
anachronistic;anacrônico
analogous;análogo
anarchy;anarquia
anathema;anátema, maldição
anecdote;anedota
anguish;angústia
animosity;animosidade
annihilation;aniquilação
annum (per annum);ano (por ano)
anomaly;anomalia
to antagonise;antagonizar
antecedent;antecedente
antidote;antídoto
antipathy;antipatia
antiquated;antiquado
antiquity;antiguidade
antithesis;antítese
apathetic;apático
aperture;abertura
apex;ápice
aplomb;segurança, autoconfiança
apostle;apóstolo
apparatus;aparato
apparition;aparição
to appease;apaziguar
appellation;denominação, apelido
apprehension;apreensão, compreensão
apprehensive;apreensivo
aptitude;aptidão
arbiter;árbitro
arcane;arcano, secreto
archetype;arquétipo
archipelago;arquipélago
ardour;ardor
arduous;árduo
arguably;indiscutivelmente (pode-se argumentar que)
armistice;armistício
arrogance;arrogância
artifice;artifício
artisan;artesão
ascendancy;ascendência, domínio
to ascertain;averiguar, constatar
aspersion;calúnia, difamação
assiduous;assíduo
to assuage;amenizar, aliviar
astute;astuto
to atone;expiar
attrition;atrito, desgaste
audacity;audácia
to augment;aumentar
auspicious;auspicioso
austere;austero
autocracy;autocracia
autocrat;autocrata
avarice;avareza
aversion;aversão
axiom;axioma
axiomatic;axiomático
backlash;reação negativa
baleful;funesto, sinistro
to balk;empacar, opor-se
ballast;lastro
balm;bálsamo
banal;banal
bane;perdição, maldição
barrage;saraivada, barragem
bastion;bastião
to bear up (phr v);aguentar, manter a coragem
bedlam;confusão, caos
to beguile;seduzir, enganar
behemoth;behemot (algo enorme/poderoso)
to beleaguer;sitiar, atormentar
to belie;desmentir, disfarçar
bellicose;belicoso
belligerent;beligerante
bellwether;precursor, referência
to bemoan;lamentar
benefactor;benfeitor
benevolence;benevolência
benevolent;benevolente
to bequeath;legar
bequest;legado
to berate;xingar, ralhar
bereavement;luto (por perda)
bereft;privado de, desprovido
to beseech;implorar
to beset;assediar, cercar
besotted;apaixonado, tolo (por alguém)
to bestow;conceder, conferir
bewitching;encantador
bigotry;fanatismo, intolerância
bilateral;bilateral
to billow;ondular, inflar
to bite the bullet (idiom);encarar a situação difícil
blasphemy;blasfêmia
blithe;alegre, despreocupado
boisterous;ruidoso, turbulento
bombastic;bombástico
boon;benefício, vantagem
boorish;grosseiro, bronco
bounty;generosidade, recompensa
bourgeoisie;burguesia
to brandish;brandir
bravado;bravata
bravura;bravura, virtuosismo
brevity;brevidade
brinkmanship;levar ao limite (perigoso)
brusque;brusco
bulwark;baluarte
to burgeon;florescer, crescer rapidamente
to buttress;apoiar, fortalecer
byword;sinônimo, referência
cabal;cabala, conspiração
cache;esconderijo, cache
cacophony;cacofonia
cadence;cadência
to cajole;persuadir com lisonja
calibre;calibre, nível
callous;insensível, calejado
camaraderie;camaradagem
candour;candura, franqueza
cantankerous;rabugento, mal-humorado
to capitulate;capitular
capricious;caprichoso
cardinal (adj);cardinal, fundamental
cartography;cartografia
caste;casta
to castigate;castigar severamente
cataclysm;cataclismo
catharsis;catarse
caustic;cáustico
cavalcade;cavalgata
caveat;ressalva, advertência
censure (n) / to censure (v);censura / censurar
cessation;cessação
chagrin;desgosto, contrariedade
charlatan;charlatão
chasm;abismo, fossa
to chastise;castigar, punir
chattel;bem móvel, propriedade
chicanery;chicana, trapaça
to chide;repreender
chronology;cronologia
churlish;grosseiro, mal-educado
circumspect;circunspecto
to circumvent;contornar, burlar
citadel;cidadela
clandestine;clandestino
to cleave;cortar, aderir, aferrar-se
clemency;clemência
clique;panelinha, claque
cloister;claustro
cloistered;enclausurado
clout;influência, prestígio
to coalesce;coalescer, unir-se
to coerce;coagir
coercion;coerção
cogent;convincente
cohesion;coesão
to collude;conluir, conspirar
collusion;conluio, cumplicidade
colossal;colossal
colossus;colosso
commensurate;na mesma proporção
to commiserate;compadecer-se
compatriot;compatriota
complacency;complacência
complacent;complacente
complementary;complementar
complicity;cumplicidade
compulsion;compulsão
concatenation;concatenação
conciliatory;conciliatório
conclave;conclave
concordance;concordância
condescension;condescendência
to condone;tolerar, aceitar (erro)
to confiscate;confiscar
conflagration;conflagração
confluence;confluência
to confound;confundir
conjecture;conjectura
to conjure;conjurar, fazer aparecer
to connive;conivente, conspirar
connoisseur;conhecedor
connotation;conotação
conquest;conquista
consecration;consagração
consortium;consórcio
consternation;consternação
to construe;interpretar
consummation;consumação
contagion;contágio
contemptible;desprezível
contingency;contingência
continuum;continuum
to contravene;infringir, transgredir
contrition;contrição
conundrum;enigma, charada
to convene;convocar
convergence;convergência
convivial;convivial, festivo
convoluted;complicado, enrolado
copious;copioso, abundante
coquettish;coquete
cordial;cordial
cornucopia;cornucópia
corollary;corolário
to corroborate;corroborar
cortege;cortejo
cosmology;cosmologia
cosmos;cosmo
to countenance;tolerar, permitir
to covet;cobiçar
craven;covarde
credulous;crédulo
creed;credo
crevasse;crevasse
crucible;cadinho
crux;ponto crucial
crypt;cripta
to culminate;culminar
culpable;culpável
culprit;culpado
cunning;astuto
cupidity;cupidez
curmudgeon;rabugento, mal-humorado
cursory;superficial, apressado
to curtail;reduzir, encurtar
daft;tolo, louco (informal)
dalliance;flerte, brincadeira
daunting;desalentador
to dawdle;procrastinar, enrolar
dearth;escassez
debacle;debacle
to debilitate;debilitar
debonair;elegante, fino
to debunk;desmascarar
decadence;decadência
deceitful;enganador
to decimate;dizimar
decorous;decoroso
decorum;decoro
decree;decreto
decrepit;decrépito
to decry;criticar abertamente
defamation;difamação
deference;deferência
to deflate;esvaziar (também fig.)
defunct;extinto, falecido
to dehort;desaconselhar
to deign;dignar-se
deity;divindade
deleterious;deletério, prejudicial
deliberation;deliberação
to delineate;delinear
delineation;delineamento
delirium;delírio
deliverance;libertação
deluge;dilúvio
demagogue;demagogo
demarcation;demarcação
to demean;rebaixar, aviltar
demeanour;comportamento
demise;falecimento, fim
to demur;objetar
demure;recatado, modesto
to denigrate;denegrir
denouement;desfecho
to deplete;esgotar
deplorable;deplorável
to deplore;deplorar
depravity;depravação
derelict;abandonado
to deride;ridicularizar
derisive;zombeteiro
derogatory;depreciativo, pejorativo
to desecrate;profanar
desolation;desolação
despondency;desânimo
despondent;desanimado
destitute;desabrigado, sem recursos
desultory;desultório, sem método
detachment;distanciamento
to deter;desencorajar
detestable;detestável
detriment;detrimento
detrimental;prejudicial
deviation;desvio
devious;enganoso, dissimulado
devoid;desprovido
dexterity;destreza
dexterous;destro, hábil
dialectic;dialética
diaphanous;diáfano, transparente
diaspora;diáspora
diatribe;diatribe
dichotomy;dicotomia
didactic;didático
diffident;tímido, inseguro
dilatory;procrastinador
diligence;diligência
diligently;diligentemente
diminution;diminuição
dingy;sombrio, desbotado
dirge;canto fúnebre
disaffection;descontentamento
to discern;discernir
discernment;discernimento
disciple;discípulo
discord;discórdia
discordant;discordante
discrepancy;discrepância
disdain (n) / to disdain (v);desdém / desdenhar
dishevelled;desalinhado, despenteado
disillusionment;desilusão
disingenuous;falso, dissimulado
disinterested;imparcial, desinteressado
disjointed;desconexo
dismay (n) / to dismay (v);consternação / consternar
to disparage;menosprezar
disparate;díspar
disparity;disparidade
dispassionate;impassível, objetivo
to dispel;dissipar
dispensation;dispensa (permissão)
to dispense;dispensar
disposition;disposição, caráter
disrepute;desprestígio
to disseminate;disseminar
dissension;dissensão
dissent;dissidência
dissertation;dissertação
dissident;dissidente
to dissipate;dissipar
dissolution;dissolução
dissonance;dissonância
divination;adivinhação
to divulge;divulgar
dogged;obstinado, persistente
dogma;dogma
dogmatic;dogmático
doldrums;depressão, marasmo
domicile;domicílio
dominion;domínio
dormant;dormente
dossier;dossiê
dotage;senilidade
drudgery;trabalho pesado, chato
dubious;duvidoso
duplicity;duplicidade
duress;coação
to dwindle;diminuir, definhar
dynasty;dinastia
ebullience;euforia, entusiasmo
ebullient;eufórico
eccentric;excêntrico
echelon;escalão
eclectic;eclético
edict;édito
edification;edificação (moral)
edifice;edifício
efficacious;eficaz
effigy;efígie
effrontery;audácia, descaramento
effusion;efusão
effusive;efusivo
egregious;flagrante, terrível
elated;eufórico
elation;euforia
to elicit;obter (informação), provocar
eloquent;eloquente
to elucidate;elucidar
elusive;evasivo, difícil de capturar
emaciated;emaciado, definhado
to emanate;emanar
to emancipate;emancipar
emancipation;emancipação
embargo;embargo
to embellish;embelezar
to embezzle;desviar (dinheiro)
emblem;emblema
to embroil;envolver (em conflito)
emissary;emissário
to emulate;emular, imitar
enclave;enclave
to encroach;invadir, usurpar
endemic;endêmico
to endow;dotar
to enervate;enervar, debilitar
to engender;gerar, causar
enigma;enigma
enigmatic;enigmático
enmity;inimizade
ennui;tédio
enormity;enormidade
to ensue;seguir-se, resultar
to entail;implicar, acarretar
to enthrall;cativar, fascinar
enticing;tentador, atraente
entourage;séquito
to entreat;suplicar
entrenchment;entrincheiramento
entropy;entropia
to enumerate;enumerar
envoy;enviado
ephemeral;efêmero
epicentre;epicentro
epicure;epicurista, gourmet
epigram;epigrama
epilogue;epílogo
epiphany;epifania
epitaph;epitáfio
epitome;epítome
to epitomise;personificar, resumir
epoch;época
equanimity;equanimidade
equilibrium;equilíbrio
equivocal;equívoco, ambíguo
to eradicate;erradicar
erotic;erótico
to err;errar
erstwhile;outrora, anterior
erudite;erudito
erudition;erudição
escapade;escapada, aventura
escarpment;escarpa
to eschew;evitar, fugir de
esoteric;esotérico
to espouse;adotar (causa), apoiar
esteem;estima
ethereal;etéreo
ethos;ethos, caráter
etymology;etimologia
eulogy;elogio fúnebre
euphemism;eufemismo
euphoria;euforia
evanescent;evanescente
to exacerbate;exacerbar
exacting;exigente
to exalt;exaltar
exaltation;exaltação
exchequer;tesouro (público)
to excoriate;criticar duramente
excruciating;excruciante
execrable;execrável
to exemplify;exemplificar
to exhort;exortar
exhortation;exortação
exigency;exigência
exigent;exigente
exodus;êxodo
to exonerate;exonerar
exorbitant;exorbitante
expatriate;expatriado
expediency;conveniência
expedient;conveniente, útil
to expedite;acelerar
exponent;expoente
exposition;exposição
to expound;expor (ideias)
to expunge;expungir, eliminar
exquisite;requintado, belíssimo
to extol;exaltar, louvar
extraneous;extrínseco, irrelevante
to extricate;extricar, livrar
exuberant;exuberante
to exude;exsudar, emanar
exultation;exultação
to fabricate;fabricar, inventar
fabrication;fabricação, invenção
facet;faceta
facetious;brincalhão, irreverente
facile;simplista, fácil
facsimile;fac-símile
fallacious;falacioso
fallacy;falácia
fallibility;falibilidade
famine;fome (generalizada)
fanaticism;fanatismo
farce;farsa
farcical;farsesco
fastidious;exigente, meticuloso
fatalism;fatalismo
to fathom;compreender, sondar
fatuous;fátuo, imbecil
fauna;fauna
to fawn over;bajular
façade;fachada
feckless;incompetente, inútil
to feign;fingir
feisty;enérgico, combativo
fermentation;fermentação
ferocious;feroz
to ferret out;descobrir (investigando)
fervent;fervoroso
fervid;fervido, apaixonado
fervour;fervor
fetish;fetiche
feud;rixa, conflito
fiasco;fiasco
fickle;inconstante
fidelity;fidelidade
figment;invenção, produto da imaginação
figurehead;líder nominal
filibuster;obstrução (política)
finesse;fineza, sutileza
fissure;fissura
flagrant;flagrante
to flaunt;ostentar
fleeting;fugaz
flimsy;frágil, inconsistente
flora;flora
flotsam;destroços flutuantes
to flout;desafiar, desrespeitar
flux;fluxo
fodder;forragem, material
foible;fraqueza (de caráter)
folly;loucura, tolice
to foment;fomentar
foolhardiness;temeridade
foray;incursão
forbearance;paciência, tolerância
forerunner;precursor
to forestall;prevenir, antecipar
forfeiture;perda (por penalidade)
to forgo;renunciar a
forlorn;desolado, abandonado
formidable;formidável
to forsake;abandonar
forte;forte (habilidade)
fortitude;fortaleza (mental)
fortuitous;fortuito
to founder;afundar, fracassar
fractious;rebelde, irascível
fraught;carregado (de tensão)
fray;refrega, luta
frenetic;frenético
frenzy;frenesi
freshman;calouro (universidade)
fretful;irritadiço, preocupado
frivolous;frívolo
frugal;frugal
fruition;concretização
fulcrum;fulcro
fulsome;efusivo, excessivo
furor;furor
furtive;furtivo
futile;fútil
futility;futilidade
gaffe;gafe
to galvanise;galvanizar
gambit;abertura (estratégia)
garish;berrante, espalhafatoso
to garner;angariar, obter
garrison;guarnição
garrulous;tagarela
gauche;deselegante, grosseiro
gauntlet;luva, prova (run the gauntlet)
genealogy;genealogia
genesis;gênese
genial;genial, amigável
to genuflect;genuflectir
germane;pertinente
gestation;gestação
gingerly;com cuidado
gist;essência, ideia principal
to glean;recolher, colher (informações)
glib;desembaraçado, superficial
glossary;glossário
gluttony;gula
grandeur;grandiosidade
gratification;gratificação
gratuitous;gratuito, injustificado
gravitas;gravidade, seriedade
gregarious;gregário
grievance;queixa, ressentimento
to grovel;humilhar-se, rastejar
gruelling;exaustivo
guile;astúcia
gullible;crédulo
hackneyed;batido, clichê
halcyon;tranquilo, áureo (halcyon days)
hallmark;marca registrada
halo;halo
to hamper;dificultar, atrapalhar
haphazard;aleatório, desorganizado
hapless;infeliz, desventurado
harangue (n) / to harangue (v);arenga / arengar
harbinger;arauto, precursor
to harness;aproveitar (energia), dominar
to hasten;apressar
haughty;arrogante
havoc;estrago, devastação
hearsay;boato, rumor
hedonistic;hedonista
to heed;prestar atenção
hegemony;hegemonia
heinous;hediondo
heirloom;herança de família
henceforth;doravante
henchman;capanga
to herald;anunciar, proclamar
herbivore;herbívoro
heresy;heresia
heretical;herético
hiatus;hiato
hindrance;obstáculo
hinterland;interior, retaguarda
histrionic;histriônico
hitherto;até agora
to hoard;acumular, entesourar
holocaust;holocausto
homage;homenagem
homogeneous;homogêneo
to hone;afiar, aprimorar
horoscope;horóscopo
hospice;hospício (cuidados paliativos)
hubris;arrogância, soberba
hybrid;híbrido
hyperbole;hipérbole
hypocrisy;hipocrisia
hypothetical;hipotético
hysteria;histeria
iconoclasm;iconoclastia
iconoclast;iconoclasta
ideologue;ideólogo
idiosyncrasy;idiossincrasia
idiosyncratic;idiossincrático
idyllic;idílico
ignominious;ignominioso
ignominy;ignomínia
ill-advised;imprudente
illicit;ilícito
to imbue;imbuir
immaculate;imaculado
immeasurably;imensuravelmente
immensity;imensidão
immortal;imortal
immutable;imutável
to impair;prejudicar
impartial;imparcial
impasse;impasse
impassive;impassível
impeachment;impeachment
impeccable;impecável
to impede;impedir
impediment;impedimento
imperative;imperativo
imperceptibly;imperceptivelmente
imperialism;imperialismo
to imperil;colocar em perigo
imperious;imperioso
impertinent;impertinente
imperturbable;imperturbável
impervious;impérvio
impetuous;impetuoso
impetus;impulso
implacable;implacável
implausible;implausível
impracticable;impraticável
impregnable;inexpugnável
impromptu;improviso
impropriety;impropriedade
impudence;impudência
to impugn;contestar, atacar
impunity;impunidade
inadequacy;inadequação
inadvertent;inadvertido
inane;inane, vazio
to inaugurate;inaugurar
incarnation;encarnação
incendiary;incendiário
to incense;enfurecer
inception;início, concepção
incessant;incessante
incisive;incisivo
to incite;incitar
inclement;inclemente
inclination;inclinação
inclusive;inclusivo
incomprehensible;incompreensível
inconceivable;inconcebível
incongruity;incongruência
incongruous;incongruente
incontrovertible;incontrovertível
incorrigible;incorrigível
incredulity;incredulidade
incredulous;incrédulo
incumbency;mandato, obrigação
incumbent (n);titular (do cargo)
incursion;incursão
indefatigable;infatigável
indelible;indelével
to indemnify;indenizar
indifference;indiferença
indifferent;indiferente
indignant;indignado
indignation;indignação
indiscretion;indiscrição
indoctrination;doutrinação
indolent;indolente
indomitable;indomável
inducement;incentivo
induction;indução
indulgent;indulgente
industrious;industrioso
ineffable;inefável
inept;inepto
ineptitude;inépcia
inequity;iniquidade
inertia;inércia
inexhaustible;inesgotável
inexorable;inexorável
infallible;infalível
infamy;infâmia
infatuation;paixão (ilusão)
inferno;inferno
infirmary;enfermaria
inflammatory;inflamatório
influx;influxo
infraction;infração
ingenious;engenhoso
ingenuity;engenhosidade
ingenuous;ingênuo
ingrained;arraigado
inhospitable;inóspito
inhumanity;inhumanidade
inimical;hostil, desfavorável
iniquitous;iníquo
injunction;injunção
inkling;suspeita, noção
innocuous;inócuo
innuendo;insinuação
innumerable;inumerável
inquisition;inquisição
insatiable;insaciável
inscrutable;inescrutável
insidious;insidioso
insipid;insípido
insolent;insolente
insoluble;insolúvel
insouciant;despreocupado
to instigate;instigar
insurgency;insurgência
insurmountable;insuperável
insurrection;insurreição
intelligentsia;intelligentsia
inter alia (adv);entre outras coisas
interlude;interlúdio
intermittently;intermitentemente
internecine;recíproco (destrutivo)
intimation;intimação, sugestão
intimidation;intimidação
intransigence;intransigência
intransigent;intransigente
intrepid;intrépido
intrinsic;intrínseco
introspection;introspecção
intrusive;intrusivo
intuition;intuição
to inundate;inundar
invasive;invasivo
invective;invectiva
inveterate;inveterado
invidious;odioso, que provoca inveja
invocation;invocação
iota;iota (pequena quantidade)
irascible;irascível
ire;ira
to irk;irritar
irreproachable;irrepreensível
irreverent;irreverente
itinerant;itinerante
itinerary;itinerário
jaded;saturado, cansado
jamboree;festival, celebração
jargon;jargão
jaundiced;ictérico (amarelado) / cínico
jaunt;passeio rápido
to jeopardise;arriscar, pôr em perigo
jingoism;jingoísmo (patriotismo extremo)
jocular;jocoso
jocularity;jocosidade
journeyman;jornaleiro, profissional competente
joust;justa
jubilation;jubilação
jubilee;jubileu
judicious;judicioso
juggernaut;força esmagadora
juncture;junção, momento
jurisprudence;jurisprudência
jurist;jurista
to juxtapose;justapor
juxtaposition;justaposição
kaleidoscope;caleidoscópio
ken;conhecimento (beyond one's ken)
kernel;cerne, núcleo
keynote;tema central
to kindle;acender, despertar
kindred;parente, semelhante
kinship;parentesco
knoll;outeiro, colina
kudos;louvor, glória
labyrinth;labirinto
lackadaisical;desleixado
lacklustre;sem brilho
laconic;lacônico
laggard;lento, retardatário
to lambaste;criticar severamente
to lament;lamentar
lamentable;lamentável
lampoon;sátira, libelo
languid;lânguido
to languish;definhar
lapse;lapso, deslize
larceny;furto
largesse;generosidade, doação
latent;latente
latitude;latitude, margem de liberdade
to laud;louvar
laudable;louvável
laureate;laureado
lectern;estante, atril
leery of (adj);desconfiado de
leeway;margem, tolerância
lenient;brando, tolerante
lethargic;letárgico
lethargy;letargia
level-headed;sensato
levity;leviandade
to levy;arrecadar (imposto)
lexicon;léxico
liaison;ligação, caso amoroso
licentious;licencioso
limbo;limbo
lineage;linhagem
linguist;linguista
to liquidate;liquidar
liquidation;liquidação
litany;ladainha
litigant;litigante
litigious;litigioso
liturgy;liturgia
to loathe;odiar
longevity;longevidade
loophole;brecha (na lei)
loquacious;loquaz
lore;conhecimento tradicional
lout;bruto, mal-educado
lucid;lúcido
ludicrous;ridículo
lugubrious;lúgubre
lukewarm;morno
luminary;luminary, notável
luminous;luminoso
lustre;lustre, brilho
luxuriant;luxuriante
machination;maquinação
machismo;machismo
macrocosm;macrocosmo
madcap;doido, maluco
maelstrom;voragem, turbilhão
maestro;maestro
magnanimous;magnânimo
magnate;magnata
mainstay;esteio, pilar
malady;mal, doença
malaise;mal-estar
malcontent;descontente
malevolent;malévolo
malfeasance;má conduta (funcionário)
malice;malícia
to malign;difamar
malleable;maleável
malodorous;malcheiroso
manifestation;manifestação
mannerism;maneirismo
manor;mansão
mantle;manto, responsabilidade
marauder;saqueador
marquee;marquise (tenda grande)
martyrdom;martírio
masochism;masoquismo
masquerade;mascarada
materialism;materialismo
matriarch;matriarca
maudlin;piegas, sentimental
maverick;independente, rebelde
maxim;máxima
mayhem;caos, confusão
meagre;escasso
mediator;mediador
mediocrity;mediocridade
megalomania;megalomania
melancholy;melancolia
melee;confusão, luta corporal
memento;lembrança
memorabilia;memorabilia
menacing;ameaçador
mendacious;mentiroso
mercenary;mercenário
meritocracy;meritocracia
messiah;messias
metamorphosis;metamorfose
methodology;metodologia
meticulous;meticuloso
mettle;têmpera, coragem
microcosm;microcosmo
minion;lacaios
minutiae;minúcias
mirage;miragem
mire;lama, atoleiro
misanthrope;misantropo
mischievous;travesso, malicioso
misgiving;receio, dúvida
mishap;contratempo
misnomer;nome errado, designação inadequada
misogyny;misoginia
to mitigate;mitigar
modicum;modicum (pequena quantidade)
mogul;magnata, mogol
to mollify;aplacar
moniker;apelido, nome
monolith;monólito
monologue;monólogo
montage;montagem
moratorium;moratória
mordant;mordaz
morgue;necrotério
moribund;moribundo
morose;mal-humorado
mortal (adj / n);mortal
mortifying;mortificante
mosaic;mosaico
to muffle;abafar
multitude;multidão
mundane;mundano, banal
munificent;munificente
munition;munição
mural;mural
mutable;mutável
myopic;míope
myriad (n / adj);miríade, inúmeros
mystique;mística
nadir;ponto mais baixo
to nag;incomodar, resmungar
naivety;ingenuidade
namesake;homônimo
narcissism;narcisismo
nascent;nascente
nebulous;nebuloso
nefarious;nefário
negligence;negligência
nemesis;nêmesis
neophyte;neófito
nepotism;nepotismo
nexus;nexo
nihilism;niilismo
nirvana;nirvana
nomenclature;nomenclatura
nonchalance;não chalance (despreocupação)
nonchalant;indiferente, despreocupado
nonentity;nulidade
notoriety;notoriedade
novice;novato
noxious;nocivo
nuance;nuance
oaf;bronco, idiota
oasis;oásis
obdurate;obstinado
to obfuscate;obscurecer
obfuscation;ofuscação
obituary;obituário
to obliterate;obliterar
oblivion;oblívio
obscenity;obscenidade
obscure (adj);obscuro
obscurity;obscuridade
obsequious;obsequioso
observance;observância
obsolescence;obsolescência
obsolete;obsoleto
obstinate;obstinado
obstreperous;barulhento, turbulento
obtuse;obtuso
to obviate;obviar
ode;ode
odyssey;odisseia
officious;intrometido, oficialoso
oligarchy;oligarquia
omen;presságio
ominous;ominoso
omission;omissão
omnipotence;onipotência
omniscience;onisciência
onerous;oneroso
onset;início (de doença)
onslaught;investida
onus;ônus
opacity;opacidade
opaque;opaco
opportunistic;oportunista
opulence;opulência
opulent;opulento
oracle;oráculo
orator;orador
oratory;oratória
ordeal;provação
ordinance;ordenança
ornate;ornamentado
orthodoxy;ortodoxia
oscillation;oscilação
ostensible;ostensivo
ostentation;ostentação
ostentatious;ostentoso
to ostracise;ostracizar
ostracism;ostracismo
to oust;expulsar
to outweigh;superar (em peso/importância)
ovation;ovação
oversight;supervisão, descuido
overweening;arrogante, presunçoso
oxymoron;oxímoro
pacifism;pacifismo
to pacify;pacificar
pageant;concurso de beleza, espetáculo
pageantry;pompa, espetáculo
painstaking;cuidadoso, minucioso
palatable;palatável, aceitável
palatial;palaciano
pallbearer;carregador de caixão
to palliate;atenuar, aliviar
pallid;pálido
pallor;palidez
palpable;palpável, evidente
palpitation;palpitação
paltry;ínfimo, insignificante
to pamper;mimar
panacea;panaceia
panache;panache (estilo, elegância)
pandemonium;pandemônio
pang;pontada, dor aguda
panorama;panorama
parable;parábola
paradigm;paradigma
paradox;paradoxo
paragon;modelo, exemplo
paramount;primordial
paraphernalia;parafernália
pariah;pária
parity;paridade
parlance;linguagem, modo de falar
parochial;paroquial (limitado, provinciano)
parody;paródia
parsimonious;parcimonioso, sovina
parsimony;parcimônia
partisan (adj / n);partidário
partisanship;partidarismo
patently (adv);patentemente
pathos;pathos, comoção
patriarch;patriarca
patronage;patrocínio, clientela
paucity;escassez
pavilion;pavilhão
pedagogy;pedagogia
pedant;pedante
pedantic;pedante
pedantry;pedantismo
pedestal;pedestal
pedigree;pedigree
peevish;rabugento
pejorative;pejorativo
penchant;inclinação, queda
pending (adj);pendente
penitence;penitência
penitent;penitente
pennant;flâmula, galhardão
pensive;pensativo
penury;penúria
peremptory;peremptório
perennial;perene
perfidious;pérfido
perfunctory;superficial, feito mecanicamente
peril;perigo
perilous;perigoso
perimeter;perímetro
periphery;periferia
perjurer;falso testemunha
perjury;perjúrio
permanence;permanência
to permeate;permear
permutation;permutação, variação
pernicious;pernicioso
perpetrator;perpetrador
perpetual;perpétuo
to perpetuate;perpetuar
perplexity;perplexidade
to persecute;perseguir
perseverance;perseverança
perspicacious;perspicaz
perturbed;perturbado
to peruse;ler atentamente, examinar
to pervade;permear, impregnar
pervasive;penetrante, dominante
to pervert;perverter
pessimism;pessimismo
petulant;malcriado, irritadiço
philanthropic;filantrópico
philanthropist;filantropo
philistine;filisteu (ignorante de arte)
phlegmatic;fleumático
phoenix;fênix
piety;piedade
to pillage;pilhar
pinnacle;pináculo
pioneering;pioneiro
pious;piedoso
pique;despeito, aborrecimento
piracy;pirataria
pitfall;armadilha, perigo
pithy;sucinto, incisivo
pittance;ninharia (pagamento)
to placate;apaziguar
placebo;placebo
placid;plácido
plagiarism;plágio
plaintiff;autor (de ação judicial)
plasticity;plasticidade
platitude;platitude
playwright;dramaturgo
plebiscite;plebiscito
plethora;plétora
plight;situação difícil
ploy;estratagema
to plunder;pilhar, saquear
podium;pódio
poignancy;pungência
poignant;pungente
poise;equilíbrio, porte
polemic;polêmica
polyglot;poliglota
pomp;pompa
pompous;pomposo
to ponder;ponderar
ponderous;pesado (fig.)
to pontificate;opinar de forma dogmática
populace;população (cidadãos)
populism;populismo
to portend;pressagiar
portent;presságio
portentous;portentoso
posterity;posteridade
posthumous;póstumo
postmortem;post mortem
to postulate;postular
pragmatism;pragmatismo
pragmatist;pragmático
preamble;preâmbulo
precarious;precário
precedence;precedência
