front ;back
O Brasil defende a substituição do G-20 financeiro pelo G-8, concentrando-se em países desenvolvidos.;Errado – O Brasil propõe substituir o G-8 pelo G-20 financeiro, que inclui países em desenvolvimento.
A política externa brasileira enfatiza cinco linhas de ação, sendo uma delas a defesa dos direitos humanos e valores internacionais.;Certo
O soft power, que se baseia em cultura e ideologia, é uma ferramenta importante para a política externa brasileira.;Certo
As relações bilaterais do Brasil com outros países buscam sempre subordinação a suas decisões externas.;Errado – O Brasil busca autonomia nas suas decisões externas nas relações bilaterais.
A expansão da economia brasileira para além da América Latina inclui países como China e outros emergentes.;Certo
A integração regional sul-americana não tem como objetivo a inserção nos ciclos dinâmicos da economia internacional.;Errado – A integração busca inserção nos ciclos dinâmicos da economia internacional e o desenvolvimento socioeconômico.
O histórico de integração regional na América do Sul foi sempre marcado por harmonia e falta de rivalidades comerciais.;Errado – A integração regional foi marcada por rivalidades comerciais e geopolíticas no passado.
O Pacto ABC (1915) foi o primeiro esforço formal de concertação política e integração entre Argentina, Brasil e Chile.;Certo
A industrialização das economias sul-americanas não evidenciou a necessidade de mercados integrados.;Errado – A industrialização evidenciou a necessidade de mercados integrados na região.
Durante os governos militares no Brasil, as estratégias de desenvolvimento autocentrado ajudaram a fortalecer a integração regional.;Errado – As estratégias autocentradas prejudicaram a integração regional.
O conceito de concertação política durante o século XX visava criar estabilidade e desenvolvimento através de integração física e política.;Certo
As teses cepalinas não contribuíram para a base teórica da integração regional na década de 1980.;Errado – As teses cepalinas contribuíram significativamente para a base teórica e prática da integração regional.
O Mercosul, criado nos anos 1990, foi inicialmente focado em integrar toda a América do Sul e além.;Errado – O Mercosul foi inicialmente focado no Cone Sul, não em toda a América do Sul.
Após 2000, o Mercosul passou a se expandir, com novas estruturas políticas e comerciais além do Cone Sul.;Certo
O Mercosul enfrenta desafios atualmente, mas está totalmente livre de obstáculos significativos.;Errado – O Mercosul ainda enfrenta desafios, como a análise do estágio atual e os obstáculos enfrentados pelo bloco.
A IIRSA, Unasul e CELAC são exemplos de iniciativas regionais que buscam integrar a infraestrutura e as relações políticas na América do Sul.;Certo
A crise financeira de 2008 não teve impacto sobre a integração regional na América do Sul.;Errado – A crise financeira de 2008 teve impactos na integração regional e na economia internacional.
No início do século XX, a América do Sul estava fragmentada e havia ameaças de intervenção armada.;Certo
O Brasil, sob a influência de Rio Branco, buscava intensificar o belicismo e a instabilidade política interna.;Errado – A política externa de Rio Branco buscava reduzir o belicismo e a instabilidade política interna.
O Tratado de Montevidéu de 1890 resolveu com sucesso o litígio territorial entre Brasil e Argentina.;Errado – O Tratado de Montevidéu não foi aprovado pelo Congresso brasileiro e não resolveu o litígio.
A solução do litígio das Missões (Palmas) foi decidida através de um tribunal arbitral de Grover Cleveland, mantendo o território sob jurisdição brasileira.;Certo
As indústrias bélicas europeias não desempenharam papel nas rivalidades entre Brasil, Argentina e Chile no início do século XX.;Errado – As indústrias bélicas europeias fomentaram rivalidades e tensões entre esses países.
Barão do Rio Branco reconheceu a manipulação das potências europeias e buscou garantir estabilidade e soberania por meio de um pacto com Argentina e Chile.;Certo
O Brasil reconheceu a independência do Panamá em 1903 sem quaisquer condições.;Errado – O reconhecimento do Panamá foi condicionado à anuência de Argentina e Chile.
A política externa dos EUA, com o Corolário Roosevelt de 1904, garantiu a intervenção nos assuntos latino-americanos para garantir a ordem e a estabilidade.;Certo
O Brasil apoiou completamente a política externa norte-americana sem buscar negociar as suas fronteiras com os vizinhos.;Errado – O Brasil apoiou a política externa dos EUA, mas buscou negociar as fronteiras com seus vizinhos e não ser submisso.
O Pacto do ABC foi ratificado pelo Congresso brasileiro em 1915, com grande apoio para minimizar rivalidades regionais.;Errado – O pacto não foi ratificado pelo Congresso brasileiro devido à preocupação com a solidariedade pan-americana e as reações de outros países da América Latina.
A Primeira Grande Guerra teve um impacto positivo na economia brasileira, estimulando a industrialização e a exportação de café.;Errado – A guerra gerou restrição nas importações e impactou negativamente a exportação de café.
A industrialização no Brasil ganhou impulso após a Primeira Guerra Mundial, com um aumento na produção interna devido à impossibilidade de importar produtos.;Certo
A indústria brasileira no início da década de 1920 já possuía capacidade para produzir todos os tipos de produtos industriais, sem dependência de montagem ou peças importadas.;Errado – Inicialmente, a indústria brasileira ainda dependia de montagem e assimilação de peças importadas, sem capacidade para produzir indústria de base.
Caio Prado Jr. destaca que a indústria brasileira, após a Primeira Guerra Mundial, teve um forte crescimento e impulsionou o desenvolvimento econômico.;Certo
A década de 1940 não refletiu sobre o subdesenvolvimento na América Latina, já que as economias da região estavam completamente desenvolvidas.;Errado – A década de 1940 foi marcada por reflexões sobre o subdesenvolvimento nas economias latino-americanas e o papel do Estado na modernização.
A industrialização das economias sul-americanas foi um fator central para as primeiras propostas de integração comercial na região.;Certo
A Comissão Econômica para a América Latina (CEPAL) foi criada em 1948 com o objetivo de estudar e promover o desenvolvimento econômico da região, com foco na equidade e atração de investimentos.;Certo
A CEPAL tem sua sede em Buenos Aires, Argentina, e seu foco principal é exclusivamente a análise das questões políticas da América Latina.;Errado – A CEPAL tem sua sede em Santiago do Chile e seu foco principal são os desafios econômicos e sociais, além de promover o desenvolvimento econômico com equidade.
A CEPAL adotou uma abordagem histórico-estruturalista, com foco na relação centro-periferia, para analisar o desenvolvimento da América Latina.;Certo
A CEPAL defendia que as soluções para o desenvolvimento da América Latina poderiam ser aplicadas a partir das realidades de países desenvolvidos.;Errado – A CEPAL propôs debates sobre o desenvolvimento a partir da realidade latino-americana, evitando soluções importadas de outras realidades.
A industrialização proposta pela CEPAL na década de 1950 visava principalmente a diversificação da produção, especialmente dos bens primários.;Errado – A proposta de industrialização visava reduzir a dependência da produção de bens primários, que perpetuava desequilíbrios econômicos.
A CEPAL considerava que a substituição de importações resolveria os desequilíbrios nas balanças de pagamentos dos países latino-americanos.;Errado – A CEPAL criticava a industrialização como substituição de importações, pois acreditava que essa medida não reduziria a vulnerabilidade externa nem resolveria os desequilíbrios nas balanças de pagamentos.
A principal crítica à industrialização como substituição de importações era a falta de mão de obra qualificada e a escassez de poupança interna.;Certo
A CEPAL foi pioneira apenas na coleta de dados macroeconômicos, sem contribuir para o planejamento econômico.;Errado – A CEPAL foi pioneira tanto na coleta de dados macroeconômicos quanto na formação de quadros técnicos para o planejamento econômico.
O pensamento econômico brasileiro pós-Segunda Guerra Mundial defendia que o subdesenvolvimento era resultado da divisão internacional do trabalho, de acordo com a CEPAL.;Errado – O pensamento econômico brasileiro pós-Segunda Guerra Mundial contestava a ideia de que o subdesenvolvimento era consequência da divisão internacional do trabalho.
"O ""Plano de Metas"" de Juscelino Kubitschek foi influenciado por uma abordagem de desenvolvimento com planejamento estatal, promovida por intelectuais como Hélio Jaguaribe e Nelson Werneck Sodré.";Certo
A criação do Instituto Superior de Estudos Brasileiros (ISEB) em 1955 teve como objetivo principal realizar estudos de economia de mercado para atrair investimentos estrangeiros.;Errado – O ISEB foi criado para analisar as realidades nacionais e direcionar ações estatais para o desenvolvimento, não focando apenas em economia de mercado.
Economistas ortodoxos liberais apoiavam a abordagem da CEPAL, considerando-a favorável à expansão do comércio exterior.;Errado – Economistas ortodoxos liberais criticavam o modelo da CEPAL, alegando que ele contrariava a expansão do comércio exterior.
A CEPAL apoiou a criação da Associação Latino-Americana de Livre Comércio (ALALC) em 1960, promovendo a liberalização do comércio regional e global.;Certo
Raúl Prebisch, principal ideólogo da CEPAL, teve papel central na criação da Conferência das Nações Unidas para o Comércio e o Desenvolvimento (UNCTAD) em 1964.;Certo
A proposta da CEPAL não influenciou o debate sobre as condições estruturais que afetam o desenvolvimento das economias periféricas.;Errado – A proposta da CEPAL ajudou a elevar o debate sobre as condições estruturais que influenciam o desenvolvimento das economias periféricas.
A ALALC foi criada em 1960 em Montevidéu por sete países latino-americanos com o objetivo de promover a liberalização tarifária e aumentar o comércio intrarregional.;Certo
"A ALALC foi baseada nas ""condições estruturais"" da CEPAL, que destacavam a dependência do comércio ultramarino e a abundância de infraestrutura intracontinental.";Errado – A CEPAL destacava a escassez de infraestrutura intracontinental, não a abundância.
A ALALC foi amplamente elogiada como uma estratégia eficaz para reduzir a dependência de investimentos estrangeiros.;Errado – A ALALC foi vista como uma ferramenta favorável às multinacionais, perpetuando a dependência de investimentos estrangeiros.
A falta de complementariedade comercial entre os países da ALALC foi um dos principais problemas do bloco.;Certo
A economia dos países membros da ALALC era baseada principalmente no beneficiamento de matérias-primas e na fabricação de produtos acabados internamente.;Errado – A economia continuava a exportar matérias-primas e montar produtos pré-fabricados de fora.
Celso Furtado acreditava que a integração de economias com diferentes níveis de industrialização poderia beneficiar mais os países menos industrializados.;Errado – Celso Furtado acreditava que a integração poderia beneficiar mais os países mais industrializados.
A falha da ALALC gerou uma busca por novas abordagens de integração mais equitativas entre os países da região.;Certo
O Pacto Andino, criado em 1969, foi uma tentativa de promover uma integração sub-regional com estratégias de industrialização, mesmo com divergências políticas.;Certo
O Chile permaneceu no Pacto Andino até 1976, quando saiu devido a desacordos políticos.;Certo
A crise de endividamento da década de 1970 foi uma consequência do crescimento industrial da América Latina, que foi sustentado por empréstimos internacionais.;Certo
A CEPAL alertava sobre a crise do petróleo de 1973, mas não se preocupava com o endividamento externo da América Latina.;Errado – A CEPAL criticava o endividamento externo e alertava para a necessidade de diversificação das exportações.
Nos anos 1970, a CEPAL propôs uma reforma nas organizações de integração para acomodar diferentes níveis de desenvolvimento entre os países.;Certo
No final da década de 1970, a CEPAL acreditava que as estratégias de integração regional deveriam ser rigidamente centralizadas e uniformes para todos os países.;Errado – A CEPAL propôs a criação de instituições mais flexíveis e iniciativas bilaterais ou microrregionais para resolver questões pontuais.
A integração sul-americana deixou de ser apenas uma ferramenta de liberalização para se tornar um mecanismo de desenvolvimento com estratégias econômicas comuns entre os países latino-americanos.;Certo
"A fase ""romântica"" da integração sul-americana, até 1980, foi marcada por um grande sucesso nas capacidades econômicas dos países.";Errado – O discurso político não condizia com as capacidades econômicas dos países.
"A falta de compromisso com estruturas tarifárias ambiciosas foi uma característica da fase ""romântica"" da integração sul-americana.";Certo
"O modelo de desenvolvimento baseado na substituição de importações foi predominante durante a fase ""romântica"" da integração.";Certo
O Tratado de Montevidéu de 1960 (TM-60) foi considerado uma nova oportunidade para a América Latina, de acordo com o chanceler brasileiro, e não apresentou limitações.;Errado – Horácio Lafer mencionava a flexibilidade do tratado e as limitações do processo.
A ALADI foi criada em 1980 com o objetivo de corrigir as deficiências da ALALC e estabelecer um mercado comum latino-americano a longo prazo.;Certo
O Tratado de Montevidéu de 1980 substituiu a ALALC e conferiu uma nova personalidade jurídica à ALADI.;Certo
A ALADI propôs uma área de preferências econômicas, mas sem qualquer preferência tarifária regional.;Errado – A ALADI estabeleceu uma preferência tarifária regional.
A ALADI divide os países-membros em três categorias baseadas no nível de desenvolvimento econômico: PMDER, PDI e OPM.;Certo
Os Acordos de Complementação Econômica (ACEs) surgiram na década de 1980 com o objetivo de promover rigidez no processo de integração regional.;Errado – Os ACEs visavam flexibilidade no processo de integração regional.
Os países com diferentes níveis de comércio internacional e diversificação produtiva não possuem interesses econômicos distintos.;Errado – Países com diferentes níveis de comércio e diversificação produtiva possuem interesses econômicos distintos.
As crises petrolíferas dos anos 1970 e o fim do padrão de conversibilidade ouro-dólar afetaram negativamente as economias sul-americanas.;Certo
A redemocratização no Brasil e na Argentina reforçou a necessidade de cooperação regional e ajudou a superar as rivalidades geopolíticas.;Certo
fim das ditaduras militares e o aumento da interdependência política e econômica ocorreram durante a década de 1990.;Errado – Esses eventos começaram a ocorrer no final dos anos 1970 e 1980.
O reconhecimento das convergências políticas e econômicas entre Brasil e Argentina foi um fator importante para a cooperação regional.;Certo
O acordo tripartite de 1979 entre Brasil, Argentina e Paraguai tratou da exploração de energia das usinas de Itaipu e Corpus.;Certo
O fechamento das fronteiras em 1977 entre Brasil e Argentina teve origem em disputas sobre a exploração de petróleo no Rio da Prata.;Errado – Foi devido a disputas energéticas, não sobre petróleo.
A Argentina buscava resolver as disputas com o Brasil devido a um iminente conflito com o Chile sobre o Canal de Beagle.;Certo
O Tratado de Cooperação Amazônica (TCA), assinado em 1978, visava a cooperação bilateral entre Brasil e Argentina na área de energia.;Errado – O TCA visava afirmar a soberania sobre a Amazônia, em resposta à ameaça de internacionalização.
Durante a Guerra das Malvinas em 1982, o Brasil apoiou militarmente a Argentina.;Errado – O Brasil se posicionou contra a solução armada e apoiou diplomaticamente a Argentina.
A Crise da Dívida nos anos 1980 não teve impacto nas economias do Brasil e da Argentina.;Errado – A Crise da Dívida afetou gravemente a economia de ambos os países.
A transição política no Brasil nos anos 1980 impulsionou o fortalecimento das relações bilaterais com a Argentina.;Certo
O Tratado de Integração, Cooperação e Desenvolvimento, assinado em 1988, preparou o caminho para a criação do Mercosul.;Certo
O Mercosul foi formalmente criado pelo Tratado de Assunção em 1991, com a inclusão de Brasil, Argentina, Paraguai e Chile.;Errado – O Chile não foi um dos países fundadores.
O Mercosul tem como um dos seus objetivos a livre circulação de bens, serviços e fatores produtivos, com tarifa externa comum e política comercial comum.;Certo
O Conselho do Mercado Comum é o órgão executivo do Mercosul.;Errado – O Conselho do Mercado Comum é o órgão máximo.
O Protocolo de Brasília (1991) trata da solução de controvérsias dentro do Mercosul.;Certo
O Protocolo de Cooperação Jurídica, assinado em 1992, tem como objetivo a integração das legislações nacionais dos países do Mercosul.;Certo
O impeachment de Fernando Collor em 1992 não teve impacto no contexto político e econômico do Brasil.;Errado – O impeachment de Collor em 1992 foi um evento importante, afetando o cenário político do país.
O Brasil se comprometeu com a criação da Área de Livre Comércio Sul-Americana (ALCSA) em 1993.;Certo
Nos anos 1990, o Brasil focou em integrar diferentes blocos econômicos da América do Sul, incluindo o Mercosul e o Pacto Andino.;Certo
Durante o governo de Fernando Henrique Cardoso (1995-2002), o Brasil não se concentrou no Plano Real, mas em políticas externas.;Errado – O governo de FHC concentrou-se no Plano Real, com foco na estabilidade econômica interna.
O desenvolvimento do projeto da ALCSA foi adiado devido à prioridade dada ao sucesso econômico interno do Brasil.;Certo
Nos anos 1990, Brasil e Argentina tinham uma divergência política que impedia a adoção de compromissos comerciais com economias globais.;Errado – Havia uma convergência política entre Brasil e Argentina nesse período, facilitando os compromissos comerciais.
"O ""Consenso de Washington"" foi uma medida ortodoxa adotada pela Argentina nos anos 1990.";Certo
O principal objetivo da Argentina nos anos 1990 foi consolidar sua estabilidade econômica com o Plano Real.;Errado – O objetivo da Argentina foi romper com o isolamento político iniciado até os anos 1990.
"Carlos Escudé, em 1984, defendia que a Argentina deveria melhorar sua imagem internacional e afastar-se da ""complicidade"" com os EUA.";Certo
O Mercosul não teve avanços significativos na sua institucionalização nos primeiros anos de sua existência.;Errado – Houve avanços significativos na institucionalização do Mercosul nos primeiros anos.
O Protocolo de Ouro Preto (1994) conferiu personalidade jurídica internacional ao Mercosul.;Certo
O Conselho do Mercado Comum (CMC) é o órgão executivo do Mercosul, responsável por tomar medidas para cumprir as decisões políticas.;"Errado – O GMC é o órgão executivo; o CMC é o órgão máximo responsável pela condução política do processo de integração."
A Comissão de Comércio (CCM) é responsável pela gestão da união aduaneira e pela Tarifa Externa Comum (TEC).;Certo
A Comissão Parlamentar Conjunta (CPC) foi substituída pelo Parlamento do Mercosul (Parlasul) em 1997.;Errado – A CPC foi substituída pelo Parlasul em 2007.
O Parlasul é organizado com representação proporcional à população de cada país.;Certo
O Brasil tem atualmente 75 parlamentares no Parlasul.;Errado – O Brasil tem atualmente 37 parlamentares no Parlasul (10 senadores e 27 deputados).
A eleição por sufrágio universal no Parlasul foi adiada para 2018.;Certo
O Fórum Consultivo Econômico e Social (FCES) é composto apenas por representantes dos governos dos países-membros do Mercosul.;Errado – O FCES inclui representantes dos setores produtivos privados, trabalhadores e ONGs.
O Protocolo de Ouro Preto (1994) trata da solução de controvérsias no Mercosul.;Errado – A solução de controvérsias foi tratada pelo Protocolo de Brasília (1991), não pelo Protocolo de Ouro Preto.
O Protocolo de Olivos (2004) estabeleceu o Tribunal Permanente de Revisão (TPR) para revisar laudos arbitrais.;Certo
O Tribunal Permanente de Revisão (TPR) pode reanalisar o conteúdo das decisões do Tribunal Arbitral Ad Hoc.;Errado – O TPR se limita a questões de direito e interpretações jurídicas, sem reanalisar o conteúdo das decisões.
A decisão do Tribunal Permanente de Revisão (TPR) é passível de apelação.;Errado – A decisão do TPR é inapelável, podendo apenas ser corrigida, confirmada ou revogada.
O Protocolo de Ushuaia (1998) compromete os países-membros do Mercosul a manter a democracia.;Certo
Caso haja ruptura da ordem democrática em um país-membro, o Protocolo de Ushuaia permite a suspensão dos direitos de participação no Mercosul.;Certo
O Mercosul iniciou negociações com Chile e Bolívia em 2006.;Errado – As negociações começaram em 1996.
O Mercosul adota um modelo de regionalismo fechado, priorizando a integração exclusiva entre os países membros.;Errado – O Mercosul adota um modelo de regionalismo aberto, promovendo o comércio com países vizinhos da América do Sul.
A adesão da Venezuela ao Mercosul foi favorável a todos os países do bloco, sem polarização.;Errado – A adesão gerou polarização no Legislativo e no Itamaraty, com algumas vozes contrárias, como a do Embaixador brasileiro nos EUA, Roberto Abdenur.
O Mercosul e o Projeto Bolivariano têm o mesmo modelo de integração regional, focando na liberalização comercial e na presença de investimentos estrangeiros.;Errado – O Mercosul adota o regionalismo aberto, focado na liberalização comercial, enquanto o Projeto Bolivariano é um modelo autonomista, com ênfase na ação estatal e limitação dos investimentos estrangeiros.
O Executivo brasileiro, sob a liderança de Luiz Inácio Lula da Silva, defendia o aumento das trocas comerciais com a Venezuela.;Certo
O Congresso Nacional do Brasil ratificou o Protocolo de Adesão da Venezuela ao Mercosul em 2009.;Errado – A ratificação ocorreu em 2012, após a suspensão do Paraguai.
O Mercosul suspendeu o Paraguai em 2012 devido ao impeachment do presidente Fernando Lugo, com base na violação da Cláusula Democrática.;Certo
A suspensão do Paraguai afetou todos os acordos comerciais do Mercosul, incluindo o Fundo de Convergência Estrutural (FOCEM).;Errado – A suspensão não afetou os acordos comerciais, mas limitou a participação política do país.
A adesão da Venezuela ao Mercosul foi facilitada pela suspensão do Paraguai, e ocorreu oficialmente em julho de 2012.;Certo
A adesão da Venezuela ao Mercosul foi considerada uma conquista geopolítica, ampliando a presença do bloco no Caribe e na região amazônica.;Certo
A adesão da Venezuela ao Mercosul não teve impacto sobre o número de habitantes ou o PIB do bloco.;Errado – A adesão ampliou a população do Mercosul para 270 milhões de pessoas e o PIB para US$ 3,3 trilhões.
A adesão da Venezuela não alterou o posicionamento estratégico do Mercosul.;Errado – A adesão alterou o posicionamento estratégico do Mercosul, estendendo-o do Caribe ao extremo sul da América do Sul.
Com a adesão da Venezuela, o Mercosul se tornou uma potência energética global.;Certo
A suspensão do Paraguai foi revertida em agosto de 2013, após a eleição de Horácio Cartes.;Certo
O Congresso paraguaio ratificou o Protocolo de Adesão da Venezuela em 2012.;Errado – O Congresso paraguaio ratificou o Protocolo em dezembro de 2013.
Durante o governo de Lula, o Brasil assumiu um papel de liderança no Mercosul, contribuindo com 70% do FOCEM e investindo em projetos de infraestrutura e iniciativas sociais.;Certo
O FOCEM foi criado em 2004 para financiar projetos que promovem a convergência estrutural e a coesão social entre os membros do Mercosul.;Certo
O Brasil incentivou a criação de instituições além do comércio, como o Mercosul Cultural (1995) e o Sistema Educacional do Mercosul (1991).;Certo
"A Política Externa Brasileira, sob o governo Lula, reforçou o conceito de ""não indiferença"", permitindo o envolvimento do Brasil em questões internas de outros países da região.";Certo
O Protocolo de Ouro Preto (1994) conferiu personalidade jurídica ao Mercosul e possibilitou negociações comerciais apenas com os países membros.;Errado – O Protocolo de Ouro Preto possibilitou também a negociação comercial com outros países e blocos no formato 4 + 1.
O Protocolo de Ushuaia (1998) estabelece a cláusula democrática do Mercosul, permitindo a suspensão de países que violarem a ordem democrática interna.;Certo
O Protocolo de Montevidéu (2011) atualiza a cláusula democrática do Mercosul e introduz mecanismos de intermediação e sanção em casos de ruptura ou ameaça à ordem democrática.;Certo
O Protocolo de Adesão da Venezuela (2006) foi aprovado formalmente em 2011, mas a adesão foi efetivada em 2012.;Certo
O Acordo de Livre-Comércio Mercosul-Palestina (2011) estabelece uma zona de livre comércio apenas com Israel.;Errado – O Acordo de Livre-Comércio Mercosul-Palestina (2011) é com a Palestina, não com Israel.
O Protocolo de Montevidéu sobre Compromisso com a Democracia (2011) estabelece compromissos de defesa da democracia, com a adesão de novos instrumentos de mediação política.;Certo
O Acordo de Residência do Mercosul (2010) facilita a residência de cidadãos de qualquer país no território dos países membros, independentemente de sua nacionalidade.;Errado – O Acordo de Residência facilita a residência de cidadãos dos países membros do Mercosul no território de outros membros.
O Acordo Multilateral de Seguridade Social (2010) define a coordenação dos sistemas de seguridade social entre os países do bloco, mas não envolve benefícios sociais.;Errado – O Acordo Multilateral de Seguridade Social define a coordenação dos sistemas de seguridade social, incluindo benefícios sociais, entre os países do bloco.
O Estatuto da Cidadania do Mercosul (2010) visa garantir direitos civis e sociais aos cidadãos de países membros, promovendo a livre circulação e os direitos fundamentais.;Certo
O Protocolo de Adesão da Bolívia (2012) formaliza o processo de adesão da Bolívia ao Mercosul, mas não ampliou o bloco.;Errado – O Protocolo de Adesão da Bolívia formalizou a adesão da Bolívia e ampliou o bloco.
O Acordo Sede do Instituto de Políticas Públicas de Direitos Humanos do MERCOSUL (2012) define a criação do IPPDH e sua sede em Buenos Aires, com o objetivo de promover políticas públicas de direitos humanos.;Certo
O FOCEM financia projetos de desenvolvimento para reduzir as assimetrias econômicas e fortalecer o processo de integração no Mercosul, com 40 projetos aprovados até 2012.;Certo
A Declaração de Iguaçu foi assinada em 29 de novembro de 1985.;Errado – A Declaração de Iguaçu foi assinada em 30 de novembro de 1985.
O Tratado de Assunção, que estabelece a criação do Mercosul, foi assinado em 26 de março de 1991.;Certo
O Protocolo de Brasília, de 1991, estabeleceu a solução de controvérsias no Mercosul e foi derrogado pelo Protocolo de Olivos.;Certo
O Protocolo de Las Leñas, assinado em 14 de outubro de 1992, trata de questões de cooperação jurídica no Mercosul.;Certo
O Protocolo de Ouro Preto, de 17 de dezembro de 1994, estabelece a estrutura institucional do Mercosul.;Certo
O Protocolo de Ushuaia, assinado em 24 de julho de 1998, trata do compromisso democrático no Mercosul, Bolívia e Chile.;Certo
O Protocolo de Olivos, de 18 de fevereiro de 2002, foi criado para a solução de controvérsias e revogou o Protocolo de Brasília.;Certo
A IIRSA foi criada pela Iniciativa Brasileira e teve sua primeira reunião de presidentes da América do Sul em 2000, com a participação de todos os líderes sul-americanos.;Certo
O objetivo da IIRSA é focar principalmente em projetos de energia, transportes e comunicações, sem a necessidade de integração entre os países da região.;Errado – A IIRSA visa promover a integração entre os países da região, com ênfase em energia, transportes e comunicações.
O Plano de Ação para a Integração da Infraestrutura Regional na América do Sul foi elaborado pelo Banco Interamericano de Desenvolvimento (BID) e pela Corporação Andina de Fomento (CAF).;Certo
O foco do Plano de Ação da IIRSA é a criação de eixos de integração e desenvolvimento econômico e social, enfrentando as barreiras geográficas para o acesso aos mercados internacionais.;Certo
A IIRSA tem como prioridade a criação de redes multimodais para conectar países como Bolívia e Paraguai a portos no Pacífico e no Atlântico.;Certo
Os princípios orientadores da IIRSA incluem regionalismo fechado, sustentabilidade econômica e social, e coordenação público-privada.;Errado – A IIRSA adota o princípio de regionalismo aberto, com foco em sustentabilidade econômica, social, ambiental e político-institucional.
O Plano de Ação 2000-2010 para a IIRSA definiu nove linhas de ação, incluindo a melhoria da qualidade de vida nas áreas de integração e a harmonização das políticas e marcos regulatórios.;Certo
O Comitê de Direção Executiva (CDE) é a instância técnica-executiva da coordenação do Plano de Ação 2000-2010.;Errado – O CDE é a instância político-deliberativa.
A Agenda de Implementação Consensuada 2005-2010 incluiu 31 projetos prioritários, com investimentos estimados em USD 14,023 bilhões.;Certo
O balanço de 2010 da IIRSA revelou que todos os projetos estavam concluídos, com um total de USD 22 milhões investidos.;Errado – Apenas 2 projetos foram concluídos, com um investimento de USD 22 milhões.
Em 2011, a IIRSA foi integrada ao Conselho Sul-Americano de Infraestrutura e Planejamento da UNASUL.;Certo
"A IIRSA enfrentou críticas devido ao possível ""imperialismo"" do Brasil, em função do envolvimento de grandes empresas brasileiras em projetos de infraestrutura.";Certo
O conflito envolvendo a Odebrecht no Equador e a nacionalização das refinarias da Petrobras na Bolívia foram exemplos de tensões políticas dentro da IIRSA.;Certo
O objetivo do Plano de Ação 2000-2010 era somente focar em investimentos nacionais, sem considerar a colaboração entre países da região.;Errado – O plano incluiu 15 projetos que exigem investimentos de mais de um país.
A IIRSA não enfrentou desafios em termos de implementação e críticas, sendo amplamente bem-sucedida.;"Errado – A IIRSA enfrentou desafios e críticas, como o possível ""imperialismo"" do Brasil e divergências nos projetos de integração."
O BNDES contribui com recursos subsidiados, sendo responsável por cerca de 70% dos investimentos da agenda prioritária da IIRSA.;Certo
A crise financeira internacional de 1997 teve um impacto negativo apenas na economia do Brasil, sem afetar a Argentina ou outros países do Mercosul.;Errado – A crise afetou a economia de países como Brasil e Argentina.
A desvalorização rápida do real pelo Brasil em 1999 não gerou impacto negativo na economia argentina.;Errado – A desvalorização do real afetou negativamente a economia argentina.
A mudança na Política Externa Brasileira no segundo mandato de Fernando Henrique Cardoso incluiu a busca por novos parceiros regionais além do Mercosul.;Certo
A Unasul foi criada com foco exclusivo em integração comercial e não teve outras áreas de atuação, como infraestrutura e energia.;Errado – A Unasul também se dedicou a projetos de infraestrutura, energia e comunicação.
A Comunidade Sul-Americana de Nações (CASA) foi fundada em 2004, e seu nome foi alterado para Unasul em 2007.;Certo
O Tratado Constitutivo da Unasul foi assinado em 2008 com 12 países sul-americanos.;Certo
O principal objetivo da Unasul é o desenvolvimento de infraestrutura para a interconexão regional e a proteção da biodiversidade.;Certo
O processo decisório da Unasul é baseado em voto majoritário, com quórum mínimo de 75%.;Errado – O processo é baseado em consenso, não em voto majoritário.
O Conselho de Chefas e Chefes de Estado e de Governo da Unasul define as diretrizes políticas e projetos de integração.;Certo
A Secretaria-Geral da Unasul tem sede em Buenos Aires, na Argentina.;Errado – A Secretaria-Geral está localizada em Quito, no Equador.
Parlamento Sul-Americano tem sede em Cochabamba, na Bolívia.;Certo
Existem 8 conselhos ministeriais na Unasul, incluindo áreas como energia, saúde e defesa.;Certo
O Conselho de Defesa Sul-Americano foi criado em 2008 com foco apenas em questões de segurança regional.;Errado – O foco inclui o combate ao narcotráfico, além de segurança.
A Declaração de Bariloche, emitida em 2009, reafirma a paz e soberania na região e rejeita a presença de forças militares estrangeiras.;Certo
Em 2009, a Unasul não teve impacto sobre a presença de forças militares dos EUA na Colômbia.;Errado – A Unasul reagiu e levou o governo colombiano a revisar sua posição sobre a base militar de Palanquero.
As reuniões de ministros das Relações Exteriores e Defesa da Unasul visam aumentar a transparência das atividades militares regionais.;Certo
O Conselho de Defesa da Unasul tem o objetivo de formar uma aliança militar similar à OTAN.;Errado – O Conselho de Defesa foca na concertação política e ações conjuntas respeitando as soberanias, sem formar uma aliança militar.
O Conselho de Defesa da Unasul foi criado com o objetivo principal de combater o narcotráfico e melhorar a segurança regional.;Certo
O Conselho de Defesa Sul-Americano não promove ações conjuntas entre os países membros.;Errado – Ele foca em ações conjuntas respeitando a soberania dos países.
A Unasul tomou uma posição convergente durante a crise de Pando (2008) e a tentativa de golpe no Equador (2010).;Certo
O Protocolo Adicional (2010) da Unasul não estabelece medidas para casos de golpe de estado.;Errado – Estabelece medidas como suspensão de direitos, fechamento de fronteiras e sanções políticas e diplomáticas.
O Protocolo Adicional (2010) permite a suspensão da participação de um país da Unasul caso haja um golpe de estado.;Certo
A ameaça à ordem democrática pode ser denunciada por um Estado à Unasul, conforme o Artigo 6º do Protocolo Adicional.;Certo
