Qual é o período identificado por Eugênio Vargas Garcia como de prevalência do pan-americanismo na política externa brasileira?;De 1889 (I Conferência Pan-Americana) até 1961 (início da Política Externa Independente - PEI).
Quem liderou a delegação brasileira na 52ª AG-OEA?;O embaixador Fernando Simas Magalhães, que era vice-ministro e ex-embaixador brasileiro na OEA.
Como a 52ª AG-OEA tratou a situação da Venezuela e Nicarágua?;Não houve quórum para deliberar revogação das credenciais do representante venezuelano (Juan Guaidó). Brasil e outros se abstiveram na votação. Foi aprovada resolução para libertação de presos políticos na Nicarágua e diálogo regional.
Qual foi a posição da Assembleia sobre o conflito Rússia-Ucrânia em 2022?;A Assembleia condenou a invasão russa em declaração assinada por 24 países, mas Brasil, México e Argentina não assinaram. A OEA suspendeu a Rússia como membro observador.
Que anúncio fez o secretário de Estado dos EUA, Anthony Blinken, durante a 52ª AG-OEA?;Anunciou assistência humanitária e de segurança de cerca de US$ 240 milhões para América Latina, para acolhimento de migrantes e refugiados, incluindo venezuelanos.
Quem foi reeleito para a Comissão Jurídica Interamericana (CJI) na 52ª AG-OEA?;George Rodrigo Bandeira Galindo, que assumiu um mandato de quatro anos e a vice-presidência da Comissão.
Que temas geraram protestos e controvérsias na 52ª AG-OEA?;A agenda sobre diversidade, incluindo direitos LGBTIQA+ e igualdade de gênero, foi contestada por grupos religiosos conservadores, gerando protestos contra o que chamaram de “ideologia de gênero” e aborto.
;
Qual é o foco principal da Declaração de Lima (DEC.106) da 52ª AG-OEA?;O combate à desigualdade e discriminação no hemisfério, destacando a importância dos direitos humanos, democracia, empoderamento feminino, inclusão digital e redução da pobreza e exclusões sociais.
Quais formas de discriminação são condenadas na Declaração de Lima?;Discriminação baseada em raça, cor, sexo, gênero, língua, religião, etnicidade, origem indígena ou afrodescendente, idade, opinião política, nacionalidade, status econômico, pessoas com deficiência, orientação sexual, expressão de gênero, entre outras.
O que a Declaração de Lima ressalta sobre desigualdade digital?;A necessidade de combater a desigualdade digital, especialmente a desigualdade digital de gênero, além de enfatizar desafios como acesso equitativo a TIC, cibersegurança, alfabetização digital e proteção de dados pessoais para grupos vulneráveis.
O que a DEC.107 diz sobre a questão das Ilhas Malvinas?;Considera o tema de permanente interesse hemisférico, apoia a disposição argentina por solução pacífica e reafirma a necessidade de retomada das negociações para solução definitiva, lembrando a Resolução 928/88.
Qual o papel do Reino Unido na questão das Malvinas segundo a OEA?;O Reino Unido é observador permanente da OEA desde 1995.
Qual a importância da paz na Colômbia segundo a DEC.108?;A paz na Colômbia é fundamental para a paz hemisférica, reconhecendo esforços do governo colombiano e a inclusão da perspectiva de gênero nas negociações de paz, reafirmando o apoio ao Acordo Final de 2016 e a declaração das Américas como zona de paz.
O que trata a DEC.109?;Declara solidariedade à Argentina após atentado contra a vice-presidente Cristina Kirchner, repudia o atentado, apoia o diálogo, respeito às instituições democráticas e a identificação dos responsáveis.
Quais medidas a RES.2982 propõe para o Haiti?;Apoio para treinamento de oficiais de segurança portuária, reforço da polícia, combate a gangues, reconstrução pós-terremoto, combate ao tráfico de armas e insegurança alimentar, com acompanhamento regular da OEA e engajamento na estabilidade do país.
Como a RES.2983 reforça a participação da sociedade civil na OEA?;Reafirma apoio à participação de organizações da sociedade civil, especialmente de mulheres, povos indígenas e afrodescendentes, em fóruns da OEA para fortalecer democracia, direitos humanos e segurança multidimensional.
Qual o objetivo da RES.2984 sobre as Cúpulas das Américas?;Apoiar a continuidade e organização das Cúpulas das Américas, incluindo o acompanhamento da 9ª Cúpula realizada em 2022.
O que foi aprovado na RES.2985 sobre o orçamento da OEA?;Aprovação do programa-orçamento definitivo da OEA para 2023 na 1ª Sessão Plenária, apresentado pela Secretaria-Geral e com relatório do Comitê de Auditoria.
Quais são os principais temas abordados na RES.2986 sobre segurança hemisférica?;Reforço da governança democrática, desarmamento, zona livre de minas terrestres, prevenção da violência baseada em gênero, melhorias no sistema prisional, segurança cibernética, mudanças climáticas e combate ao terrorismo.
Que papel tem o Comitê de Segurança Hemisférica (CSH) segundo a RES.2986?;Desenvolver, executar e avaliar programas, trocar informações, promover cooperação policial e adotar medidas para segurança hemisférica, incluindo revisão da Declaração de Segurança das Américas.
Qual é a importância da prevenção da violência baseada em gênero na RES.2986?;O Secretariado para Segurança Multidimensional deve criar recomendações regionais para reduzir violência relacionada ao uso ilícito de armas de fogo, especialmente violência de gênero.
Como a RES.2986 aborda a segurança cibernética?;Apela para o aumento do compartilhamento de informações e apoio técnico entre regiões e órgãos internacionais para combater ameaças de atores mal-intencionados no uso de sequestro de dados.
De que forma a RES.2986 vincula mudanças climáticas à segurança hemisférica?;Solicita apoio financeiro para a OEA auxiliar Estados-Membros na gestão das questões de segurança ligadas às mudanças climáticas, destacando especialmente os países insulares do Caribe.
Qual o papel da Comissão Interamericana contra o Terrorismo na RES.2986?;Reafirma o papel de liderança regional da Comissão para a Prevenção e Contenção do Terrorismo nas Américas (CICTE).
Qual é o objetivo da RES.2987 sobre Tecnologias da Informação e das Comunicações?;Encorajar a cooperação e o compartilhamento de informações no setor de telecomunicações, usando tecnologias para alavancar o desenvolvimento sustentável.
O que a RES.2988 destaca sobre a Academia Juvenil das Américas?;Urge que os Estados-Membros apoiem a Academia Juvenil das Américas em Ciência e Tecnologia Transformativa, lançada em 2021, valorizando a perspectiva de gênero e a resposta aos impactos da COVID-19 e às mudanças climáticas.
Que medidas ambientais a RES.2988 sugere implementar?;Redução da poluição plástica nos oceanos, economia circular e manejo adequado de recursos sólidos.
Como a RES.2988 aborda a questão da migração?;Reconhece a importância da migração segura, ordenada, humana e regular, incentivando políticas baseadas em evidências para tratar causas estruturais da migração e combate à xenofobia, racismo e crimes relacionados à migração, como tráfico de pessoas.
Quais são os 11 pontos temáticos centrais da RES.2989 sobre fortalecimento da democracia?;Cadastro de propriedade, cooperação técnica eleitoral, combate à corrupção (MESICIC), governo aberto e digital, reunião de ministros de justiça, programa de facilitadores judiciais, Carta Democrática Interamericana, proteção ao consumidor, compromisso parlamentar, gestão pública e governabilidade.
Que guias a RES.2989 solicita atualizar?;Guia de Boas Práticas Eleitorais para a Melhoria do Processo Eleitoral e Guia para Organização de Eleições durante a Pandemia.
Quais são os temas abordados pela RES.2990 relacionada ao Direito Internacional?;Desenvolvimento do Direito Internacional, Direito Internacional Privado, Comitê Jurídico Interamericano, Direito no ciberespaço, marco jurídico de armas, Direito do Mar e Direito Humanitário Internacional.
Quais temas a RES.2991 destaca em Promoção e Proteção de Direitos Humanos?;Erradicação da apatridia, direitos de crianças e adolescentes, saúde mental, liberdade de expressão, proteção a refugiados, direitos de pessoas idosas, combate ao racismo e discriminação, direitos das pessoas com deficiência, proteção da população LGBTQIA+, entre outros.
Qual plano brasileiro é mencionado na RES.2991 relacionado a refugiados e apátridas?;Plano de Ação do Brasil: Um Roteiro Comum para Fortalecer a Proteção e Promover Soluções Sustentáveis para Pessoas Refugiadas, Deslocadas e Apátridas na América Latina e no Caribe (adotado em 2014).
O que a RES.2992 recomenda para enfrentar a insegurança alimentar nas Américas?;Aplicar abordagens compreensivas que incluam grupos vulneráveis, aumentar capacidades de gestão para entender crises alimentares, promover mercados agrícolas abertos e funcionais, proteger o estilo de vida rural e garantir acesso universal à água.
Que dados preocupam a RES.2992 sobre insegurança alimentar?;Que 12,3 milhões de pessoas na região vivem em situação de insegurança alimentar severa, segundo o Programa Mundial de Alimentos.
Qual é o papel do IICA segundo a RES.2992?;Engendrar esforços junto aos Estados-Membros na luta contra a insegurança alimentar e todas as formas de má nutrição.
Qual o foco principal da RES.2993 sobre sistemas de saúde?;Fortalecimento de sistemas de saúde inclusivos e resilientes, com cooperação hemisférica para produção e distribuição de vacinas, transferência tecnológica e cobertura universal de saúde.
Que papel a OEA deve desempenhar segundo a RES.2993?;Facilitar diálogo e atualizações regulares com a OPAS para fortalecer a coordenação e cooperação hemisféricas na saúde.
O que a RES.2994 enfatiza sobre a liderança feminina?;Reconhece a discriminação e violência contra mulheres e urge a nomeação de mulheres em cargos de alto nível na OEA e reformas para ampliar a participação feminina nos poderes Executivo, Legislativo e Judiciário.
Quais medidas a RES.2994 recomenda aos Estados-Membros?;Promover reformas para aumentar a participação das mulheres na tomada de decisões políticas e cargos de poder.
Qual é a principal demanda da RES.2995 sobre a Nicarágua?;Cessar violência contra o povo, restaurar liberdades civis e religiosas, garantir direitos de detidos arbitrariamente e promover uma estratégia regional de direitos humanos e perspectiva de gênero.
Que situação específica de líderes religiosos é mencionada na RES.2995?;Prisão arbitrária do bispo Rolando Álvarez e outros oito clérigos.
Como a OEA deve atuar em relação à Nicarágua segundo a RES.2995?;Estabelecer uma comissão de alto nível para diálogo com o governo nicaraguense e monitorar a situação por meio da CIDH e do Grupo de Especialistas da ONU.
Quando e onde ocorreu a 53ª AG-OEA?;Em Washington, de 21 a 23 de junho de 2023, na sede da OEA.
Qual foi o tema central da 53ª AG-OEA?;“Fortalecimento de uma Cultura de Responsabilidade Democrática com Promoção, Proteção e Igualdade dos Direitos Humanos nas Américas”.
Quem chefiou a delegação brasileira na 53ª AG-OEA?;A embaixadora Maria Laura da Rocha, secretária-geral das Relações Exteriores.
Quais foram alguns dos principais temas discutidos na 53ª AG-OEA?;Situação de segurança no Haiti, crise de direitos humanos na Nicarágua e desigualdade social, com foco em grupos vulneráveis como afrodescendentes, indígenas, mulheres, crianças, refugiados e migrantes.
Como o secretário-geral Luis Almagro definiu um dos pilares da sua gestão?;“Mais direitos para mais pessoas”, ressaltando que desigualdade gera afastamento dos ideais democráticos e favorece o autoritarismo.
Qual a posição da OEA sobre a Venezuela na 53ª AG-OEA?;"Não houve avanços na reintegração da Venezuela; o país está sem representação na OEA desde dezembro de 2022 após saída do governo Maduro em 2019."
Como o Brasil participou do diálogo com a sociedade civil na 53ª AG-OEA?;Destacou a importância da participação ativa da sociedade civil na elaboração de políticas públicas e da interação para a política externa brasileira.
Quais foram os principais pontos defendidos pelo Brasil na 53ª AG-OEA?;Defesa do rigor no escrutínio das eleições, aprofundamento do desenvolvimento integral, respeito à soberania dos Estados e proposta para celebrar o legado do ex-SG João Clemente Baena Soares.
Que controvérsia envolveu o Brasil na resolução sobre a Nicarágua?;O Brasil propôs suavizar o texto para manter diálogo com Ortega, retirando referência a “conclusão alarmante” de crimes contra humanidade, o que gerou protestos e críticas internas.
Qual foi o principal destaque na versão final da resolução sobre a Nicarágua?;Inclusão de um apelo ao diálogo e ao compromisso construtivo da OEA para que a Nicarágua cumpra suas obrigações internacionais em direitos humanos.
Que ação o presidente Lula anunciou após a 53ª AG-OEA em relação à Nicarágua?;Interceder junto a Daniel Ortega para a libertação do bispo Rolando Álvarez, símbolo da repressão no país.
Qual a posição dos EUA sobre o papel da OEA no fortalecimento da democracia?;Os EUA destacam a OEA como a principal instituição hemisférica para fortalecer a democracia e defendem o aumento do orçamento da organização.
Que proposta de resolução os EUA copatrocinaram com Barbados e outros países caribenhos?;Proposta para melhorar o acesso dos países em desenvolvimento ao financiamento de medidas para conter a mudança do clima.
Que legado foi proposto para ser celebrado por meio de resolução?;O legado do presidente Jimmy Carter na proteção dos direitos humanos nas Américas.
Quantos membros foram eleitos e reeleitos para a Comissão Interamericana de Direitos Humanos (CIDH) em 2023?;Foram eleitos três novos membros e reeleito um membro para a CIDH, todos por um período de quatro anos.
Quantos membros foram eleitos para a Comissão Jurídica Interamericana (CJI) em 2023?;Dois membros foram eleitos para a CJI, com mandato de quatro anos.
O que ocorreu com os cargos vagos no Centro de Estudos de Justiça das Américas (CEJA) e no Comitê de Auditoria?;Permaneceram vagas e as eleições para preenchê-los serão realizadas até setembro de 2023.
Onde será realizada a 54ª Assembleia Geral da OEA em 2024?;No Suriname.
Qual é o foco da DEC.110 sobre as Ilhas Malvinas?;Reafirma a necessidade de que Argentina e Reino Unido retomem negociações para solução pacífica da disputa de soberania sobre as Ilhas Malvinas.
O que a DEC.111 reconhece sobre crianças e adolescentes migrantes e refugiados?;Que enfrentam dupla vulnerabilidade e violência, e declara a intenção de eliminar barreiras legais para garantir seus direitos em igualdade com nacionais nos países de acolhimento.
Qual o reconhecimento da DEC.112?;Reconhecimento do impacto positivo do presidente Jimmy Carter no sistema interamericano de direitos humanos e no compromisso regional com a proteção desses direitos.
O que afirma a DEC.113 sobre mulheres, adolescentes e meninas em ambientes rurais?;Enfrentam barreiras no acesso e posse da terra, e entre 2024-2034 será celebrada a Década Interamericana para promover seus direitos e erradicar a discriminação.
Qual o papel da Comissão Interamericana de Portos (CIP) conforme RES.2999?;Fortalecer a cooperação hemisférica para desenvolver portos competitivos, seguros, sustentáveis e inclusivos nas Américas, com participação do setor privado.
Qual a importância da Comissão Interamericana de Telecomunicações (CITEL) segundo RES.3000?;Papel prioritário na inclusão, transformação digital e desenvolvimento sustentável das telecomunicações, solicitando orçamento adequado da OEA.
O que propõe a RES.3001 sobre financiamento para a mudança do clima?;Melhorar acesso, disponibilidade e eficácia do financiamento climático, incluindo instrumentos inovadores e apoio a iniciativas como a Iniciativa Bridgetown.
Como a RES.3002 reforça a participação da sociedade civil na OEA?;Compromisso dos Estados-Membros em apoiar a participação da sociedade civil, organizações de mulheres e outros atores sociais no fortalecimento da democracia, direitos humanos, desenvolvimento e segurança multidimensional.
Quais os principais temas da RES.3004 sobre fortalecimento da democracia?;Atualização de manual eleitoral, apoio à paz na Colômbia, combate ao discurso de ódio, promoção da liberdade de expressão com responsabilidade, e prevenção da violência política e discriminação.
Qual a ênfase da RES.3005 sobre direito internacional?;Importância do direito internacional para regulamentar inteligência artificial, neurotecnologias, ciberespaço, armas autônomas e impactos jurídicos da elevação do nível do mar, com contribuições da CJI, CIDH e Corte Interamericana de Direitos Humanos.
O que a RES.3006 exige do governo da Nicarágua?;Cessar violações de direitos humanos, respeitar direitos civis, liberdade religiosa, abster-se de intimidação contra jornalistas, anular normas que privam arbitrariamente da nacionalidade e restringem liberdades públicas.
O que acolhe a RES.3007 sobre o “Diálogo Inter-Haitiano” de 2023?;A RES.3007 acolhe com satisfação o diálogo realizado em Kingston, Jamaica, facilitado pela CARICOM, e reconhece a necessidade de assistência técnica da OEA ao Haiti para segurança, democracia, direitos humanos, assistência humanitária e eleições livres.
Qual é o papel da OEA na assistência ao Haiti segundo a RES.3007?;Prestar assistência técnica imediata para segurança, fortalecimento da democracia representativa, promoção dos direitos humanos, assistência humanitária e organização de eleições livres e inclusivas, conforme as condições permitirem.
O que a DEC.110 reafirma sobre as Ilhas Malvinas?;A necessidade de que Argentina e Reino Unido retomem negociações para solução pacífica da disputa de soberania sobre as Ilhas Malvinas, com exame contínuo da questão nas sessões da AGNU até solução definitiva.
Como a DEC.111 protege crianças e adolescentes migrantes e refugiados?;Declara a intenção de eliminar barreiras legais ou administrativas que impeçam que crianças e adolescentes migrantes, refugiados e apátridas tenham direitos iguais aos nacionais nos países de acolhimento, em educação, saúde e outros direitos humanos.
Qual o significado do 50º aniversário do golpe no Chile na RES.3008?;É uma oportunidade para reafirmar o compromisso dos países membros da OEA com valores democráticos, justiça social, direitos humanos e liberdades pessoais, reconhecendo a solidariedade internacional ao povo chileno.
Quem foi João Clemente Baena Soares e como é lembrado pela RES.3010?;Foi ex-Secretário Geral da OEA, reconhecido pelo legado hemisférico em ações para manter a paz, fortalecer a democracia representativa e promover direitos humanos, respeitando a soberania dos Estados-Membros.
Quais documentos são antecedentes da cláusula democrática no sistema interamericano?;A Carta da OEA (1948), Convenção Americana de Direitos Humanos (1969), Protocolos de Cartagena (1985) e de Washington (1992), que reforçam a democracia representativa como condição para estabilidade e paz na região.
O que estabelece o Protocolo de Washington (1992) na Carta da OEA?;O direito de suspender um Estado-membro em caso de deposição forçada de governo democraticamente eleito (Artigo 9º).
Para que foi criada a Unidade para a Promoção da Democracia em 1990?;Para prover assistência técnica e consultoria aos Estados-Membros sobre fortalecimento de políticas e procedimentos democráticos mediante solicitação.
O que estabeleceu a Resolução Democracia Representativa – AG/RES. 1080 (XXI-O/91)?;Um mecanismo de ação coletiva para responder rapidamente a interrupções abruptas do processo político democrático ou exercício legítimo do poder por governo democraticamente eleito nos Estados-Membros da OEA.
Quais foram algumas situações em que a Resolução 1080 foi invocada?;Haiti (1991), Peru (1992), Guatemala (1993) e Paraguai (1996).
O que a Carta Democrática Interamericana (2001) define sobre democracia?;Reconhece a democracia como direito dos povos e obrigação dos governos, caracterizando-a pelo respeito aos direitos humanos, eleições periódicas livres e justas, separação de poderes e regime pluralista de partidos.
Quais são os procedimentos previstos na Carta Democrática para casos de ruptura da ordem democrática?;"O Estado afetado pode solicitar assistência ao SG-OEA ou CP-OEA; o CP-OEA pode avaliar a situação; a Assembleia Geral pode suspender o Estado por voto de dois terços; mesmo suspenso, o Estado deve cumprir obrigações, e pode-se votar para levantamento da suspensão."
Quando a Carta Democrática foi invocada pela primeira vez?;Na tentativa de golpe na Venezuela em 2002, resultando em resoluções de apoio ao governo Chávez e ao diálogo nacional.
Como foi a aplicação da Carta Democrática em Honduras?;Em 2009, a Carta foi aplicada para suspender Honduras após o golpe de Estado.
Qual foi a posição da OEA sobre a situação da Venezuela entre 2017 e 2019?;"A Venezuela anunciou saída da OEA em 2017; em 2019, o CP-OEA reconheceu Gustavo Tarre Briceño, indicado por Guaidó, como representante, sem reconhecer Guaidó como presidente legítimo; a OEA rejeitou legitimidade do novo mandato de Maduro em 2019."
O que exemplifica o caráter divisivo da questão venezuelana na OEA?;A retirada do Uruguai da 49ª AG-OEA em 2019, em protesto contra a discussão sobre o representante de Guaidó, exemplifica a divisão entre os membros da OEA sobre a Venezuela.
Quais foram as consequências da resolução do CP-OEA de dezembro de 2020 sobre eleições parlamentares na Venezuela?;Após a resolução rejeitando as eleições parlamentares, a situação da Venezuela não foi mais objeto de deliberação no CP-OEA ou na AG-OEA.
;
Qual foi a posição da OEA sobre o processo eleitoral na Nicarágua em 2021?;A OEA condenou o processo eleitoral que reelegeu Daniel Ortega, considerando-o injusto, sem liberdade, transparência ou legitimidade democrática, o que levou a Nicarágua a iniciar sua saída da OEA em resposta às “atitudes de ingerência”.
Quanto tempo dura o processo de saída da Nicarágua da OEA?;O processo de saída levará dois anos a partir da data em que a Secretaria-Geral da OEA receba a notificação formal da denúncia da Carta de Bogotá.
O que aconteceu com o embaixador da Nicarágua na OEA em março de 2022?;O embaixador Arturo McFields denunciou a ditadura de Ortega na Nicarágua e foi demitido logo em seguida.
Que medida a Nicarágua tomou em abril de 2022 contra a OEA?;Tomou os escritórios da OEA em seu território, gerando protestos e a aprovação da Resolução 1196 (2377/22), que denunciou violação dos acordos sobre imunidades da OEA no país.
Quais abusos a Resolução 1203 (2389/22) da OEA condenou na Nicarágua?;O fechamento de ONGs, arbitrariedades contra organizações religiosas e de oposição, repressão política e pediu libertação de presos políticos e respeito aos direitos humanos, oferecendo apoio à restauração das instituições democráticas.
O que o Conselho de Direitos Humanos da ONU (CDH) fez em relação à Nicarágua?;Estabeleceu um grupo de especialistas para investigar violações de direitos humanos na Nicarágua desde abril de 2018.
Quantos e quais tipos de organizações o regime Ortega-Murillo fechou na Nicarágua, segundo a 52ª AG-OEA?;Fechou cerca de dois mil organismos da sociedade civil e 54 meios de comunicação independentes, conforme destacado na 52ª AG-OEA.
Qual foi o tema da resolução aprovada na 53ª AG-OEA sobre a Nicarágua?;A resolução advogou pelo reestabelecimento da democracia no país diante da crescente repressão do regime Ortega-Murillo.
Quais são os dois sistemas de proteção dos direitos humanos no âmbito interamericano?;O sistema da Organização dos Estados Americanos (OEA) e o Sistema Interamericano de Proteção dos Direitos Humanos (SIPDH).
Qual é a relação entre o SIPDH e o sistema da OEA?;Todo membro do SIPDH é necessariamente membro do sistema da OEA, e os dois possuem fortes interações normativas e jurídicas em uma lógica de círculos concêntricos.
Qual documento origina o sistema de proteção dos direitos humanos da OEA?;A Declaração Americana de Direitos e Deveres do Homem (DADDH), adotada em 1948, que precedeu até a Declaração Universal dos Direitos Humanos da ONU.
Qual é o principal órgão da OEA para promoção e defesa dos direitos humanos?;A Comissão Interamericana de Direitos Humanos (CIDH), que atua como órgão consultivo da OEA na matéria.
Quais outros órgãos da OEA têm competência para a proteção dos direitos humanos além da CIDH?;O Conselho Interamericano de Desenvolvimento Integral, a Assembleia Geral da OEA (AG-OEA), o Conselho Permanente da OEA (CP-OEA) e a Reunião de Consulta dos Ministros das Relações Exteriores.
Como a OEA atua para proteger os direitos humanos politicamente?;A AG-OEA debate casos de violações, estabelece sanções e define políticas gerais para avaliação da situação dos direitos humanos nos Estados-Membros, considerando denúncias dos Estados ou da CIDH.
Qual é a principal atuação jurídica da CIDH?;Receber petições individuais por violações, elaborar estudos, oferecer capacitação técnica, criar relatorias temáticas e realizar visitas in loco, sempre a convite do Estado interessado.
Em que base legal a CIDH atua em relação a todos os Estados-Membros da OEA?;Nas determinações da Carta da OEA e na Declaração Americana de Direitos e Deveres do Homem (DADDH).
E em relação aos Estados signatários da Convenção Americana de Direitos Humanos (CADH)?;Atua primordialmente sob a égide da CADH, também chamada Pacto de San José da Costa Rica.
O que é o SIPDH?;Sistema Interamericano de Proteção dos Direitos Humanos, que inclui uma ampla gama de tratados interamericanos, como a CADH, e órgãos como a Corte Interamericana de Direitos Humanos (CtIDH).
A Corte Interamericana de Direitos Humanos (CtIDH) é órgão da OEA?;Não, a CtIDH é um órgão da Convenção Americana de Direitos Humanos (CADH), um tratado interamericano independente, embora relacionado à OEA.
Quando e onde foi adotado o Pacto de San José da Costa Rica?;Foi adotado em novembro de 1969 na Conferência Especializada Interamericana sobre Direitos Humanos, entrando em vigor em julho de 1978 após a 11ª ratificação.
Quantos Estados são partes da CADH atualmente?;24 Estados-membros da OEA são partes da CADH, incluindo Brasil, Argentina, México, Nicarágua e Venezuela (embora esta tenha denunciado o tratado).
Quais países denunciaram a CADH e quando?;Trinidad e Tobago em maio de 1998 (efetivo em 1999) e Venezuela em setembro de 2012 (efetivo em 2013), esta última retornou em 2019.
Quando foi criada a Corte Interamericana de Direitos Humanos?;"Após a entrada em vigor da CADH em 1978; a primeira reunião e eleição de juízes ocorreram em 1979."
Onde está sediada a Corte Interamericana de Direitos Humanos?;Em San José da Costa Rica, que mantém convênio de sede garantindo imunidades e privilégios a funcionários e juízes.
O que é o Instituto Interamericano de Direitos Humanos?;Instituição acadêmica criada em 1980 em San José da Costa Rica, dedicada ao ensino, pesquisa e promoção dos direitos humanos, com foco multidisciplinar e ênfase nos problemas das Américas.
ual a contribuição do Protocolo de Cartagena (1985) para a proteção dos direitos humanos na OEA?;Introduziu na Carta da OEA artigos que mencionam que o desenvolvimento é responsabilidade primordial de cada país e deve ser um processo integral para criar uma ordem econômica e social justa, permitindo a plena realização da pessoa humana.
O que estabeleceu o Compromisso de Santiago com a Democracia e a Resolução AG/RES/1080 (1991)?;Convocação imediata do Conselho Permanente da OEA em caso de ruptura democrática em qualquer Estado-Membro, atribuindo ao Conselho a elaboração de propostas para reforçar a preservação da democracia nas Américas.
Qual foi o impacto do Protocolo de Washington (1992) na Carta da OEA?;Introduziu a cláusula democrática (Artigo 9º), permitindo a suspensão de um membro da OEA como sanção pela ruptura do regime democrático.
Para que foi criado o Protocolo de Manágua (1993)?;Criar o Conselho Interamericano de Desenvolvimento Integral para promover cooperação e desenvolvimento integral dos Estados americanos, especialmente para eliminar pobreza crítica nos âmbitos econômico, social, educacional e cultural.
Qual a importância da Carta Democrática Interamericana (2001)?;Reconhece a democracia representativa como indispensável para estabilidade, paz e desenvolvimento, e define a consolidação da democracia como um dos propósitos da OEA, respeitando a não intervenção.
Quando e onde a CIDH foi criada?;A CIDH foi criada em 1959 na V Reunião de Consulta dos Ministros das Relações Exteriores da OEA, em Santiago, Chile.
Qual o objetivo original da CIDH?;Promover os direitos humanos no hemisfério até a elaboração de uma convenção interamericana de direitos humanos que a substituísse.
Quando a CIDH começou a realizar visitas in loco para observar direitos humanos?;Em 1961.
Qual foi a importância da modificação no Estatuto da CIDH aprovada em 1965?;Ampliou as funções da CIDH, transformando-a em órgão de supervisão do cumprimento dos compromissos dos Estados da OEA em direitos humanos, autorizando receber petições individuais e inquirir os Estados.
Quando a CIDH passou a integrar oficialmente a estrutura da OEA?;A partir do Protocolo de Buenos Aires (1967), que emendou a Carta da OEA.
Como é composta a CIDH?;Por sete membros chamados comissários, eleitos por quatro anos, podendo ser reeleitos apenas uma vez, devendo ser pessoas de alta autoridade moral e conhecimento em direitos humanos.
Quem indica os candidatos para a CIDH?;Os governos dos Estados-Membros indicam até três candidatos para a lista tríplice, e a Assembleia Geral da OEA elege os membros a título pessoal.
Qual a regra sobre comissionários da CIDH em casos que envolvem seus países de nacionalidade?;Eles não podem participar da discussão, investigação ou deliberação dos casos envolvendo seu país de nacionalidade.
Houve candidatura brasileira para a CIDH em 2023?;Sim, do advogado Fábio Balestro Floriano, mas foi retirada pouco tempo depois.
O que são as Relatorias Temáticas da CIDH e qual seu objetivo?;São mecanismos criados desde 1990 para atender grupos sociais, comunidades e povos especialmente vulneráveis a violações de direitos humanos, fortalecendo, promovendo e sistematizando o trabalho da Comissão em temas específicos.
Quando as Relatorias Temáticas foram formalmente introduzidas no regulamento da CIDH?;Em 2008, durante o 132º Período Ordinário de Sessões da CIDH.
Quem geralmente coordena as Relatorias Temáticas da CIDH?;Geralmente, um membro da própria CIDH coordena as Relatorias Temáticas, mas o regulamento permite nomear outras pessoas por até três anos, renovável uma vez, especialmente para a Liberdade de Expressão e para Direitos Econômicos, Sociais, Culturais e Ambientais.
Cite três Relatorias Temáticas da CIDH e seus atuais responsáveis.;Direitos dos Povos Indígenas (Esmeralda Arosemena), Direitos da Mulher (Julissa Mantilla), Direitos das Pessoas Migrantes (Joel Hernández).
Onde está sediada a Corte Interamericana de Direitos Humanos (CtIDH)?;Em San José, Costa Rica.
Qual a jurisdição da CtIDH e qual a população abrangida?;A CtIDH aplica e interpreta a Convenção Americana de Direitos Humanos (CADH) de 1969, exercendo jurisdição sobre cerca de 550 milhões de pessoas na América.
Como é composta a CtIDH?;Por sete juízes nacionais dos Estados-Membros da OEA, com mandatos de seis anos, permitida uma reeleição. Não pode haver mais de um juiz da mesma nacionalidade.
Como são eleitos os juízes da CtIDH?;São indicados pelos Estados Partes da CADH (até três candidatos por Estado), mas eleitos a título pessoal pela Assembleia Geral da OEA em votação secreta, por maioria absoluta.
Qual a regra para juízes da CtIDH em casos envolvendo seus países de nacionalidade?;"Juízes não podem conhecer casos em que o Estado-réu seja seu país natal em processos iniciados pela CIDH; nesses casos, o país pode nomear juiz ad hoc."
Quem é o atual juiz brasileiro na CtIDH e quais foram os anteriores?;O atual é Rodrigo Mudrovitsch (mandato iniciado em 2022). Os anteriores foram Antônio Augusto Cançado Trindade (1995–2006, presidente em 1999–2004) e Roberto de Figueiredo Caldas (2013–2018, presidente 2016–2018).
Quais são os idiomas oficiais da CtIDH?;Espanhol, inglês, português e francês, os mesmos da OEA. Os idiomas de trabalho são definidos para cada caso específico conforme o idioma oficial do Estado-réu.
O que é amicus curiae na CtIDH?;Manifestação, geralmente escrita, de um ente não parte na disputa, que oferece perspectiva, argumentos ou saber especializado para auxiliar na decisão do tribunal.
Quais são as duas funções principais da CtIDH?;Função contenciosa (resolver casos e supervisionar sentenças) e função consultiva (responder consultas dos Estados sobre compatibilidade de normas internas com a CADH e interpretação da Convenção e outros tratados).
Quem pode submeter casos à CtIDH?;Apenas Estados Partes da CADH e a Comissão Interamericana de Direitos Humanos (CIDH). A Comissão só pode acionar um Estado que tenha aceitado sua jurisdição obrigatória. Indivíduos e organizações devem peticionar inicialmente à CIDH.
