tiempo;tempo
radiación;radiação
técnica;técnica
joyería;joalheria
niñera;babá
carrito;carrinho
tejido;tecido
tirador;atirador
llegada;chegada
raíz;raiz
galaxia;galáxia
chisme;fofoca
habilidad;habilidade
conspiración;conspiração
novio;noivo
cereza;cereja
hambre;fome
ideal;ideal
masa;massa
terror;terror
jamón;presunto
prioridad;prioridade
humanidad;humanidade
clic;clique
europeo;europeu
almohada;travesseiro
escáner;escâner / tomografia
ensayo;ensaio
poeta;poeta
celebración;celebração
ganado;gado
cajón;gaveta
encendedor;isqueiro
registro;registro
cómic;gibi / história em quadrinhos
lámpara;luminária / abajur
puñalada;facada
dignidad;dignidade
naufragio;naufrágio
pariente;parente
coma;coma
cabo;cabo
cesta;cesto / cesta
horror;horror
juramento;juramento
vapor;vapor
solo;solo
cementerio;cemitério
golpe;batida / pancada
personal;pessoal
escoria;escória
multitud;multidão
combinación;combinação
viga;viga
alianza;aliança
consejero;conselheiro
siesta;soneca
conflicto;conflito
asistencia;assistência
retiro;retiro
candidato;candidato
goma;borracha
bingo;bingo
autopsia;autópsia
alfombra;tapete
cachorro;filhote de cachorro
intestino;intestino
ataúd;caixão
instante;instante
ceniza;cinza
escándalo;escândalo
aliado;aliado
flecha;flecha
miseria;miséria
algodón;algodão
suite;suíte
conferencia;palestra / conferência
economía;economia
mirada;olhar
guardián;guardião
actuación;apresentação (música/show)
inversión;investimento
heroína;heroína
depósito;depósito
medalla;medalha
chicle;chiclete
hinchazón;inchaço
compromiso;compromisso
cabaña;cabana
parte trasera;parte traseira
fotógrafo;fotógrafo
emoción;emoção
rancho;rancho
tarifa;taxa
herramienta;ferramenta
profesión;profissão
documento;documento
periodista;jornalista
cebo;isca
pecho;peito
pena;tristeza / pesar
compañero de cuarto;colega de quarto
consejo;conselho
cañón;canhão
penalización;penalidade
anuncio;anúncio
cocaína;cocaína
abrazo;abraço
púa;espinho (ponta)
seda;seda
robo;roubo
visitante;visitante
ácido;ácido
alboroto;rebuliço
ganga;pechincha / achado
festín;festim
collar;colar
envidia;inveja
llama;chama
fama;fama
perfume;perfume
protesta;protesto
psicópata;psicopata
emoción;emoção
exhibición;exibição
contenido;conteúdo
pimienta;pimenta
falda;saia
crucero;cruzeiro
embajada;embaixada
cicatriz;cicatriz
ritmo;ritmo
mito;mito
empujón;empurrão
certificado;certificado
tambor;tambor
infección;infecção
whisky;uísque (escocês)
rana;sapo / rã
ajedrez;xadrez
creencia;crença
gabinete;gabinete
rumor;boato
pulmón;pulmão
rap;rap
error;erro
debate;debate
suma;soma
barrido;varrida
era;era
bóveda;abóbada / cofre
líquido;líquido
avión;aeronave
disparos;tiros
chaval;rapaz / garoto
;
metro;metrô
almacenamiento;armazenamento
remolque;reboque / trailer
operador / operadora;operador / operadora
empresa;empresa
ciclo;ciclo
importancia;importância
ganso / gansa;ganso
bajo;baixo (instrumento)
voluntario / voluntaria;voluntário / voluntária
residencia;residência
labio;lábio
galería;galeria
motocicleta;motocicleta
culto;culto
graduado / graduada;formando(a) / graduado(a)
congreso;congresso
ejecución;execução
ritual;ritual
ballena;baleia
solicitud;solicitação
bañera;banheira
pistola;pistola
democracia;democracia
campus;campus
conclusión;conclusão
granuja;malandro / patife
vela;vela
principio;princípio
carnicero;açougueiro
suéter;suéter
rango;posto / nível
picnic;piquenique
recuperación;recuperação
reptar / crawling;rastejo / arrastão
villa;vila
brandy;conhaque / brandy
apetito;apetite
lesbiana;lésbica
pastor;pastor
perspectiva;perspectiva
hockey;hóquei
reptar / creeping;rastejo
disciplina;disciplina
lamida;lambida
carbón;carvão
tumba;tumba
silencio;silêncio
muñeco;manequim / boneco
sugerencia;sugestão
adición;adição
terapeuta;terapeuta
libertad condicional;liberdade condicional
café;café (estabelecimento)
mago;mago / feiticeiro
conciencia;consciência
sector;setor
puesta del sol;pôr do sol
creación;criação
pasaje;passagem
cumplido;elogio
transmisión;transmissão
presa;presa
rompecabezas;quebra-cabeça
arreglo;arranjo
invasión;invasão
eternidad;eternidade
plaga;praga
filosofía;filosofia
prostituta;prostituta
instinto;instinto
afecto;afeição
nazi;nazista
ministerio;ministério
lujo;luxo
brisa;brisa
salchicha;salsicha
física;física
pirata;pirata
rebanada;fatia
caña;vara / haste
riñón;rim
inspiración;inspiração
jengibre;gengibre
destino;destino
concreto;concreto
arroyo;riacho / córrego
dentista;dentista
desagüe;ralo / esgoto
aerosol;aerossol / spray
órgano;órgão
pulgar;polegar
burro / asno;burro / jegue
fórmula;fórmula
prostituta;prostituta
sostén;sutiã
soltero;solteiro
avión;avião
ausencia;ausência
luz del día;luz do dia
muñeca;pulso
dependiente;balconista / atendente
escritura;escritura
ritmo;ritmo / passo
enchufe;tomada (plug)
privilegio;privilégio
bono;bônus
honestidad;honestidade
bodega;adega / porão
carruaje;carruagem
vestíbulo;saguão / átrio
olor;cheiro
hamburguesa;hambúrguer
protocolo;protocolo
autor / autora;autor / autora
topo;toupeira
desgracia;desgraça
ilusión;ilusão
veredicto;veredito
ingreso;renda
civilización;civilização
bravucón / bravucona;valentão / bully
elemento;elemento
pasajero / pasajera;passageiro / passageira
globo;balão
dedo del pie;dedo do pé
mortal;mortal
lotería;loteria
mansión;mansão
cortina;cortina
mejilla;bochecha
puerto;porto
inundación;enchente
cóctel;coquetel
respuesta;resposta
zombi;zumbi
asociado / asociada;associado / associada
burbuja;bolha
semilla;semente
celebridad;celebridade
misil;míssil
pudrición;putrefação
láser;laser
rencor;rancor
molino;moinho
camarera;garçonete
jubilación;aposentadoria
consenso;consenso
psiquiatra;psiquiatra
cobre;cobre
subasta;leilão
confusión;confusão
columna;coluna
simpatía;simpatia
altavoz;alto-falante
latón;latão
constable;policial / oficial
mocoso / mocosa;pirralho / fedelho
esquema;esquema
heredero / heredera;herdeiro / herdeira
zanja;vala
sospecha;suspeita
marea;maré
torneo;torneio
arcoíris;arco-íris
órbita;órbita
cuerpo;corpo (de exército)
plataforma;plataforma
tela;tecido
escopeta;espingarda
pelaje;pelo / pelagem
ginebra;gim (bebida)
