Qual é a principal fonte formal do Direito Internacional Público, segundo o Estatuto da Corte Internacional de Justiça?;Os tratados internacionais.
Qual é a principal lei brasileira que contém normas de Direito Internacional Privado?;A Lei de Introdução às Normas do Direito Brasileiro (LINDB) – antiga Lei de Introdução ao Código Civil (LICC).
A LINDB é uma norma de Direito Internacional Público ou de Direito Interno?;É uma norma de Direito Interno, que contém regras de Direito Internacional Privado.
Qual é o objeto principal do Direito Internacional Privado?;Solucionar conflitos de leis no espaço, determinando qual ordenamento jurídico é aplicável a relações privadas internacionais.
O DIP e o DIPriv se confundem em algum ponto?;Não, são ramos autônomos, mas se relacionam na medida em que o DIP pode influenciar a aplicação do DIPriv (ex.: tratados).
Qual o artigo da LINDB que estabelece a regra geral sobre a lei aplicável à capacidade civil?;Art. 7º da LINDB.
Segundo o art. 7º da LINDB, qual lei rege a capacidade da pessoa?;A lei do país do domicílio da pessoa.
O que determina o art. 8º da LINDB sobre bens?;Que a propriedade e a posse de bens são regidas pela lei do país onde estiverem situados (lex rei sitae).
Qual lei rege as obrigações, conforme a LINDB?;A lei do país onde se constituírem (art. 9º – lex loci obligationis).
O que dispõe o art. 9º, §2º, da LINDB sobre a forma dos atos jurídicos?;Que a forma é regida pela lei do país onde o ato for praticado (locus regit actum).
Qual é a lei aplicável à sucessão por morte, segundo a LINDB?;A lei do país do domicílio do falecido (art. 10).
O que é o princípio da lex rei sitae?;É a aplicação da lei do local onde se encontra o bem para reger sua propriedade e posse.
O que é o princípio da lex loci obligationis?;É a aplicação da lei do local onde a obrigação foi constituída.
O que é o princípio do locus regit actum?;É a aplicação da lei do local onde o ato jurídico foi praticado para reger sua forma.
Segundo a LINDB, qual lei rege a prova dos atos jurídicos?;A lei do país onde se realiza a prova (art. 12).
O que a LINDB dispõe sobre a capacidade para casar?;A capacidade para casar é regida pela lei do domicílio do nubente (art. 7º, §4º).
Qual a regra da LINDB para a forma do casamento?;A forma do casamento é regida pela lei do local da celebração (art. 11, caput).
Qual lei rege a existência e o funcionamento das pessoas jurídicas, segundo a LINDB?;A lei do país onde forem constituídas (art. 11).
O que é a exceção (ou reserva) de ordem pública?;É o mecanismo que impede a aplicação de lei estrangeira que ofenda a soberania, a ordem pública e os bons costumes (art. 17).
Qual a consequência da aplicação da exceção de ordem pública?;O juiz recusa a lei estrangeira ofensiva e aplica a lei brasileira.
O art. 17 da LINDB veda a aplicação de lei estrangeira em quais situações?;Quando ofender a soberania nacional, a ordem pública ou os bons costumes.
A LINDB aceita o reenvio (remissão)?;Não, o art. 16 veda expressamente o reenvio.
O que é o reenvio no DIPriv?;É a hipótese em que a norma de conflito do foro remete a uma lei estrangeira, e esta remete de volta ao foro ou a uma terceira lei.
O que determina o art. 16 da LINDB sobre o reenvio?;Que, quando a lei estrangeira remeter à lei brasileira, não se aplica a lei estrangeira, aplicando-se a lei brasileira.
O reenvio de segundo grau é admitido pela LINDB?;Não, a vedação do art. 16 é absoluta, alcançando qualquer reenvio.
Quem deve provar o conteúdo da lei estrangeira no processo judicial brasileiro?;A parte que a invoca (art. 14 da LINDB).
Se o juiz não conhecer a lei estrangeira, o que ele pode fazer?;Pode determinar a prova do seu teor, ouvindo testemunhas ou solicitando informações às autoridades estrangeiras.
O art. 15 da LINDB determina que a lei estrangeira deve ser aplicada como?;Segundo seu próprio sistema, ou seja, com a interpretação que lhe dá o país de origem.
A LINDB adota o critério da nacionalidade ou do domicílio como fator de conexão?;Adota o critério do domicílio como regra geral (art. 7º).
Qual é a exceção à regra do domicílio no art. 7º da LINDB?;O §4º permite que o nubente se case no Brasil pela lei do seu país de origem, se não tiver domicílio no Brasil.
O que a LINDB dispõe sobre a sucessão de bens de estrangeiros situados no Brasil?;Que será regida pela lei brasileira em benefício do cônjuge e filhos brasileiros (art. 10, §2º).
Qual a finalidade da regra do art. 10, §2º, da LINDB?;Proteger o cônjuge e os filhos brasileiros do de cujus, garantindo-lhes a aplicação da lei brasileira.
A LINDB distingue entre bens móveis e imóveis para a sucessão?;Não, a regra do art. 10 é geral, mas a exceção do §2º aplica-se a quaisquer bens situados no Brasil.
O que são as leis de polícia (lois de police) no DIPriv?;São normas imperativas do foro que se aplicam a todas as relações, independentemente da lei estrangeira.
A LINDB prevê expressamente as leis de polícia?;Não expressamente, mas a doutrina e a jurisprudência as reconhecem.
Qual a relação entre a LINDB e os tratados internacionais de DIPriv?;Os tratados prevalecem sobre a LINDB por serem normas especiais (ex.: Convenções de Haia).
O Brasil é signatário da Convenção de Haia sobre a lei aplicável à compra e venda internacional?;Sim, aderiu à Convenção de Haia de 1955.
O que é a Convenção de Haia no contexto do DIPriv?;São tratados multilaterais que uniformizam regras de conflito de leis em matéria civil, comercial e processual.
O que significa o princípio da lex fori?;É a aplicação da lei do foro (local do juízo) para questões processuais e de ordem pública.
A LINDB é uma lei ordinária ou complementar?;É uma lei ordinária (Decreto-Lei nº 4.657/1942), com status de lei ordinária.
A LINDB pode ser alterada por medida provisória?;Sim, por ser lei ordinária, pode ser alterada por MP, desde que observados os requisitos constitucionais.
Qual o artigo da LINDB que trata da determinação do dia inicial dos prazos?;Art. 13, que não tem relação direta com DIPriv, mas é norma geral de direito intertemporal.
"O que é a ""qualificação"" no DIPriv?";É o processo de classificação da situação jurídica para determinar qual norma de conexão será aplicada.
A LINDB adota a autonomia da vontade para contratos internacionais?;Não há regra expressa, mas a doutrina e a jurisprudência a admitem, desde que não ofenda a ordem pública.
O que é a lex mercatoria?;São usos e costumes do comércio internacional, aplicáveis a contratos internacionais independentemente de lei estatal.
A LINDB admite a aplicação da lex mercatoria?;Não há previsão, mas é aceita na arbitragem internacional com base na autonomia da vontade.
Qual é a regra da LINDB para a capacidade das pessoas jurídicas de direito público estrangeiro?;Regem-se pela lei do seu país de origem (art. 11, §2º).
O art. 12 da LINDB, ao tratar da prova, exige que forma específica?;Não, permite que a prova seja feita pelos meios admitidos no país onde se realiza, mas o juiz pode exigir forma específica.
"O que é a ""ordem pública internacional""?";É o núcleo de princípios fundamentais do foro que não pode ser violado por lei estrangeira, sendo mais restrita que a ordem pública interna.
A LINDB adota a reciprocidade como condição para aplicação de lei estrangeira?;Não, o art. 14 não exige reciprocidade para aplicação da lei estrangeira.
O que a LINDB dispõe sobre a legitimidade para suceder?;A lei do domicílio do falecido rege a legitimidade dos herdeiros e sucessores (art. 10).
Qual lei rege a capacidade para testar, segundo a LINDB?;A lei do domicílio do testador (art. 10, §1º).
A LINDB se aplica a relações de direito do trabalho com elemento estrangeiro?;Subsidiariamente, mas a CLT tem regras próprias (art. 651).
Qual a regra do art. 651 da CLT para contratos de trabalho internacionais?;Aplica-se a lei do local da prestação de serviços, salvo se o empregado for brasileiro e a empresa for brasileira.
"O que é a ""cláusula de exceção"" no DIPriv?";É um mecanismo que permite ao juiz afastar a norma de conexão se, no caso concreto, ela conduzir a solução inadequada.
A LINDB prevê a cláusula de exceção?;Não expressamente, mas é defendida pela doutrina.
"O que é a ""adaptação"" no DIPriv?";É a técnica de compatibilizar institutos de diferentes sistemas jurídicos para aplicar a lei estrangeira de forma coerente.
A LINDB trata da adaptação?;Não, a lei é silente, mas a doutrina a admite.
Qual a diferença entre normas de conflito e normas materiais na LINDB?;"Normas de conflito indicam a lei aplicável; normas materiais resolvem diretamente o mérito da questão."
A LINDB contém principalmente normas de conflito ou normas materiais?;Principalmente normas de conflito (indiretas).
O que o art. 18 da LINDB estabelece sobre a lei estrangeira?;Que, em caso de dúvida sobre seu conteúdo, o juiz pode pedir informações às autoridades do país estrangeiro.
Qual a relação entre a LINDB e o Código de Processo Civil na prova da lei estrangeira?;O CPC complementa a LINDB, prevendo procedimentos específicos (art. 376 do CPC).
A LINDB é aplicável no processo arbitral?;Sim, o árbitro deve observar as regras de conflito da LINDB, salvo convenção em contrário.
O que é o princípio da territorialidade na LINDB?;É a aplicação da lei brasileira a fatos ocorridos no território nacional.
O que é o princípio da extraterritorialidade na LINDB?;É a aplicação da lei brasileira a fatos ocorridos no exterior, em certas hipóteses (ex.: art. 10, §2º).
A LINDB se aplica a relações de direito penal internacional?;Não, o direito penal internacional é regido pelo Código Penal (art. 7º) e por tratados.
Qual a influência do DIP sobre a LINDB?;O DIP influencia a LINDB na definição de conceitos como soberania, ordem pública e reciprocidade.
A LINDB é uma lei do Direito Internacional Público?;Não, é uma lei interna de Direito Internacional Privado.
Como a LINDB trata a nacionalidade das pessoas jurídicas?;Pela lei do país onde forem constituídas (art. 11), que determina sua nacionalidade.
"O que é a ""condição jurídica do estrangeiro"" na LINDB?";A LINDB não tem capítulo específico, mas o art. 7º iguala a capacidade de brasileiros e estrangeiros.
O estrangeiro pode invocar lei estrangeira em juízo no Brasil?;Sim, desde que prove seu conteúdo, nos termos do art. 14.
Qual é a regra da LINDB para a guarda de menores com elemento estrangeiro?;Não há regra específica, aplica-se a Convenção de Haia sobre sequestro internacional de crianças.
A LINDB prevê o princípio da lei mais favorável?;Não expressamente, mas o CDC o adota para relações de consumo.
Qual a relação entre a LINDB e o Código de Defesa do Consumidor?;O CDC é lei especial e prevalece sobre a LINDB, aplicando a lei mais favorável ao consumidor.
O art. 9º da LINDB se aplica a contratos ou apenas a obrigações em geral?;Aplica-se a obrigações em geral, abrangendo contratos, atos unilaterais e responsabilidade civil.
A lei do local da constituição da obrigação se aplica a contratos entre ausentes?;Sim, a obrigação se constitui no local da proposta ou da aceitação, conforme a teoria adotada.
Qual teoria de formação de contratos é adotada pela LINDB?;A LINDB não é clara, mas a doutrina majoritária adota a teoria da recepção ou da expedição.
O que determina o art. 13 da LINDB?;A forma de contar os prazos legais (inclusão e exclusão de dias), sem relação direta com DIPriv.
"O que é a ""lex loci celebrationis""?";É a lei do local da celebração, aplicável à forma do ato (art. 9º, §2º).
"O que é a ""lex loci executionis""?";É a lei do local da execução da obrigação, aplicável ao cumprimento da prestação.
"A LINDB adota a teoria da ""escolha da lei"" para contratos internacionais?";Não há regra expressa, mas a doutrina e a jurisprudência admitem a autonomia da vontade.
Qual é a regra da LINDB para a capacidade da mulher casada?;A LINDB não distingue, pois a CF/88 igualou os direitos entre homens e mulheres.
O que a LINDB dispõe sobre a prova da lei estrangeira?;Que a parte deve prová-la, e o juiz pode determinar as providências necessárias (art. 14).
A LINDB se aplica a relações de direito marítimo internacional?;Sim, subsidiariamente, mas há leis especiais (ex.: Código Comercial e tratados).
"O que é a ""lex domicilii""?";É a lei do domicílio da pessoa, adotada pela LINDB como regra geral de conexão.
"O que é a ""lex nationalis""?";É a lei da nacionalidade, critério adotado por alguns países, mas não pela LINDB (que adota o domicílio).
Qual a diferença entre domicílio e residência na LINDB?;"Domicílio é o local com ânimo definitivo (art. 76 do CC); residência é a moradia eventual."
O art. 10 da LINDB se aplica à sucessão de estrangeiro no Brasil?;Sim, aplica-se a sucessão de estrangeiros, com a ressalva do §2º para herdeiros brasileiros.
O que a LINDB dispõe sobre a sucessão de brasileiro no exterior?;A lei do domicílio do falecido rege a sucessão, mas os bens no exterior seguem a lei local.
"A LINDB prevê a figura do ""juiz natural"" para aplicação da lei estrangeira?";Não, o juiz brasileiro é competente para aplicar a lei estrangeira, se for o juízo do foro.
"O que é a ""teoria do estatuto pessoal"" no DIPriv?";É a aplicação da lei pessoal (domicílio ou nacionalidade) para reger o estado e a capacidade da pessoa.
A LINDB adota a teoria do estatuto pessoal?;Sim, através do domicílio (art. 7º).
"O que é a ""teoria do estatuto real""?";É a aplicação da lei da situação do bem (lex rei sitae) para reger os direitos reais.
A LINDB adota a teoria do estatuto real?;Sim, pelo art. 8º.
Qual a importância do art. 15 da LINDB para a interpretação da lei estrangeira?;Determina que a lei estrangeira seja interpretada de acordo com o sistema jurídico do país de origem.
A LINDB pode ser suspensa em caso de guerra?;Em tese, sim, por força de tratados ou decisões políticas, mas não há previsão expressa.
"O que é a ""eficácia da lei estrangeira"" no Brasil?";A lei estrangeira tem eficácia no Brasil quando aplicada por uma norma de conflito da LINDB.
A LINDB é aplicada pelo STJ ou pelo STF?;Pelo STJ, que é a corte responsável pela uniformização da interpretação da lei federal, incluindo a LINDB.
Qual a relação entre a LINDB e a Lei de Migração (Lei 13.445/2017)?;A Lei de Migração regula a entrada e permanência de estrangeiros, enquanto a LINDB regula a lei aplicável às relações privadas.
"O que é o ""princípio da integração"" no DIPriv?";É a busca por uma aplicação harmônica da lei estrangeira com o sistema do foro.
A LINDB é uma lei de ordem pública?;Em parte, sim, especialmente as normas que protegem a soberania e a ordem pública.
A LINDB é aplicável a relações envolvendo a Fazenda Pública?;Sim, no que couber, pois é norma geral de aplicação das leis.
"O que é o ""conflito móvel"" no DIPriv?";É a mudança da norma de conexão (ex.: domicílio) ao longo do tempo, alterando a lei aplicável.
A LINDB trata do conflito móvel?;Não expressamente, mas a doutrina e a jurisprudência aplicam a regra do art. 12, sobre a prova, para resolver.
Qual a finalidade última da LINDB em matéria de DIPriv?;Estabelecer segurança jurídica nas relações privadas internacionais, determinando qual lei deve reger cada situação.
;
;
Quais são os elementos constitutivos do Estado segundo o DIP?;Território, população (povo), governo soberano e capacidade para entrar em relações com outros Estados.
"Qual é a diferença entre ""Estado"" e ""Nação"" no DIP?";"Estado é entidade política e jurídica soberana; Nação é comunidade cultural, histórica e linguística, que pode ou não ter um Estado próprio."
Como se dá o surgimento de um novo Estado?;Por meios como: descolonização, desmembramento (secessão), fusão (unificação) ou anexação (incorporação).
"O que é a ""secessão"" no contexto de surgimento de Estados?";É a separação de uma parte do território de um Estado para formar um novo Estado (ex.: Sudão do Sul).
"O que é a ""descolonização"" como forma de surgimento de Estados?";É o processo pelo qual uma colônia ou território dependente alcança a independência, em conformidade com o princípio da autodeterminação dos povos.
"O que é a ""fusão"" de Estados?";É a união de dois ou mais Estados para formar um novo Estado, com a extinção dos anteriores (ex.: Tanzânia).
"O que é a ""incorporação"" (anexação) de um Estado?";É a absorção de um Estado por outro, com a extinção do primeiro (ex.: anexação de estados germânicos pela Prússia).
"O que é a ""separação"" (desmembramento) de um Estado?";É a divisão de um Estado em dois ou mais novos Estados, com a extinção do Estado original (ex.: Tchecoslováquia).
A independência de um território depende do reconhecimento para existir?;Não, a existência do Estado é um fato (critério declarativo), mas o reconhecimento tem efeitos políticos e jurídicos importantes.
Qual a diferença entre a teoria constitutiva e a declarativa do reconhecimento de Estados?;"A constitutiva afirma que o reconhecimento cria o Estado; a declarativa afirma que o reconhecimento apenas constata sua existência preexistente."
Qual teoria prevalece atualmente no DIP sobre o reconhecimento de Estados?;A teoria declarativa, consagrada na Convenção de Montevidéu (1933) e na prática internacional.
"O que é a ""sucessão de Estados""?";É a substituição de um Estado por outro na responsabilidade pelas relações internacionais de um território.
Qual a principal Convenção que regula a sucessão de Estados em matéria de tratados?;A Convenção de Viena sobre Sucessão de Estados em Matéria de Tratados (1978).
Qual a regra geral da Convenção de Viena de 1978 sobre a sucessão em tratados?;A regra geral é a da continuidade (tabula rasa) para novos Estados independentes, salvo exceções.
"O que significa a regra da ""tabula rasa"" na sucessão de Estados?";O novo Estado não herda automaticamente os tratados do Estado predecessor, salvo se manifestar vontade em contrário.
Há exceções à regra da tabula rasa na sucessão de Estados?;Sim, tratados de direitos humanos, fronteiriços e de natureza territorial são considerados continuados.
O que ocorre com os tratados bilaterais do Estado predecessor na sucessão?;Eles não são automaticamente transmitidos, podendo ser renegociados ou denunciados.
E os tratados multilaterais na sucessão de Estados?;O novo Estado pode aderir, se o tratado assim permitir, ou manifestar continuidade.
O que ocorre com os bens, arquivos e dívidas do Estado predecessor na sucessão?;Devem ser repartidos de forma equitativa, por acordo entre as partes ou por arbitragem.
A sucessão de Estados afeta a nacionalidade dos indivíduos?;Sim, geralmente os habitantes do território sucedido adquirem a nacionalidade do novo Estado.
"O que é a ""sucessão de Governos"" e como ela se diferencia da sucessão de Estados?";É a substituição do governo de um mesmo Estado (ex.: golpe, revolução), sem alteração da personalidade jurídica do Estado.
O reconhecimento de um novo governo é obrigatório?;Não, é ato político discricionário de cada Estado.
Qual a diferença entre reconhecimento de Estado e reconhecimento de Governo?;"O reconhecimento de Estado atesta a existência de uma nova entidade soberana; o de Governo atesta a legitimidade das autoridades que dirigem um Estado já existente."
"O que é a ""doutrina Tobar"" sobre reconhecimento de governos?";Defende que o reconhecimento só deve ocorrer quando o novo governo for constitucional e democraticamente eleito.
"O que é a ""doutrina Estrada"" sobre reconhecimento de governos?";Defende a não necessidade de reconhecimento explícito, bastando a manutenção ou não das relações diplomáticas.
O Brasil adota a doutrina Estrada ou a Tobar?;O Brasil, historicamente, adotou uma postura próxima à doutrina Estrada, evitando julgar a legitimidade de governos.
"O que é o ""reconhecimento tácito"" de um Estado?";Ocorre quando um Estado pratica atos que indicam a aceitação do novo Estado, como a celebração de um tratado bilateral.
"O que é o ""reconhecimento expresso"" de um Estado?";É o reconhecimento declarado formalmente por meio de ato unilateral ou bilateral.
Um Estado pode reconhecer um Estado ou governo sem estabelecer relações diplomáticas?;Sim, reconhecimento e estabelecimento de relações diplomáticas são atos distintos.
O reconhecimento de um governo tem efeitos retroativos?;Em geral, sim, os efeitos retroagem à data em que o governo assumiu o poder.
Qual é a base jurídica para a extinção de um Estado?;A extinção pode ocorrer por dissolução, fusão, incorporação ou desmembramento, sempre por acordo ou força.
"O que é a ""dissolução"" de um Estado?";É o desaparecimento do Estado, com seus territórios dando origem a novos Estados (ex.: Tchecoslováquia).
"O que é a ""incorporação"" forçada (anexação) e é lícita no DIP?";"É a tomada de um Estado por outro pela força; é ilícita, salvo se houver consentimento ou como medida de autodefesa."
A anexação é reconhecida pela comunidade internacional?;Em regra, não, sendo considerada nula (ex.: anexação de Kuwait pelo Iraque em 1990).
"O que é a ""soberania"" no DIP?";É a autoridade suprema de um Estado sobre seu território e população, sendo um atributo essencial da personalidade internacional.
A soberania é absoluta ou relativa no DIP contemporâneo?;É relativa, pois é limitada pelo DIP, pelos tratados e pelo princípio da coexistência pacífica.
"O que é o ""princípio da soberania permanente sobre os recursos naturais""?";É o direito de todo Estado de explorar seus próprios recursos naturais, conforme a Carta da ONU e Resoluções da AGNU.
A soberania se aplica ao espaço aéreo, marítimo e terrestre?;Sim, a soberania do Estado estende-se ao território terrestre, ao espaço aéreo sobrejacente e ao mar territorial.
Qual a extensão do mar territorial, segundo o DIP?;Até 12 milhas marítimas contadas da linha de base, conforme a Convenção da ONU sobre o Direito do Mar (CNUDM).
O que é a zona econômica exclusiva (ZEE) e qual sua relação com a soberania?;É uma área além do mar territorial (até 200 milhas), onde o Estado tem direitos exclusivos de exploração, mas não soberania plena.
"O que são os ""direitos fundamentais dos Estados"" no DIP?";São o direito à existência, à autodefesa, à igualdade jurídica, à soberania e ao livre desenvolvimento.
"O que é o ""direito à existência"" do Estado?";É o direito do Estado de preservar sua integridade territorial e independência política.
"O que é o ""direito à autodefesa"" no DIP?";É o direito de um Estado de usar a força para repelir um ataque armado, previsto no art. 51 da Carta da ONU.
O direito à autodefesa é individual ou coletivo?;Ambos. Individual (autodefesa própria) e coletivo (em auxílio a outro Estado atacado).
"O que é o ""direito à igualdade jurídica"" dos Estados?";É o princípio de que todos os Estados são iguais perante o DIP, independentemente de seu poder.
"Quais são os ""deveres fundamentais dos Estados""?";Respeitar a soberania alheia, cumprir os tratados, solucionar controvérsias pacificamente e não intervir nos assuntos internos de outros.
"O que é o ""dever de não intervenção""?";É a obrigação de não intervir, direta ou indiretamente, nos assuntos internos ou externos de outro Estado.
"O que é o ""dever de cooperação internacional""?";É a obrigação de cooperar com outros Estados para a manutenção da paz, segurança e desenvolvimento.
"O que é a ""imunidade de soberania"" (imunidade de jurisdição)?";É a proteção que um Estado estrangeiro tem contra processos em tribunais de outro Estado, limitada a atos de império.
A soberania de um Estado pode ser limitada por tratados?;Sim, a soberania é limitada pela vontade do próprio Estado ao celebrar tratados (ex.: UE, Mercosul).
"O que é a ""sucessão de Estados em matéria de dívidas""?";É a questão de qual Estado arcará com as dívidas do Estado predecessor. A regra geral é a repartição equitativa.
As dívidas pessoais do governo deposto são herdadas pelo novo governo?;Não, o novo governo não herda dívidas contraídas para oprimir o povo (dívidas odiosas).
"O que são as ""dívidas odiosas"" e qual sua relevância na sucessão?";"São dívidas contraídas por regimes ditatoriais sem benefício para a população; não são herdadas pelo novo governo."
O reconhecimento de um Estado é um ato unilateral ou bilateral?;É um ato unilateral, mas pode ser feito de forma expressa ou tácita.
O reconhecimento de um Estado é condição para sua participação em organizações internacionais?;Em regra, sim, pois a admissão depende de aprovação dos membros (ex.: ONU).
"Qual a diferença entre ""reconhecimento de Governo"" e ""aprovação de credenciais diplomáticas""?";"O reconhecimento é ato político; a aprovação de credenciais é ato formal de recebimento de um representante."
"O que é o ""governo no exílio"" no DIP?";É um governo que se refugia em outro país durante a ocupação militar de seu território, sendo reconhecido como legítimo.
O reconhecimento de um governo no exílio é comum no DIP?;É excepcional, mas ocorre em casos de ocupação ilegal (ex.: governo polonês no exílio em Londres).
"O que é o ""princípio da efetividade"" no reconhecimento de governos?";É a doutrina que defende o reconhecimento de um governo que exerce controle efetivo sobre o território, independentemente de sua legitimidade.
"O que é o ""princípio da legitimidade democrática"" no reconhecimento de governos?";É a defesa de que o reconhecimento deve depender da origem democrática do governo.
"A sucessão de Estados pode ocorrer por meio de ""incorporação voluntária""?";Sim, quando um Estado decide se incorporar a outro por acordo mútuo (ex.: Alemanha Oriental e Ocidental).
O que ocorre com os tratados de direitos humanos na sucessão de Estados?;Tendem a ser continuados, em respeito à proteção dos direitos humanos (natureza peremptória).
"O que é a ""teoria da continuidade"" na sucessão de Estados?";Defende que o novo Estado continua a personalidade jurídica do predecessor, herdando todos os direitos e obrigações.
"O que é a ""teoria da descontinuidade"" na sucessão de Estados?";Defende que o novo Estado tem personalidade nova, não herdando automaticamente os tratados do predecessor.
Qual teoria é aplicável a um Estado recém-independente?;A teoria da descontinuidade (tabula rasa) é a regra, conforme a Convenção de Viena de 1978.
"O que é a ""sucessão de Estados em matéria de bens"" e como é feita?";É a transferência de bens públicos do predecessor para o sucessor, repartindo-os de forma justa.
A sucessão de Estados em matéria de bens é regida por qual princípio?;Pelo princípio da repartição equitativa, com base na localização dos bens e sua relação com o território.
O que acontece com os arquivos do Estado predecessor?;Devem ser repartidos, e o novo Estado tem direito à parte referente ao seu território.
O reconhecimento de um novo governo pode ser condicionado?;Sim, alguns Estados condicionam o reconhecimento a reformas políticas ou respeito aos direitos humanos.
"O que é o ""reconhecimento de beligerância""?";É o reconhecimento de que um grupo insurgente em guerra civil é um beligerante, com direitos e deveres sob o DIP.
O reconhecimento de beligerância é comum na prática?;É raro, pois implica a aplicação do DIP humanitário ao conflito interno.
"O que é o ""reconhecimento de insurreição""?";É o reconhecimento de que um movimento insurgente tem certa organização, mas sem lhe conferir status de beligerante.
O reconhecimento de um Estado pode ser retirado?;Sim, o reconhecimento pode ser retirado (retroativo), mas é um ato político grave e raro.
"O que é a ""soberania externa"" e a ""soberania interna""?";"A interna é o poder supremo dentro do território; a externa é a independência nas relações com outros Estados."
A soberania é um conceito absoluto ou funcional?;É funcional, pois o Estado a exerce em função dos direitos e deveres previstos no DIP.
"O que é o ""princípio da integridade territorial""?";É a proteção contra a desmembração de um Estado por meios coercitivos ou unilaterais.
O princípio da integridade territorial se contrapõe ao da autodeterminação?;Sim, há tensão. O DIP resolve preferindo a integridade, salvo casos de descolonização ou opressão grave.
"O que é a ""sucessão de Estados em matéria de responsabilidade internacional""?";O novo Estado não herda, em regra, a responsabilidade por atos ilícitos do predecessor, salvo se houver assunção.
A sucessão de Estados afeta a nacionalidade das empresas e pessoas jurídicas?;Sim, elas podem passar a ter a nacionalidade do novo Estado, se lá estiverem sediadas.
"O que é o ""reconhecimento constitutivo"" de um novo Estado?";É a teoria de que o reconhecimento é o ato que cria o Estado no plano internacional.
Por que a teoria constitutiva é criticada?;Porque viola o princípio da igualdade soberana, dando poder discricionário excessivo aos Estados reconhecedores.
O reconhecimento de um Estado é um ato jurídico ou político?;É predominantemente político, mas com efeitos jurídicos significativos.
O reconhecimento de um governo é um ato vinculado ou discricionário?;É discricionário, pois cada Estado decide conforme seus interesses e princípios.
"O que é a ""doutrina Stimson""?";É a doutrina que nega o reconhecimento de aquisições territoriais obtidas pela força (ex.: Manchúria, 1932).
A doutrina Stimson é aplicada atualmente?;Sim, é incorporada à Carta da ONU, que veda a aquisição de território pela ameaça ou uso da força.
"O que é a ""sucessão de Estados em matéria de tratados de fronteiras""?";Os tratados de fronteiras são considerados continuados (permanentes), independentemente da sucessão.
Por que os tratados de fronteiras são continuados?;Porque criam uma situação territorial objetiva que não pode ser alterada pela sucessão.
"O que é o ""princípio do uti possidetis juris""?";É o princípio pelo qual as fronteiras coloniais são mantidas como fronteiras dos novos Estados independentes.
O princípio do uti possidetis juris é aplicado na América Latina?;Sim, foi adotado pelos Estados latino-americanos após a independência e é também usado na África.
"O que é a ""extinção de um Estado por desaparição de seus elementos""?";Se o Estado perde seu território, população ou governo efetivo, ele pode se extinguir.
O Estado pode ser extinto pela perda de sua soberania?;Sim, se for totalmente subjugado e incorporado a outro Estado.
"O que é o ""governo de fato"" (de facto) e o ""governo de direito"" (de jure)?";"De facto exerce controle efetivo; de jure é reconhecido como legítimo, mesmo sem controle total."
O reconhecimento de um governo de facto pode se transformar em de jure?;Sim, quando o governo consolida seu controle e adquire legitimidade.
"O que é a ""sucessão de Estados em matéria de participação em organizações internacionais""?";"O novo Estado não herda automaticamente a vaga; deve solicitar admissão, conforme o ato constitutivo da OI."
A sucessão de Estados afeta a titularidade de embaixadas e missões diplomáticas?;Sim, o novo Estado pode reivindicar os bens e arquivos das missões situadas em seu território.
"O que é a ""responsabilidade do Estado por atos de seus órgãos""?";O Estado responde internacionalmente pelos atos de seus órgãos, mesmo que eles ajam ultra vires.
"O que é a ""soberania alimentar""?";É o direito de um Estado de definir suas próprias políticas agrícolas e alimentares, protegendo sua segurança alimentar.
"O que é o ""princípio da boa-fé"" nas relações entre Estados?";É a obrigação de cumprir os compromissos internacionais de maneira honesta e leal.
A sucessão de Estados em matéria de dívidas é automática?;Não, é necessário um acordo ou a aplicação de regras de repartição equitativa.
"O que é o ""reconhecimento de um Estado por silêncio""?";Ocorre quando um Estado, sem manifestação formal, age como se o novo Estado existisse (ex.: tratados).
O reconhecimento de um novo governo implica o reconhecimento de seus atos jurídicos?;Sim, os atos praticados pelo governo reconhecido são considerados válidos retroativamente.
;
O que é o território do Estado no Direito Internacional Público?;É o espaço geográfico sobre o qual o Estado exerce sua soberania de forma exclusiva, compreendendo o solo, o subsolo, o espaço aéreo e as águas interiores.
Quais são os elementos que compõem o território de um Estado?;O território terrestre, o mar territorial, o espaço aéreo sobrejacente e o subsolo.
Qual é a base jurídica da soberania territorial do Brasil?;A Constituição Federal de 1988, que estabelece a integridade do território nacional como princípio fundamental.
Como o território brasileiro é definido constitucionalmente?;O art. 18 da CF/88 organiza o território em União, Estados, Distrito Federal e Municípios, todos autônomos.
Qual é o princípio que rege a formação do território brasileiro desde o período colonial?;O princípio do uti possidetis juris, herdado do Direito Internacional da América Latina.
O que significa o princípio do uti possidetis juris aplicado ao Brasil?;Significa que as fronteiras do Brasil foram consolidadas com base na posse efetiva e nos limites administrativos coloniais, reconhecidos internacionalmente.
O Brasil é um país de formação territorial contínua ou descontínua?;Contínua, pois seu território é um bloco único e ininterrupto na América do Sul.
Qual é a extensão territorial total do Brasil?;Cerca de 8,5 milhões de km² (8.510.820,623 km²).
O território brasileiro é dividido em quantos Estados?;26 Estados e o Distrito Federal.
Qual é a lei que trata da divisão territorial do Brasil?;A Lei Complementar de nº 91/1938 e a Lei nº 5.449/1968 estabelecem os limites interestaduais.
